target_url,target_url_domain,target_url_top_level_domain,final_url,final_url_domain,final_url_website,final_url_top_level_domain,canonical_link,final_url_mimetype,final_url_live,target_url_redirects,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,final_url_status_code,target_url_404_test,scan_date,primary_scan_status,not_found_scan_status,robots_txt_scan_status,sitemap_xml_scan_status,dns_scan_status,dns_ipv6,dns_hostname,source_list,cms,cloud_dot_gov_pages,required_links_url,required_links_text,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_count,uswds_usa_classes,uswds_inline_css,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,og_article_published_final_url,og_article_modified_final_url,og_title_final_url,og_description_final_url,main_element_present_final_url,robots_txt_final_url,robots_txt_detected,robots_txt_final_url_live,robots_txt_target_url_redirects,robots_txt_final_url_status_code,robots_txt_final_url_mimetype,robots_txt_final_url_filesize_in_bytes,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_final_url,sitemap_xml_detected,sitemap_xml_final_url_live,sitemap_xml_target_url_redirects,sitemap_xml_final_url_status_code,sitemap_xml_final_url_mimetype,sitemap_xml_final_url_filesize_in_bytes,sitemap_xml_count,sitemap_xml_pdf_count,third_party_service_domains,third_party_service_count,viewport_meta_tag,cookie_domains,login_provider,login_detected,searchgov,search_detected,dap_detected_final_url,dap_parameters_final_url
www.1tsc.army.mil,army.mil,mil,,,,,,,,,,,Army,1st Theater Sustainment Command,Executive,,,2024-01-20T06:36:36.826Z,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,False,,"[""mil""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"["".1tsc.army.mil"","".army.mil"","".www.1tsc.army.mil"",""www.1tsc.army.mil""]",,,,,,
www.ncoworldwide.army.mil,army.mil,mil,https://www.ncoworldwide.army.mil/,army.mil,www.ncoworldwide.army.mil,mil,,text/html,True,False,True,True,Army,NCO World Campus,Executive,200.0,True,2024-01-20T05:12:46.629Z,completed,completed,completed,completed,completed,False,edgekey.net,"[""mil""]",,False,"[""about"",""fear""]","[""about us"",""accessibility"",""no fear act""]",0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,,,,,False,https://www.ncoworldwide.army.mil/robots.txt,True,True,False,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",https://www.ncoworldwide.army.mil/sitemap.xml,False,False,False,404.0,text/html,,,,"[""fonts.googleapis.com"",""fonts.gstatic.com"",""media.defense.gov"",""search.usa.gov"",""translate-pa.googleapis.com"",""translate.google.com"",""translate.googleapis.com"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.gstatic.com"",""www.youtube.com""]",11.0,True,"["".army.mil"","".ncoworldwide.army.mil"","".www.ncoworldwide.army.mil"",""www.ncoworldwide.army.mil""]",,,,True,True,
www.arcp.army.mil,army.mil,mil,,,,,,,,,,,Army,Army Recovery Care Program,Executive,,,2024-01-20T06:37:44.625Z,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,False,,"[""mil""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"["".arcp.army.mil"","".army.mil"","".www.arcp.army.mil""]",,,,,,
www.55comcam.army.mil,army.mil,mil,,,,,,,,,,,Army,55th Combat Camera,Executive,,,2024-01-20T04:57:41.100Z,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,False,,"[""mil""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"["".www.55comcam.army.mil"",""www.55comcam.army.mil""]",,,,,,
www.7atc.army.mil,army.mil,mil,,,,,,,,,,,Army,Army Europe 7th Army Training Comand,Executive,,,2024-01-20T06:37:44.426Z,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,False,,"[""mil""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"["".7atc.army.mil"","".army.mil"","".www.7atc.army.mil"",""www.7atc.army.mil""]",,,,,,
11thairbornedivision.army.mil,army.mil,mil,,,,,,,,,,,Army,11th Airborne Division,Executive,,,2024-01-20T04:59:49.987Z,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,False,,"[""mil""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"["".11thairbornedivision.army.mil"","".army.mil""]",,,,,,
innovation.army.mil,army.mil,mil,,,,,,,,,,,Army,75th Innovations Command,Executive,,,2024-01-20T05:00:42.830Z,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,False,,"[""mil""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"["".army.mil"","".innovation.army.mil""]",,,,,,
www.21tsc.army.mil,army.mil,mil,,,,,,,,,,,Army,Army Europe 21st Theater Sustainment Command,Executive,,,2024-01-20T06:36:27.454Z,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,False,,"[""mil""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"["".21tsc.army.mil"","".army.mil"","".www.21tsc.army.mil"",""www.21tsc.army.mil""]",,,,,,
www.armyupress.army.mil,army.mil,mil,,,,,,,,,,,Army,Army University Press,Executive,,,2024-01-20T05:01:41.465Z,dns_resolution_error,unknown_error,completed,completed,completed,False,edgekey.net,"[""mil""]",,,,,,,,,,,,,,,,,,,,https://www.armyupress.army.mil/robots.txt,True,True,False,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",https://www.armyupress.army.mil/sitemap.xml,False,False,False,404.0,text/html,,,,,,,"["".army.mil"","".armyupress.army.mil""]",,,,,,
www.amc.army.mil,army.mil,mil,https://www.amc.army.mil/,army.mil,www.amc.army.mil,mil,,text/html,True,False,True,True,Army,Army Material Command,Executive,200.0,True,2024-01-20T05:02:40.376Z,completed,completed,completed,completed,completed,False,edgekey.net,"[""mil""]",,False,"[""about"",""fear"",""inspector"",""privacy""]","[""accessibility"",""no fear act"",""foia"",""freedom of information act"",""inspector general""]",0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,,,,,False,https://www.amc.army.mil/robots.txt,True,True,False,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",https://www.amc.army.mil/sitemap.xml,False,False,False,404.0,text/html,,,,"[""analytics.dvidshub.net"",""api.dvidshub.net"",""cmsmedia.defense.gov"",""d1ldvf68ux039x.cloudfront.net"",""d34w7g4gy10iej.cloudfront.net"",""external-sea1-1.xx.fbcdn.net"",""media.defense.gov"",""scontent-sea1-1.xx.fbcdn.net"",""search.usa.gov"",""static.addtoany.com"",""static.xx.fbcdn.net"",""stats.g.doubleclick.net"",""www.facebook.com"",""www.google-analytics.com"",""www.googletagmanager.com""]",15.0,True,"["".amc.army.mil"","".army.mil"",""www.amc.army.mil""]",,"[""\""userid\""""]",,True,True,
