target_url,target_url_domain,target_url_top_level_domain,final_url,final_url_domain,final_url_website,final_url_top_level_domain,canonical_link,final_url_mimetype,final_url_live,target_url_redirects,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,final_url_status_code,target_url_404_test,scan_date,primary_scan_status,not_found_scan_status,robots_txt_scan_status,sitemap_xml_scan_status,dns_scan_status,dns_ipv6,dns_hostname,source_list,cms,cloud_dot_gov_pages,required_links_url,required_links_text,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_count,uswds_usa_classes,uswds_inline_css,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,og_article_published_final_url,og_article_modified_final_url,og_title_final_url,og_description_final_url,main_element_present_final_url,robots_txt_final_url,robots_txt_detected,robots_txt_final_url_live,robots_txt_target_url_redirects,robots_txt_final_url_status_code,robots_txt_final_url_mimetype,robots_txt_final_url_filesize_in_bytes,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_final_url,sitemap_xml_detected,sitemap_xml_final_url_live,sitemap_xml_target_url_redirects,sitemap_xml_final_url_status_code,sitemap_xml_final_url_mimetype,sitemap_xml_final_url_filesize_in_bytes,sitemap_xml_count,sitemap_xml_pdf_count,third_party_service_domains,third_party_service_count,viewport_meta_tag,cookie_domains,login_provider,login_detected,searchgov,search_detected,dap_detected_final_url,dap_parameters_final_url
www.reserve.uscg.mil,uscg.mil,mil,https://www.reserve.uscg.mil/,uscg.mil,www.reserve.uscg.mil,mil,,text/html,True,False,True,True,Coast Guard,Reserve,Executive,200.0,True,2024-01-06T06:32:36.790Z,completed,completed,completed,completed,completed,True,edgekey.net,"[""mil""]",,False,"[""about"",""fear"",""foia"",""usa.gov""]","[""accessibility"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,,,,,False,https://www.reserve.uscg.mil/robots.txt,True,True,False,200.0,text/plain,558.0,,"[""/SiteMap.aspx""]",https://www.reserve.uscg.mil/sitemap.xml,False,False,False,404.0,text/html,,,,"[""fonts.googleapis.com"",""fonts.gstatic.com"",""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",6.0,True,"["".reserve.uscg.mil"","".uscg.mil"","".www.reserve.uscg.mil""]",,,,True,True,
www.history.uscg.mil,uscg.mil,mil,https://www.history.uscg.mil/,uscg.mil,www.history.uscg.mil,mil,,text/html,True,False,True,True,Coast Guard,History,Executive,200.0,True,2024-01-06T06:30:43.517Z,completed,completed,completed,completed,completed,True,edgekey.net,"[""mil""]",,False,"[""about"",""fear"",""foia"",""usa.gov""]","[""about us"",""accessibility"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,,,,,False,https://www.history.uscg.mil/robots.txt,True,True,False,200.0,text/plain,558.0,,"[""/SiteMap.aspx""]",https://www.history.uscg.mil/sitemap.xml,False,False,False,404.0,text/html,,,,"[""fonts.googleapis.com"",""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",5.0,True,"["".history.uscg.mil"","".uscg.mil""]",,,,True,True,
www.news.uscg.mil,uscg.mil,mil,https://www.news.uscg.mil/,uscg.mil,www.news.uscg.mil,mil,,text/html,True,False,True,True,Coast Guard,News,Executive,200.0,True,2024-01-06T06:31:08.064Z,completed,completed,completed,completed,completed,True,edgekey.net,"[""mil""]",,False,"[""fear"",""foia"",""usa.gov""]","[""accessibility"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,,,,,False,https://www.news.uscg.mil/robots.txt,True,True,False,200.0,text/plain,558.0,,"[""/SiteMap.aspx""]",https://www.news.uscg.mil/sitemap.xml,False,False,False,404.0,text/html,,,,"[""fonts.googleapis.com"",""fonts.gstatic.com"",""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.uscg.mil"",""www.youtube.com""]",8.0,True,"["".news.uscg.mil"","".uscg.mil"","".www.news.uscg.mil""]",,,,True,True,
www.pacificarea.uscg.mil,uscg.mil,mil,https://www.pacificarea.uscg.mil/,uscg.mil,www.pacificarea.uscg.mil,mil,,text/html,True,False,True,True,Coast Guard,Pacific Area,Executive,200.0,True,2024-01-06T06:33:05.579Z,completed,completed,completed,completed,completed,True,edgekey.net,"[""mil""]",,False,"[""about"",""fear"",""foia"",""usa.gov""]","[""about us"",""accessibility"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,,,,,False,https://www.pacificarea.uscg.mil/robots.txt,True,True,False,200.0,text/plain,558.0,,"[""/SiteMap.aspx""]",https://www.pacificarea.uscg.mil/sitemap.xml,False,False,False,404.0,text/html,,,,"[""connect.facebook.net"",""fonts.googleapis.com"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",5.0,True,"["".pacificarea.uscg.mil"","".uscg.mil""]",,,,True,True,
www.uscg.mil,uscg.mil,mil,https://www.uscg.mil/,uscg.mil,www.uscg.mil,mil,,text/html,True,False,True,True,Coast Guard,United States Coast Guard,Executive,200.0,True,2024-01-06T02:16:41.557Z,completed,completed,completed,completed,completed,True,edgekey.net,"[""mil""]",,False,"[""about"",""fear"",""foia"",""usa.gov""]","[""accessibility"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,,,United States Coast Guard,,False,https://www.uscg.mil/robots.txt,True,True,False,200.0,text/plain,558.0,,"[""/SiteMap.aspx""]",https://www.uscg.mil/sitemap.xml,False,False,False,404.0,text/html,,,,"[""fonts.googleapis.com"",""fonts.gstatic.com"",""livestream.com"",""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",7.0,True,"["".uscg.mil""]",,,,True,True,
www.ncgm.uscg.mil,uscg.mil,mil,https://nationalcoastguardmuseum.org/,nationalcoastguardmuseum.org,nationalcoastguardmuseum.org,org,https://nationalcoastguardmuseum.org/,text/html,True,True,False,False,Coast Guard,National Coast Guard Museum,Executive,200.0,True,2024-01-06T06:28:56.553Z,completed,completed,completed,completed,completed,True,,"[""mil""]",WordPress,False,"[""about"",""fear"",""foia"",""privacy"",""usa.gov""]","[""about us"",""accessibility"",""foia"",""privacy policy"",""usa.gov""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2023-12-22T18:12:23.000Z,Home - National Coast Guard Museum,Welcome to the homepage of the National Coast Guard Museum.,True,https://nationalcoastguardmuseum.org/robots.txt,True,True,True,200.0,text/plain,186.0,,"[""https://nationalcoastguardmuseum.org/sitemap_index.xml""]",https://nationalcoastguardmuseum.org/sitemap_index.xml,False,True,True,200.0,text/xml,,,,"[""dap.digitalgov.gov"",""ka-f.fontawesome.com"",""kit.fontawesome.com"",""p.typekit.net"",""use.typekit.net"",""www.google-analytics.com"",""www.googletagmanager.com""]",7.0,True,"["".nationalcoastguardmuseum.org"",""nationalcoastguardmuseum.org""]",,,,True,True,"{""agency"":""HHS""}"
www.forcecom.uscg.mil,uscg.mil,mil,https://www.forcecom.uscg.mil/,uscg.mil,www.forcecom.uscg.mil,mil,,text/html,True,False,True,True,Coast Guard,Forcecom,Executive,200.0,True,2024-01-06T06:29:42.003Z,completed,completed,completed,completed,completed,True,edgekey.net,"[""mil""]",,False,"[""about"",""fear"",""foia"",""usa.gov""]","[""about us"",""accessibility"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,,,,,False,https://www.forcecom.uscg.mil/robots.txt,True,True,False,200.0,text/plain,558.0,,"[""/SiteMap.aspx""]",https://www.forcecom.uscg.mil/sitemap.xml,False,False,False,404.0,text/html,,,,"[""connect.facebook.net"",""fonts.googleapis.com"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",5.0,True,"["".forcecom.uscg.mil"","".uscg.mil""]",,,,True,True,
www.atlanticarea.uscg.mil,uscg.mil,mil,https://www.atlanticarea.uscg.mil/,uscg.mil,www.atlanticarea.uscg.mil,mil,,text/html,True,False,True,True,Coast Guard,Atlantic Area,Executive,200.0,True,2024-01-06T06:31:08.113Z,completed,completed,completed,completed,completed,True,edgekey.net,"[""mil""]",,False,"[""about"",""fear"",""foia"",""usa.gov""]","[""about us"",""accessibility"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,,,,,False,https://www.atlanticarea.uscg.mil/robots.txt,True,True,False,200.0,text/plain,558.0,,"[""/SiteMap.aspx""]",https://www.atlanticarea.uscg.mil/sitemap.xml,False,False,False,404.0,text/html,,,,"[""fonts.googleapis.com"",""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",5.0,True,"["".atlanticarea.uscg.mil"","".uscg.mil""]",,,,True,True,
www.mycg.uscg.mil,uscg.mil,mil,https://www.mycg.uscg.mil/,uscg.mil,www.mycg.uscg.mil,mil,,text/html,True,False,True,True,Coast Guard,MyCG,Executive,200.0,True,2024-01-06T06:52:21.640Z,completed,completed,completed,completed,completed,True,edgekey.net,"[""mil""]",,False,"[""about"",""fear"",""foia"",""usa.gov""]","[""accessibility"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,,,,,False,https://www.mycg.uscg.mil/robots.txt,True,True,False,200.0,text/plain,558.0,,"[""/SiteMap.aspx""]",https://www.mycg.uscg.mil/sitemap.xml,False,False,False,404.0,text/html,,,,"[""fonts.googleapis.com"",""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",5.0,True,"["".mycg.uscg.mil"","".uscg.mil"","".www.mycg.uscg.mil"",""www.mycg.uscg.mil""]",,,,True,True,
www.dco.uscg.mil,uscg.mil,mil,https://www.dco.uscg.mil/,uscg.mil,www.dco.uscg.mil,mil,,text/html,True,False,True,True,Coast Guard,Deputy Commandant for Operations,Executive,200.0,True,2024-01-06T06:32:22.904Z,completed,completed,completed,completed,completed,True,edgekey.net,"[""mil""]",,False,"[""about"",""fear"",""foia"",""inspector"",""usa.gov""]","[""about us"",""accessibility"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,,,,,False,https://www.dco.uscg.mil/robots.txt,True,True,False,200.0,text/plain,558.0,,"[""/SiteMap.aspx""]",https://www.dco.uscg.mil/sitemap.xml,False,False,False,404.0,text/html,,,,"[""fonts.googleapis.com"",""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",5.0,True,"["".dco.uscg.mil"","".uscg.mil"","".www.dco.uscg.mil"",""www.dco.uscg.mil""]",,,,True,True,
