target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,dap_version,ga_tag_id,third_party_service_domains,third_party_service_urls,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
www.cpsc.gov,cpsc.gov,.gov,False,https://www.cpsc.gov/,cpsc.gov,gov,www.cpsc.gov,True,200.0,text/html,True,True,Consumer Product Safety Commission,Consumer Product Safety Commission,Executive,True,"[""gov"",""dap"",""2020_eot"",""usagov"",""gov_man"",""oira""]",,2024-10-04T01:32:13.249Z,completed,completed,completed,completed,completed,completed,unknown_error,timeout,True,edgekey.net,Drupal,,,True,,True,"{""ver"":""true"",""amp;agency"":""CPSC""}",20240925 v8.3 - GA4,"UA-48378743-1,G-55LVJ78J3V,G-XM65T6P0GR,G-CSLL4ZEK4L","[""cdn.jsdelivr.net"",""content.govdelivery.com"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""script.hotjar.com"",""static.addtoany.com"",""static.hotjar.com"",""vc.hotjar.io"",""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://cdn.jsdelivr.net/npm/@uswds/uswds@3.4.1/dist/css/uswds.min.css"",""https://cdn.jsdelivr.net/npm/@uswds/uswds@3.4.1/dist/fonts/source-sans-pro/sourcesanspro-bold-webfont.woff2"",""https://cdn.jsdelivr.net/npm/@uswds/uswds@3.4.1/dist/fonts/source-sans-pro/sourcesanspro-italic-webfont.woff2"",""https://cdn.jsdelivr.net/npm/@uswds/uswds@3.4.1/dist/fonts/source-sans-pro/sourcesanspro-regular-webfont.woff2"",""https://cdn.jsdelivr.net/npm/@uswds/uswds@3.4.1/dist/js/uswds.min.js"",""https://content.govdelivery.com/attachments/fancy_images/USCPSC/2022/02/5552967/recall-image_original.png"",""https://content.govdelivery.com/overlay/js/11021.js"",""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://fonts.googleapis.com/css"",""https://fonts.gstatic.com/s/opensans/v40/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTS-mu0SC55I.woff2"",""https://script.hotjar.com/modules.35ef77a5f94ab0b63bfe.js"",""https://static.addtoany.com/menu/modules/core.D0Uc7kY6.js"",""https://static.addtoany.com/menu/page.js"",""https://static.hotjar.com/c/hotjar-3799316.js"",""https://vc.hotjar.io/sessions/3799316"",""https://www.google-analytics.com/analytics.js"",""https://www.google-analytics.com/g/collect"",""https://www.google-analytics.com/j/collect"",""https://www.googletagmanager.com/gtag/js"",""https://www.googletagmanager.com/gtm.js""]",11.0,"["".cpsc.gov""]",True,0.51320659765625,802.1,"[""about"",""fear"",""foia"",""privacy"",""usa.gov"",""espanol"",""/es""]","[""accessibility"",""no fear act"",""foia"",""freedom of information act"",""inspector general"",""privacy policy"",""vulnerability disclosure"",""usa.gov"",""español""]",,,CPSC.gov,,,CPSC.gov,,,,https://www.cpsc.gov/s3fs-public/2022-10/Default_SocialLink_RingLogo.png,website,https://cpsc-d8-prod.ctacdev.com/,https://cpsc-d8-prod.ctacdev.com/,en,,True,True,False,https://www.cpsc.gov/robots.txt,True,200.0,text/plain,2979.0,,,,,,,,,,,,0.0,0.0,0.0,12.0,"[""usa-button-search"",""usa-footer"",""usa-header"",""usa-identifier"",""usa-input"",""usa-logo"",""usa-menu-btn"",""usa-nav"",""usa-sr-only""]",False,50.0,6.0,20.0,v3.4.1,100.0,188.0
vod.cpsc.gov,cpsc.gov,.gov,,,,,,,,,,,Consumer Product Safety Commission,Consumer Product Safety Commission,Executive,False,"[""pulse""]",,2024-10-04T02:50:49.075Z,unknown_error,page_frame_not_ready,completed,completed,completed,completed,completed,completed,False,,,,,,,,,,,,,,"["".cpsc.gov"",""vod.cpsc.gov""]",,0.0,0.0,,,True,True,500 - Internal server error.,,,,,,,,,,,,,,False,False,https://vod.cpsc.gov/robots.txt,False,403.0,text/html,,,,False,False,https://vod.cpsc.gov/sitemap.xml,False,403.0,text/html,,,,,,,,,,,,,,,
cpsc.gov,cpsc.gov,.gov,True,https://www.cpsc.gov/,cpsc.gov,gov,www.cpsc.gov,True,200.0,text/html,True,False,Consumer Product Safety Commission,Consumer Product Safety Commission,Executive,True,"[""gov"",""dap"",""pulse""]",,2024-10-04T02:52:17.282Z,completed,completed,completed,completed,completed,completed,completed,timeout,True,akamaitechnologies.com,Drupal,,,True,,True,"{""ver"":""true"",""amp;agency"":""CPSC""}",20240925 v8.3 - GA4,"UA-48378743-1,G-55LVJ78J3V,G-XM65T6P0GR,G-CSLL4ZEK4L","[""cdn.jsdelivr.net"",""content.govdelivery.com"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""script.hotjar.com"",""static.addtoany.com"",""static.hotjar.com"",""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://cdn.jsdelivr.net/npm/@uswds/uswds@3.4.1/dist/css/uswds.min.css"",""https://cdn.jsdelivr.net/npm/@uswds/uswds@3.4.1/dist/fonts/source-sans-pro/sourcesanspro-bold-webfont.woff2"",""https://cdn.jsdelivr.net/npm/@uswds/uswds@3.4.1/dist/fonts/source-sans-pro/sourcesanspro-italic-webfont.woff2"",""https://cdn.jsdelivr.net/npm/@uswds/uswds@3.4.1/dist/fonts/source-sans-pro/sourcesanspro-regular-webfont.woff2"",""https://cdn.jsdelivr.net/npm/@uswds/uswds@3.4.1/dist/js/uswds.min.js"",""https://content.govdelivery.com/attachments/fancy_images/USCPSC/2022/02/5552967/recall-image_original.png"",""https://content.govdelivery.com/overlay/js/11021.js"",""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://fonts.googleapis.com/css"",""https://fonts.gstatic.com/s/opensans/v40/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTS-mu0SC55I.woff2"",""https://script.hotjar.com/modules.35ef77a5f94ab0b63bfe.js"",""https://static.addtoany.com/menu/modules/core.D0Uc7kY6.js"",""https://static.addtoany.com/menu/page.js"",""https://static.hotjar.com/c/hotjar-3799316.js"",""https://www.google-analytics.com/analytics.js"",""https://www.google-analytics.com/g/collect"",""https://www.google-analytics.com/j/collect"",""https://www.googletagmanager.com/a"",""https://www.googletagmanager.com/gtag/js"",""https://www.googletagmanager.com/gtm.js""]",10.0,"["".cpsc.gov""]",True,0.56859059765625,945.0,"[""about"",""fear"",""foia"",""privacy"",""usa.gov"",""espanol"",""/es""]","[""accessibility"",""no fear act"",""foia"",""freedom of information act"",""inspector general"",""privacy policy"",""vulnerability disclosure"",""usa.gov"",""español""]",False,True,CPSC.gov,,,CPSC.gov,,,,https://www.cpsc.gov/s3fs-public/2022-10/Default_SocialLink_RingLogo.png,website,https://cpsc-d8-prod.ctacdev.com/,https://cpsc-d8-prod.ctacdev.com/,en,,True,True,True,https://www.cpsc.gov/robots.txt,True,200.0,text/plain,2979.0,,,,,,,,,,,,0.0,0.0,0.0,12.0,"[""usa-button-search"",""usa-footer"",""usa-header"",""usa-identifier"",""usa-input"",""usa-logo"",""usa-menu-btn"",""usa-nav"",""usa-sr-only""]",False,50.0,6.0,20.0,v3.4.1,100.0,188.0
business.cpsc.gov,cpsc.gov,.gov,True,https://www.cpsc.gov/Business--Manufacturing/Regulatory-Robot/Safer-Products-Start-Here,cpsc.gov,gov,www.cpsc.gov,True,200.0,text/html,True,False,Consumer Product Safety Commission,Consumer Product Safety Commission,Executive,True,"[""pulse""]",,2024-10-04T02:53:29.387Z,completed,completed,completed,completed,completed,completed,completed,completed,True,edgekey.net,Drupal,,,True,,True,"{""ver"":""true"",""amp;agency"":""CPSC""}",20240925 v8.3 - GA4,"UA-48378743-1,G-55LVJ78J3V,G-XM65T6P0GR,G-CSLL4ZEK4L","[""cdn.jsdelivr.net"",""dap.digitalgov.gov"",""script.hotjar.com"",""static.addtoany.com"",""static.hotjar.com"",""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://cdn.jsdelivr.net/npm/@uswds/uswds@3.4.1/dist/css/uswds.min.css"",""https://cdn.jsdelivr.net/npm/@uswds/uswds@3.4.1/dist/fonts/source-sans-pro/sourcesanspro-bold-webfont.woff2"",""https://cdn.jsdelivr.net/npm/@uswds/uswds@3.4.1/dist/fonts/source-sans-pro/sourcesanspro-italic-webfont.woff2"",""https://cdn.jsdelivr.net/npm/@uswds/uswds@3.4.1/dist/fonts/source-sans-pro/sourcesanspro-regular-webfont.woff2"",""https://cdn.jsdelivr.net/npm/@uswds/uswds@3.4.1/dist/js/uswds.min.js"",""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://script.hotjar.com/modules.35ef77a5f94ab0b63bfe.js"",""https://static.addtoany.com/menu/modules/core.D0Uc7kY6.js"",""https://static.addtoany.com/menu/page.js"",""https://static.hotjar.com/c/hotjar-3799316.js"",""https://www.google-analytics.com/analytics.js"",""https://www.google-analytics.com/j/collect"",""https://www.googletagmanager.com/gtag/js"",""https://www.googletagmanager.com/gtm.js""]",7.0,"["".cpsc.gov""]",True,0.2206706249999999,412.4,"[""about"",""fear"",""foia"",""privacy"",""usa.gov"",""espanol"",""/es""]","[""accessibility"",""no fear act"",""foia"",""freedom of information act"",""inspector general"",""privacy policy"",""vulnerability disclosure"",""usa.gov"",""español""]",False,True,Safer Products Start Here! | CPSC.gov,Are you looking for product safety information about COVID-19 related products?,,Safer Products Start Here!,,,,https://www.cpsc.gov/s3fs-public/2022-10/Default_SocialLink_RingLogo.png,article,https://www.cpsc.gov/Business--Manufacturing/Regulatory-Robot/Safer-Products-Start-Here,https://www.cpsc.gov/Business--Manufacturing/Regulatory-Robot/Safer-Products-Start-Here,en,"zh-hans,zh-hant,en,es,id,ko,vi",True,False,False,https://business.cpsc.gov/robots.txt,False,404.0,text/html,,,,False,False,https://business.cpsc.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,12.0,"[""usa-button-search"",""usa-footer"",""usa-header"",""usa-identifier"",""usa-input"",""usa-logo"",""usa-menu-btn"",""usa-nav"",""usa-sr-only""]",False,50.0,6.0,20.0,v3.4.1,100.0,188.0
xapps.cpsc.gov,cpsc.gov,.gov,True,https://idserv.cpsc.gov/nidp/idff/sso?RequestID=idKoqaa7GsK9zOtpe6BzIknD27GUI&MajorVersion=1&MinorVersion=2&IssueInstant=2024-10-04T02%3A56%3A11Z&ProviderID=https%3A%2F%2Fkang.cpsc.gov%3A443%2Fnesp%2Fidff%2Fmetadata&RelayState=MA%3D%3D&consent=urn%3Aliberty%3Aconsent%3Aunavailable&agAppNa=xapps&ForceAuthn=false&IsPassive=false&NameIDPolicy=onetime&ProtocolProfile=http%3A%2F%2Fprojectliberty.org%2Fprofiles%2Fbrws-art&target=https%3A%2F%2Fxapps.cpsc.gov%2F&AuthnContextStatementRef=%2Furi%2Fanyauthentication,cpsc.gov,gov,idserv.cpsc.gov,True,200.0,text/html,True,False,Consumer Product Safety Commission,Consumer Product Safety Commission,Executive,False,"[""pulse""]",,2024-10-04T02:56:20.401Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,,False,,False,,,,,,0.0,"["".cpsc.gov"",""idserv.cpsc.gov""]",True,0.0018329827880859,489.7,,,True,True,Access Manager,,,,,,,,,,,en,,False,False,True,https://idserv.cpsc.gov/nidp/idff/sso?RequestID=idL3RxVWwLh2Ck5tT0VsC7SGGb-Vo&MajorVersion=1&MinorVersion=2&IssueInstant=2024-10-04T02%3A56%3A13Z&ProviderID=https%3A%2F%2Fkang.cpsc.gov%3A443%2Fnesp%2Fidff%2Fmetadata&RelayState=MQ%3D%3D&consent=urn%3Aliberty%3Aconsent%3Aunavailable&agAppNa=xapps&ForceAuthn=false&IsPassive=false&NameIDPolicy=onetime&ProtocolProfile=http%3A%2F%2Fprojectliberty.org%2Fprofiles%2Fbrws-art&target=https%3A%2F%2Fxapps.cpsc.gov%2Frobots.txt&AuthnContextStatementRef=%2Furi%2Fanyauthentication,True,200.0,text/html,,,,False,True,https://idserv.cpsc.gov/nidp/idff/sso?RequestID=idINq23eci2nwe9Ual2Yubr9nXzVk&MajorVersion=1&MinorVersion=2&IssueInstant=2024-10-04T02%3A56%3A14Z&ProviderID=https%3A%2F%2Fkang.cpsc.gov%3A443%2Fnesp%2Fidff%2Fmetadata&RelayState=Mg%3D%3D&consent=urn%3Aliberty%3Aconsent%3Aunavailable&agAppNa=xapps&ForceAuthn=false&IsPassive=false&NameIDPolicy=onetime&ProtocolProfile=http%3A%2F%2Fprojectliberty.org%2Fprofiles%2Fbrws-art&target=https%3A%2F%2Fxapps.cpsc.gov%2Fsitemap.xml&AuthnContextStatementRef=%2Furi%2Fanyauthentication,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
drywallresponse.gov,drywallresponse.gov,.gov,True,https://www.cpsc.gov/Safety-Education/Safety-Education-Centers/Drywall-Information-Center,cpsc.gov,gov,www.cpsc.gov,True,200.0,text/html,False,False,Consumer Product Safety Commission,Consumer Product Safety Commission,Executive,False,"[""gov"",""pulse""]",,2024-10-04T05:31:30.394Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,Drupal,,,True,,True,"{""ver"":""true"",""amp;agency"":""CPSC""}",20240925 v8.3 - GA4,"UA-48378743-1,G-CSLL4ZEK4L,G-55LVJ78J3V,G-XM65T6P0GR","[""cdn.jsdelivr.net"",""dap.digitalgov.gov"",""script.hotjar.com"",""static.addtoany.com"",""static.hotjar.com"",""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://cdn.jsdelivr.net/npm/@uswds/uswds@3.4.1/dist/css/uswds.min.css"",""https://cdn.jsdelivr.net/npm/@uswds/uswds@3.4.1/dist/fonts/source-sans-pro/sourcesanspro-bold-webfont.woff2"",""https://cdn.jsdelivr.net/npm/@uswds/uswds@3.4.1/dist/fonts/source-sans-pro/sourcesanspro-italic-webfont.woff2"",""https://cdn.jsdelivr.net/npm/@uswds/uswds@3.4.1/dist/fonts/source-sans-pro/sourcesanspro-regular-webfont.woff2"",""https://cdn.jsdelivr.net/npm/@uswds/uswds@3.4.1/dist/js/uswds.min.js"",""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://script.hotjar.com/modules.35ef77a5f94ab0b63bfe.js"",""https://static.addtoany.com/menu/modules/core.D0Uc7kY6.js"",""https://static.addtoany.com/menu/page.js"",""https://static.hotjar.com/c/hotjar-3799316.js"",""https://www.google-analytics.com/analytics.js"",""https://www.google-analytics.com/g/collect"",""https://www.google-analytics.com/j/collect"",""https://www.googletagmanager.com/gtag/js"",""https://www.googletagmanager.com/gtm.js""]",7.0,"["".cpsc.gov""]",True,0.0565118538411458,1177.9,"[""about"",""fear"",""foia"",""privacy"",""usa.gov"",""espanol"",""/es""]","[""accessibility"",""no fear act"",""foia"",""freedom of information act"",""inspector general"",""privacy policy"",""vulnerability disclosure"",""usa.gov"",""español""]",False,True,Drywall | CPSC.gov,,,Drywall,,,,https://www.cpsc.gov/s3fs-public/2022-10/Default_SocialLink_RingLogo.png,article,https://www.cpsc.gov/Safety-Education/Safety-Education-Centers/Drywall-Information-Center,https://www.cpsc.gov/Safety-Education/Safety-Education-Centers/Drywall-Information-Center,en,"en,es",True,False,True,https://www.cpsc.gov/Safety-Education/Safety-Education-Centers/Drywall-Information-Center,True,200.0,text/html,,,,False,True,https://www.cpsc.gov/Safety-Education/Safety-Education-Centers/Drywall-Information-Center,True,200.0,text/html,,,,0.0,0.0,0.0,12.0,"[""usa-button-search"",""usa-footer"",""usa-header"",""usa-identifier"",""usa-input"",""usa-logo"",""usa-menu-btn"",""usa-nav"",""usa-sr-only""]",False,55.0,6.0,20.0,v3.4.1,100.0,193.0
www.poolsafety.gov,poolsafety.gov,.gov,True,https://www.poolsafely.gov/,poolsafely.gov,gov,www.poolsafely.gov,True,200.0,text/html,False,False,Consumer Product Safety Commission,Consumer Product Safety Commission,Executive,False,"[""gov""]",,2024-10-04T04:38:29.536Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,False,,WordPress,,,False,,True,"{""agency"":""CPSC""}",20240925 v8.3 - GA4,"G-Z7EG3T513D,G-CSLL4ZEK4L,UA-51056602-1","[""ad.ipredictive.com"",""connect.facebook.net"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""media-cdn.ipredictive.com"",""platform.twitter.com"",""static.ads-twitter.com"",""www.facebook.com"",""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://ad.ipredictive.com/d/rt/pixel"",""https://connect.facebook.net/en_US/fbevents.js"",""https://connect.facebook.net/signals/config/1380977818606309"",""https://connect.facebook.net/signals/config/1970113009937652"",""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://fonts.googleapis.com/css2"",""https://fonts.gstatic.com/s/poppins/v21/pxiByp8kv8JHgFVrLCz7Z1xlFd2JQEk.woff2"",""https://fonts.gstatic.com/s/poppins/v21/pxiByp8kv8JHgFVrLDz8Z1xlFd2JQEk.woff2"",""https://fonts.gstatic.com/s/poppins/v21/pxiByp8kv8JHgFVrLEj6Z1xlFd2JQEk.woff2"",""https://fonts.gstatic.com/s/poppins/v21/pxiByp8kv8JHgFVrLGT9Z1xlFd2JQEk.woff2"",""https://fonts.gstatic.com/s/poppins/v21/pxiEyp8kv8JHgFVrJJfecnFHGPc.woff2"",""https://media-cdn.ipredictive.com/js/cirt_v2.min.js"",""https://platform.twitter.com/oct.js"",""https://static.ads-twitter.com/oct.js"",""https://www.facebook.com/tr/"",""https://www.google-analytics.com/analytics.js"",""https://www.google-analytics.com/g/collect"",""https://www.google-analytics.com/j/collect"",""https://www.googletagmanager.com/gtag/js"",""https://www.googletagmanager.com/gtm.js""]",11.0,"["".poolsafely.gov"","".www.poolsafely.gov""]",True,0.0110981912434895,715.8,"[""about"",""privacy"",""espanol"",""/es""]","[""about us"",""accessibility"",""vulnerability disclosure"",""español""]",,,Pool Safely,,,Pool Safely,,,,,website,https://www.poolsafely.gov/,https://www.poolsafely.gov/,en-US,"en,es",False,False,True,https://www.poolsafely.gov/,True,200.0,text/html,,,,False,True,https://www.poolsafely.gov/,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
leadership.cpsc.gov,cpsc.gov,.gov,False,https://leadership.cpsc.gov/,cpsc.gov,gov,leadership.cpsc.gov,True,200.0,text/html,True,True,Consumer Product Safety Commission,Consumer Product Safety Commission,Executive,False,"[""pulse""]",,2024-10-04T03:02:47.172Z,completed,completed,completed,completed,completed,completed,completed,completed,True,edgekey.net,WordPress,,,False,,True,"{""6.1.5619.18114"":"""",""agency"":""CPSC""}",,"UA-64613775-1,G-GC4LN5LK39","[""marco"",""www.cpsc.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://marco/kaye/wp-content/plugins/siteorigin-panels/css/front.css"",""https://marco/wp-content/uploads/2015/06/CPSC_logo-notext.png"",""https://www.cpsc.gov/static/js/Universal-Federated-Analytics-Min.js"",""https://www.google-analytics.com/analytics.js"",""https://www.google-analytics.com/g/collect"",""https://www.google-analytics.com/j/collect"",""https://www.googletagmanager.com/gtag/js""]",4.0,"["".cpsc.gov""]",True,0.0650888671875,261.4,"[""about"",""privacy""]","[""accessibility"",""vulnerability disclosure""]",True,True,Leadership Blogs | CPSC Commissioners Blog Site,,,,,,,,,,/,en-US,,False,True,False,https://leadership.cpsc.gov/robots.txt,True,200.0,text/plain,26.0,,,False,False,https://leadership.cpsc.gov/sitemap.xml,False,403.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
atvsafety.gov,atvsafety.gov,.gov,,,,,,,,,,,Consumer Product Safety Commission,Consumer Product Safety Commission,Executive,False,"[""gov"",""pulse""]",,2024-10-04T04:56:34.972Z,timeout,unknown_error,completed,completed,completed,completed,completed,completed,False,,,,,,,,,20240925 v8.3 - GA4,"UA-48378743-1,G-55LVJ78J3V,G-XM65T6P0GR,G-CSLL4ZEK4L",,,,"["".cpsc.gov""]",,0.05605775,440.5,,,False,True,OHV & ATV Safety | CPSC.gov,,,,,,,,,,,,,,False,True,https://www.cpsc.gov/Safety-Education/Safety-Education-Centers/ATV-Safety-Information-Center,True,200.0,text/html,,,,False,True,https://www.cpsc.gov/Safety-Education/Safety-Education-Centers/ATV-Safety-Information-Center,True,200.0,text/html,,,,,,,,,,,,,,,
www.saferproducts.gov,saferproducts.gov,.gov,False,https://www.saferproducts.gov/,saferproducts.gov,gov,www.saferproducts.gov,True,200.0,text/html,True,True,Consumer Product Safety Commission,Consumer Product Safety Commission,Executive,True,"[""gov"",""2020_eot"",""usagov""]",,2024-10-04T04:49:39.961Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,True,,True,,,G-DZBLYXFJRX,"[""ads.nextdoor.com"",""code.jquery.com"",""connect.facebook.net"",""flask.nextdoor.com"",""fonts.googleapis.com"",""fonts.gstatic.com"",""stackpath.bootstrapcdn.com"",""unpkg.com"",""use.fontawesome.com"",""www.cpsc.gov"",""www.facebook.com"",""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://ads.nextdoor.com/public/pixel/ndp.js"",""https://code.jquery.com/ui/1.13.2/themes/base/jquery-ui.css"",""https://connect.facebook.net/en_US/fbevents.js"",""https://connect.facebook.net/signals/config/375995057301421"",""https://flask.nextdoor.com/pixel"",""https://fonts.googleapis.com/css"",""https://fonts.gstatic.com/s/merriweather/v30/u-440qyriQwlOrhSvowK_l5-fCZMdeX3rg.woff2"",""https://fonts.gstatic.com/s/sourcesanspro/v22/6xK3dSBYKcSV-LCoeQqfX1RYOo3qOK7lujVj9w.woff2"",""https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css"",""https://unpkg.com/gijgo@1.9.13/css/gijgo.min.css"",""https://use.fontawesome.com/releases/v5.11.2/css/all.css"",""https://www.cpsc.gov/sites/all/themes/cpsc/js/Universal-Federated-Analytics-Min.js"",""https://www.facebook.com/tr/"",""https://www.google-analytics.com/g/collect"",""https://www.googletagmanager.com/gtag/js""]",13.0,"["".saferproducts.gov""]",True,0.01508208203125,222.5,"[""about"",""fear"",""foia"",""privacy"",""spanish""]","[""accessibility"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""vulnerability disclosure""]",,,Home - SaferProducts,,,,,,,,,,,en,,True,False,False,https://www.saferproducts.gov/robots.txt,False,404.0,text/html,0.0,,,False,False,https://www.saferproducts.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,"[""usa-banner-flag"",""usa-banner-header-text""]",False,10.0,0.0,0.0,,0.0,10.0
