target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,dap_version,ga_tag_id,third_party_service_domains,third_party_service_urls,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
www.americorps.gov,americorps.gov,.gov,False,https://www.americorps.gov/,americorps.gov,gov,www.americorps.gov,True,200.0,text/html,True,True,Corporation for National and Community Service,AmeriCorps,Executive,True,"[""gov"",""dap"",""oira""]",,2024-11-06T01:58:27.359Z,completed,completed,completed,completed,completed,completed,unknown_error,timeout,False,amazonaws.com,Drupal,,,True,True,True,"{""agency"":""AmeriCorps"",""cto"":""12""}",20240925 v8.3 - GA4,"G-CSLL4ZEK4L,G-8KNC1X06H5,UA-4026829-3","[""a.rfihub.com"",""aa.agkn.com"",""ads.nextdoor.com"",""amplify.outbrain.com"",""bh.contextweb.com"",""bpi.rtactivate.com"",""c1.rfihub.net"",""cdn.boomtrain.com"",""cdn.gtranslate.net"",""ce.lijit.com"",""cm.g.doubleclick.net"",""connect.facebook.net"",""contextual.media.net"",""ct.pinterest.com"",""dap.digitalgov.gov"",""di.rlcdn.com"",""dpm.demdex.net"",""dsum-sec.casalemedia.com"",""eb2.3lift.com"",""events.api.boomtrain.com"",""flask.nextdoor.com"",""fonts.gstatic.com"",""googleads.g.doubleclick.net"",""i.liadm.com"",""i.ytimg.com"",""ib.adnxs.com"",""idsync.rlcdn.com"",""image2.pubmatic.com"",""jnn-pa.googleapis.com"",""live.rezync.com"",""p.rfihub.com"",""partners.tremorhub.com"",""pippio.com"",""pixel.sitescout.com"",""play.google.com"",""ps.eyeota.net"",""px.ads.linkedin.com"",""r.casalemedia.com"",""rtb-csync.smartadserver.com"",""s.pinimg.com"",""search.usa.gov"",""snap.licdn.com"",""static.doubleclick.net"",""sync-tm.everesttech.net"",""tr.outbrain.com"",""up.pixel.ad"",""us-u.openx.net"",""wave.outbrain.com"",""www.facebook.com"",""www.google-analytics.com"",""www.google.com"",""www.googleadservices.com"",""www.googletagmanager.com"",""www.gstatic.com"",""www.youtube.com"",""x.bidswitch.net""]","[""https://a.rfihub.com/cm"",""https://aa.agkn.com/adscores/g.pixel"",""https://ads.nextdoor.com/public/pixel/ndp.js"",""https://amplify.outbrain.com/cp/obtp.js"",""https://bh.contextweb.com/bh/rtset"",""https://bpi.rtactivate.com/tag/"",""https://c1.rfihub.net/js/tc.min.js"",""https://cdn.boomtrain.com/p13n/fors-marsh-group/p13n.min.js"",""https://cdn.gtranslate.net/widgets/latest/dropdown.js"",""https://ce.lijit.com/merge"",""https://cm.g.doubleclick.net/pixel"",""https://connect.facebook.net/en_US/fbevents.js"",""https://connect.facebook.net/signals/config/438851318342479"",""https://connect.facebook.net/signals/config/648304070244063"",""https://contextual.media.net/cksync.php"",""https://ct.pinterest.com/user/"",""https://ct.pinterest.com/v3/"",""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://di.rlcdn.com/406006.gif"",""https://dpm.demdex.net/ibs:dpid=1121&dpuuid=1972928505166571558&redir="",""https://dsum-sec.casalemedia.com/rum"",""https://eb2.3lift.com/xuid"",""https://events.api.boomtrain.com/event/track"",""https://flask.nextdoor.com/pixel"",""https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4AMP6lQ.woff2"",""https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxKKTU1Kg.woff2"",""https://googleads.g.doubleclick.net/pagead/id"",""https://googleads.g.doubleclick.net/pagead/viewthroughconversion/10851129177/"",""https://i.liadm.com/s/56409"",""https://i.liadm.com/s/64581"",""https://i.ytimg.com/vi_webp/y-VeZcPjYGM/default.webp"",""https://ib.adnxs.com/setuid"",""https://idsync.rlcdn.com/360947.gif"",""https://image2.pubmatic.com/AdServer/Pug"",""https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/Create"",""https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/GenerateIT"",""https://live.rezync.com/pixel"",""https://live.rezync.com/sync"",""https://p.rfihub.com/cm"",""https://partners.tremorhub.com/sync"",""https://pippio.com/api/sync"",""https://pixel.sitescout.com/up/749ba5e1cb707031"",""https://play.google.com/log"",""https://ps.eyeota.net/match"",""https://www.facebook.com/tr/""]",56.0,"["".americorps.gov"",""www.americorps.gov""]",True,0.0022957832438151,721.7,"[""about"",""fear"",""foia"",""privacy"",""usa.gov"",""/es""]","[""accessibility"",""budget and performance"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",,,Home | AmeriCorps,,,,,,,,,,https://www.americorps.gov/,en,,True,True,False,https://www.americorps.gov/robots.txt,True,200.0,text/plain,2027.0,,,,,,,,,,,,20.0,0.0,0.0,0.0,"[""usa-banner"",""usa-banner-body"",""usa-banner-flag"",""usa-banner-guidance"",""usa-banner-icon"",""usa-banner-info"",""usa-banner-text""]",False,15.0,0.0,20.0,,0.0,55.0
www.serve.gov,serve.gov,.gov,True,https://americorps.gov/partner/communities-initiatives/united-we-serve,americorps.gov,gov,americorps.gov,True,200.0,text/html,False,False,Corporation for National and Community Service,AmeriCorps,Executive,False,"[""gov""]",,2024-11-06T10:05:36.162Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,False,,Drupal,,,True,True,True,"{""agency"":""AmeriCorps"",""cto"":""12""}",20240925 v8.3 - GA4,"G-CSLL4ZEK4L,G-8KNC1X06H5,UA-4026829-3","[""a.rfihub.com"",""aa.agkn.com"",""ads.nextdoor.com"",""amplify.outbrain.com"",""bh.contextweb.com"",""bpi.rtactivate.com"",""c1.rfihub.net"",""cdn.boomtrain.com"",""cdn.gtranslate.net"",""ce.lijit.com"",""cm.g.doubleclick.net"",""connect.facebook.net"",""contextual.media.net"",""ct.pinterest.com"",""dap.digitalgov.gov"",""di.rlcdn.com"",""dpm.demdex.net"",""dsum-sec.casalemedia.com"",""eb2.3lift.com"",""events.api.boomtrain.com"",""flask.nextdoor.com"",""fonts.gstatic.com"",""googleads.g.doubleclick.net"",""i.liadm.com"",""i.ytimg.com"",""ib.adnxs.com"",""idsync.rlcdn.com"",""image2.pubmatic.com"",""jnn-pa.googleapis.com"",""live.rezync.com"",""p.rfihub.com"",""partners.tremorhub.com"",""pippio.com"",""pixel.sitescout.com"",""play.google.com"",""ps.eyeota.net"",""px.ads.linkedin.com"",""r.casalemedia.com"",""rtb-csync.smartadserver.com"",""s.pinimg.com"",""search.usa.gov"",""snap.licdn.com"",""static.doubleclick.net"",""sync-tm.everesttech.net"",""tr.outbrain.com"",""up.pixel.ad"",""us-u.openx.net"",""wave.outbrain.com"",""www.facebook.com"",""www.google-analytics.com"",""www.google.com"",""www.googleadservices.com"",""www.googletagmanager.com"",""www.gstatic.com"",""www.youtube.com"",""x.bidswitch.net"",""yt3.ggpht.com""]","[""https://a.rfihub.com/cm"",""https://aa.agkn.com/adscores/g.pixel"",""https://ads.nextdoor.com/public/pixel/ndp.js"",""https://amplify.outbrain.com/cp/obtp.js"",""https://bh.contextweb.com/bh/rtset"",""https://bpi.rtactivate.com/tag/"",""https://c1.rfihub.net/js/tc.min.js"",""https://cdn.boomtrain.com/p13n/fors-marsh-group/p13n.min.js"",""https://cdn.gtranslate.net/widgets/latest/dropdown.js"",""https://ce.lijit.com/merge"",""https://cm.g.doubleclick.net/pixel"",""https://connect.facebook.net/en_US/fbevents.js"",""https://connect.facebook.net/signals/config/438851318342479"",""https://connect.facebook.net/signals/config/648304070244063"",""https://contextual.media.net/cksync.php"",""https://ct.pinterest.com/user/"",""https://ct.pinterest.com/v3/"",""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://di.rlcdn.com/406006.gif"",""https://dpm.demdex.net/ibs:dpid=1121&dpuuid=1972084082130431872&redir="",""https://dsum-sec.casalemedia.com/rum"",""https://eb2.3lift.com/xuid"",""https://events.api.boomtrain.com/event/track"",""https://flask.nextdoor.com/pixel"",""https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4AMP6lQ.woff2"",""https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxKKTU1Kg.woff2"",""https://googleads.g.doubleclick.net/pagead/id"",""https://googleads.g.doubleclick.net/pagead/viewthroughconversion/10851129177/"",""https://i.liadm.com/s/56409"",""https://i.liadm.com/s/64581"",""https://i.ytimg.com/vi/FZhhyxM1frY/sddefault.jpg"",""https://ib.adnxs.com/setuid"",""https://idsync.rlcdn.com/360947.gif"",""https://image2.pubmatic.com/AdServer/Pug"",""https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/Create"",""https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/GenerateIT"",""https://live.rezync.com/pixel"",""https://live.rezync.com/sync"",""https://p.rfihub.com/cm"",""https://partners.tremorhub.com/sync"",""https://pippio.com/api/sync"",""https://pixel.sitescout.com/up/749ba5e1cb707031"",""https://play.google.com/log"",""https://ps.eyeota.net/match"",""https://px.ads.linkedin.com/wa/""]",57.0,"["".americorps.gov"",""americorps.gov""]",True,0.0215014440104166,2087.799,"[""about"",""fear"",""foia"",""privacy"",""usa.gov"",""/es""]","[""accessibility"",""budget and performance"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",,,United We Serve | AmeriCorps,,,United We Serve,,,,https://americorps.gov/sites/default/files/image/AC-Logo_Navy-stacked-1200x630_opengraph.png,,,https://americorps.gov/partner/communities-initiatives/united-we-serve,en,,True,False,True,https://americorps.gov/partner/communities-initiatives/united-we-serve,True,200.0,text/html,,,,False,True,https://americorps.gov/partner/communities-initiatives/united-we-serve,True,200.0,text/html,,,,20.0,0.0,0.0,0.0,"[""usa-banner"",""usa-banner-body"",""usa-banner-flag"",""usa-banner-guidance"",""usa-banner-icon"",""usa-banner-info"",""usa-banner-text""]",False,15.0,0.0,20.0,,0.0,55.0
americorpsoig.gov,americorpsoig.gov,.gov,True,https://www.americorpsoig.gov/,americorpsoig.gov,gov,www.americorpsoig.gov,True,200.0,text/html,True,False,Corporation for National and Community Service,AmeriCorps Office of Inspector General,Executive,True,"[""gov""]",,2024-11-06T09:47:53.267Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,Drupal,,,True,,False,,,"G-N22HK9X93C,G-careers","[""ka-f.fontawesome.com"",""kit.fontawesome.com"",""maxcdn.bootstrapcdn.com"",""use.fontawesome.com"",""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://ka-f.fontawesome.com/releases/v5.15.4/css/free-v4-font-face.min.css"",""https://ka-f.fontawesome.com/releases/v5.15.4/css/free-v4-shims.min.css"",""https://ka-f.fontawesome.com/releases/v5.15.4/css/free.min.css"",""https://kit.fontawesome.com/da1ad99a39.js"",""https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css"",""https://use.fontawesome.com/releases/v5.10.0/js/v4-shims.js"",""https://use.fontawesome.com/releases/v6.4.2/js/all.js"",""https://www.google-analytics.com/g/collect"",""https://www.googletagmanager.com/gtag/js""]",6.0,"["".americorpsoig.gov"",""www.americorpsoig.gov""]",True,0.071086519165039,1122.7,"[""about"",""foia"",""privacy"",""usa.gov""]","[""foia"",""privacy policy"",""usa.gov""]",True,True,Home | AmeriCorps,,,,,,,,,,https://www.americorpsoig.gov/,en,,True,True,True,https://www.americorpsoig.gov/robots.txt,True,200.0,text/plain,1742.0,,,True,True,https://www.americorpsoig.gov/sitemap.xml,True,200.0,application/xml,176764.0,0.0,0.0,20.0,0.0,0.0,7.0,"[""usa-accordion"",""usa-banner"",""usa-button"",""usa-card-group"",""usa-collection"",""usa-footer"",""usa-form-group"",""usa-header"",""usa-hint"",""usa-label"",""usa-link"",""usa-logo"",""usa-menu-btn"",""usa-nav"",""usa-navbar"",""usa-overlay"",""usa-prose"",""usa-search"",""usa-section"",""usa-social-link"",""usa-social-link_text"",""usa-sr-only""]",True,70.0,18.0,20.0,,0.0,135.0
www.vistacampus.gov,vistacampus.gov,.gov,True,https://account.americorps.gov/,americorps.gov,gov,account.americorps.gov,True,200.0,text/html,False,False,Corporation for National and Community Service,AmeriCorps,Executive,False,"[""gov"",""2020_eot""]",,2024-11-06T08:10:41.146Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,,Drupal,,,False,,False,,,,"[""bam.nr-data.net"",""cdn.plyr.io"",""js-agent.newrelic.com""]","[""https://bam.nr-data.net/1/0986e09cab"",""https://cdn.plyr.io/3.7.3/plyr.css"",""https://cdn.plyr.io/3.7.3/plyr.js"",""https://js-agent.newrelic.com/nr-rum-1.271.0.min.js""]",3.0,"["".americorps.gov""]",True,0.019971875,736.799,"[""about"",""fear"",""foia"",""privacy"",""usa.gov"",""/es""]","[""accessibility"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",,,Welcome to the Vista Campus | VISTA Campus Accounts,,,,,,,,,,https://account.americorps.gov/node/3,en,,True,False,True,https://account.americorps.gov/,True,200.0,text/html,,,,False,True,https://account.americorps.gov/,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
joinamericorps.gov,joinamericorps.gov,.gov,True,https://www.americorps.gov/join,americorps.gov,gov,www.americorps.gov,True,200.0,text/html,False,False,Corporation for National and Community Service,AmeriCorps,Executive,False,"[""gov"",""pulse""]",,2024-11-06T04:58:06.977Z,completed,page_frame_not_ready,completed,completed,timeout,timeout,completed,completed,False,,Drupal,,,True,True,True,"{""agency"":""AmeriCorps"",""cto"":""12""}",20240925 v8.3 - GA4,"G-CSLL4ZEK4L,G-8KNC1X06H5,UA-4026829-3,G-MfsLC9B,G-crcheNmIZDnew0q","[""a.rfihub.com"",""aa.agkn.com"",""ads.nextdoor.com"",""amplify.outbrain.com"",""bpi.rtactivate.com"",""c1.rfihub.net"",""cdn.boomtrain.com"",""cdn.gtranslate.net"",""cm.g.doubleclick.net"",""connect.facebook.net"",""contextual.media.net"",""ct.pinterest.com"",""dap.digitalgov.gov"",""di.rlcdn.com"",""dpm.demdex.net"",""dsum-sec.casalemedia.com"",""events.api.boomtrain.com"",""fei.pro-market.net"",""flask.nextdoor.com"",""fonts.gstatic.com"",""googleads.g.doubleclick.net"",""i.liadm.com"",""i.ytimg.com"",""ib.adnxs.com"",""idsync.rlcdn.com"",""image2.pubmatic.com"",""jnn-pa.googleapis.com"",""live.rezync.com"",""p.rfihub.com"",""partners.tremorhub.com"",""pippio.com"",""pixel.sitescout.com"",""play.google.com"",""ps.eyeota.net"",""public.govdelivery.com"",""px.ads.linkedin.com"",""s.pinimg.com"",""search.usa.gov"",""snap.licdn.com"",""static.doubleclick.net"",""sync-tm.everesttech.net"",""tr.outbrain.com"",""up.pixel.ad"",""us-u.openx.net"",""wave.outbrain.com"",""www.facebook.com"",""www.google-analytics.com"",""www.google.com"",""www.googleadservices.com"",""www.googletagmanager.com"",""www.gstatic.com"",""www.youtube.com"",""x.bidswitch.net"",""yt3.ggpht.com""]","[""https://a.rfihub.com/cm"",""https://aa.agkn.com/adscores/g.pixel"",""https://ads.nextdoor.com/public/pixel/ndp.js"",""https://amplify.outbrain.com/cp/obtp.js"",""https://bpi.rtactivate.com/tag/"",""https://c1.rfihub.net/js/tc.min.js"",""https://cdn.boomtrain.com/p13n/fors-marsh-group/p13n.min.js"",""https://cdn.gtranslate.net/widgets/latest/dropdown.js"",""https://cm.g.doubleclick.net/pixel"",""https://connect.facebook.net/en_US/fbevents.js"",""https://connect.facebook.net/signals/config/438851318342479"",""https://connect.facebook.net/signals/config/648304070244063"",""https://contextual.media.net/cksync.php"",""https://ct.pinterest.com/user/"",""https://ct.pinterest.com/v3/"",""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://di.rlcdn.com/406006.gif"",""https://dpm.demdex.net/ibs:dpid=1121&dpuuid=2018808926940535292&redir="",""https://dsum-sec.casalemedia.com/rum"",""https://events.api.boomtrain.com/event/track"",""https://fei.pro-market.net/engine"",""https://flask.nextdoor.com/pixel"",""https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4AMP6lQ.woff2"",""https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxKKTU1Kg.woff2"",""https://googleads.g.doubleclick.net/pagead/id"",""https://googleads.g.doubleclick.net/pagead/viewthroughconversion/10851129177/"",""https://googleads.g.doubleclick.net/pagead/viewthroughconversion/11391867417/"",""https://i.liadm.com/s/56409"",""https://i.liadm.com/s/64581"",""https://i.ytimg.com/vi/OygimEPAi8I/sddefault.jpg"",""https://ib.adnxs.com/setuid"",""https://idsync.rlcdn.com/360947.gif"",""https://image2.pubmatic.com/AdServer/Pug"",""https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/Create"",""https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/GenerateIT"",""https://live.rezync.com/pixel"",""https://live.rezync.com/sync"",""https://p.rfihub.com/cm"",""https://partners.tremorhub.com/sync"",""https://pippio.com/api/sync"",""https://pixel.sitescout.com/up/749ba5e1cb707031"",""https://play.google.com/log"",""https://ps.eyeota.net/match""]",54.0,"["".americorps.gov"",""www.americorps.gov""]",True,,,"[""about"",""fear"",""foia"",""privacy"",""usa.gov"",""/es""]","[""accessibility"",""budget and performance"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",True,True,Join | AmeriCorps,,,Join,,,,https://www.americorps.gov/sites/default/files/image/AC-Logo_Navy-stacked-1200x630_opengraph.png,,,https://www.americorps.gov/join,en,,True,,,,,,,,,,False,True,https://www.americorps.gov/join,True,200.0,text/html,,,,20.0,0.0,0.0,0.0,"[""usa-banner"",""usa-banner-body"",""usa-banner-flag"",""usa-banner-guidance"",""usa-banner-icon"",""usa-banner-info"",""usa-banner-text""]",False,15.0,0.0,20.0,,0.0,55.0
www.americorpsoig.gov,americorpsoig.gov,.gov,False,https://www.americorpsoig.gov/,americorpsoig.gov,gov,www.americorpsoig.gov,True,200.0,text/html,True,True,Corporation for National and Community Service,AmeriCorps Office of Inspector General,Executive,True,"[""gov""]",,2024-11-06T01:01:59.665Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,,Drupal,,,True,,False,,,"G-N22HK9X93C,G-careers","[""ka-f.fontawesome.com"",""kit.fontawesome.com"",""maxcdn.bootstrapcdn.com"",""use.fontawesome.com"",""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://ka-f.fontawesome.com/releases/v5.15.4/css/free-v4-font-face.min.css"",""https://ka-f.fontawesome.com/releases/v5.15.4/css/free-v4-shims.min.css"",""https://ka-f.fontawesome.com/releases/v5.15.4/css/free.min.css"",""https://kit.fontawesome.com/da1ad99a39.js"",""https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css"",""https://use.fontawesome.com/releases/v5.10.0/js/v4-shims.js"",""https://use.fontawesome.com/releases/v6.4.2/js/all.js"",""https://www.google-analytics.com/g/collect"",""https://www.googletagmanager.com/gtag/js""]",6.0,"["".americorpsoig.gov"",""www.americorpsoig.gov""]",True,0.070671333618164,1437.1,"[""about"",""foia"",""privacy"",""usa.gov""]","[""foia"",""privacy policy"",""usa.gov""]",,,Home | AmeriCorps,,,,,,,,,,https://www.americorpsoig.gov/,en,,True,True,False,https://www.americorpsoig.gov/robots.txt,True,200.0,text/plain,1742.0,,,True,False,https://www.americorpsoig.gov/sitemap.xml,True,200.0,application/xml,176764.0,0.0,0.0,20.0,0.0,0.0,7.0,"[""usa-accordion"",""usa-banner"",""usa-button"",""usa-card-group"",""usa-collection"",""usa-footer"",""usa-form-group"",""usa-header"",""usa-hint"",""usa-label"",""usa-link"",""usa-logo"",""usa-menu-btn"",""usa-nav"",""usa-navbar"",""usa-overlay"",""usa-prose"",""usa-search"",""usa-section"",""usa-social-link"",""usa-social-link_text"",""usa-sr-only""]",True,70.0,18.0,20.0,,0.0,135.0
uat2my.americorps.gov,americorps.gov,.gov,,,,,,,,,,,Corporation for National and Community Service,AmeriCorps,Executive,,"[""dap""]",,2024-11-06T01:52:03.442Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cns.gov,cns.gov,.gov,,,,,,,,,,,Corporation for National and Community Service,AmeriCorps,Executive,,"[""gov""]",,2024-11-06T08:51:52.445Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.climatecorp.gov,climatecorp.gov,.gov,True,https://www.acc.gov/,acc.gov,gov,www.acc.gov,True,200.0,text/html,False,False,Corporation for National and Community Service,AmeriCorps,Executive,True,"[""gov""]",,2024-11-06T08:20:22.645Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,azurefd.net,,,,False,,True,"{""agency"":""AmeriCorps"",""subagency"":""ACC""}",20240925 v8.3 - GA4,"G-CSLL4ZEK4L,G-J0X2TDKXPN","[""dap.digitalgov.gov"",""p.typekit.net"",""px.ads.linkedin.com"",""snap.licdn.com"",""use.typekit.net"",""www.googletagmanager.com""]","[""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://p.typekit.net/p.css"",""https://px.ads.linkedin.com/collect"",""https://px.ads.linkedin.com/wa/"",""https://snap.licdn.com/li.lms-analytics/insight.min.js"",""https://use.typekit.net/af/0075f2/00000000000000007735ee0e/30/l"",""https://use.typekit.net/af/643354/00000000000000007735ee0a/30/l"",""https://use.typekit.net/af/7540d0/00000000000000007735ee06/30/l"",""https://use.typekit.net/af/bb2413/00000000000000007735b617/30/l"",""https://use.typekit.net/af/ce96c9/00000000000000007735ee08/30/l"",""https://use.typekit.net/qke5kyv.css"",""https://www.googletagmanager.com/gtag/js"",""https://www.googletagmanager.com/gtm.js""]",6.0,"["".acc.gov""]",True,0.2806830428466797,498.5,"[""about"",""fear"",""foia"",""privacy"",""usa.gov""]","[""accessibility"",""no fear act"",""foia"",""privacy policy"",""usa.gov""]",,,Home | American Climate Corps,"Join the next generation of creators, thinkers, leaders, and doers, working together to tackle the climate crisis. Help build a clean energy and climate-resilient future in your own community and across the nation.",,Home | American Climate Corps,"Join the next generation of creators, thinkers, leaders, and doers, working together to tackle the climate crisis. Help build a clean energy and climate-resilient future in your own community and across the nation.",,,https://www.acc.gov/img/UGBDP8pHQy-1200.png,article,https://www.acc.gov/,https://www.acc.gov/,en,,True,True,True,https://www.acc.gov/robots.txt,True,200.0,text/plain,600.0,,"[""https://www.acc.gov/sitemap.xml""]",True,True,https://www.acc.gov/sitemap.xml,True,200.0,application/xml,39303.0,166.0,0.0,0.0,0.0,0.0,0.0,"[""usa-accordion"",""usa-alert"",""usa-banner"",""usa-button"",""usa-button-group"",""usa-footer"",""usa-header"",""usa-icon"",""usa-logo"",""usa-menu-btn"",""usa-modal"",""usa-modal-overlay"",""usa-nav"",""usa-navbar"",""usa-prose"",""usa-site-alert"",""usa-skipnav"",""usa-sr-only""]",True,40.0,0.0,20.0,,0.0,60.0
climatecore.gov,climatecore.gov,.gov,True,https://www.acc.gov/,acc.gov,gov,www.acc.gov,True,200.0,text/html,False,False,Corporation for National and Community Service,AmeriCorps,Executive,True,"[""gov""]",,2024-11-06T08:21:22.536Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,,False,,True,"{""agency"":""AmeriCorps"",""subagency"":""ACC""}",20240925 v8.3 - GA4,"G-CSLL4ZEK4L,G-J0X2TDKXPN","[""dap.digitalgov.gov"",""p.typekit.net"",""px.ads.linkedin.com"",""snap.licdn.com"",""use.typekit.net"",""www.googletagmanager.com""]","[""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://p.typekit.net/p.css"",""https://px.ads.linkedin.com/collect"",""https://px.ads.linkedin.com/wa/"",""https://snap.licdn.com/li.lms-analytics/insight.min.js"",""https://use.typekit.net/af/0075f2/00000000000000007735ee0e/30/l"",""https://use.typekit.net/af/643354/00000000000000007735ee0a/30/l"",""https://use.typekit.net/af/7540d0/00000000000000007735ee06/30/l"",""https://use.typekit.net/af/bb2413/00000000000000007735b617/30/l"",""https://use.typekit.net/af/ce96c9/00000000000000007735ee08/30/l"",""https://use.typekit.net/qke5kyv.css"",""https://www.googletagmanager.com/gtag/js"",""https://www.googletagmanager.com/gtm.js""]",6.0,"["".acc.gov""]",True,0.2806830428466797,290.1,"[""about"",""fear"",""foia"",""privacy"",""usa.gov""]","[""accessibility"",""no fear act"",""foia"",""privacy policy"",""usa.gov""]",True,True,Home | American Climate Corps,"Join the next generation of creators, thinkers, leaders, and doers, working together to tackle the climate crisis. Help build a clean energy and climate-resilient future in your own community and across the nation.",,Home | American Climate Corps,"Join the next generation of creators, thinkers, leaders, and doers, working together to tackle the climate crisis. Help build a clean energy and climate-resilient future in your own community and across the nation.",,,https://www.acc.gov/img/UGBDP8pHQy-1200.png,article,https://www.acc.gov/,https://www.acc.gov/,en,,True,True,True,https://www.acc.gov/robots.txt,True,200.0,text/plain,600.0,,"[""https://www.acc.gov/sitemap.xml""]",True,True,https://www.acc.gov/sitemap.xml,True,200.0,application/xml,39303.0,166.0,0.0,0.0,0.0,0.0,0.0,"[""usa-accordion"",""usa-alert"",""usa-banner"",""usa-button"",""usa-button-group"",""usa-footer"",""usa-header"",""usa-icon"",""usa-logo"",""usa-menu-btn"",""usa-modal"",""usa-modal-overlay"",""usa-nav"",""usa-navbar"",""usa-prose"",""usa-site-alert"",""usa-skipnav"",""usa-sr-only""]",True,40.0,0.0,20.0,,0.0,60.0
