target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
misawa.tricare.mil,tricare.mil,mil,False,https://misawa.tricare.mil/,tricare.mil,mil,misawa.tricare.mil,True,200.0,text/html,True,True,defense health agency,35th medical group - misawa air base,Executive,True,"[""mil-sites1""]",False,2024-05-25T06:04:41.903Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,True,,True,,"[""fonts.googleapis.com"",""fonts.gstatic.com"",""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.youtube.com""]",7.0,"["".misawa.tricare.mil"","".tricare.mil"",""misawa.tricare.mil""]",True,0.2244088125813802,518.399,"[""about"",""foia"",""inspector"",""privacy"",""usa.gov""]","[""about us"",""accessibility"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",,,Home,,,,,,,,,,,en-US,,False,True,False,https://misawa.tricare.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://misawa.tricare.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
rafcroughton.tricare.mil,tricare.mil,mil,False,https://rafcroughton.tricare.mil/,tricare.mil,mil,rafcroughton.tricare.mil,True,200.0,text/html,True,True,defense health agency,422d medical squadron - raf croughton,Executive,True,"[""mil-sites1""]",False,2024-05-25T05:22:36.750Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,True,,True,,"[""fonts.googleapis.com"",""fonts.gstatic.com"",""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.youtube.com""]",7.0,"["".rafcroughton.tricare.mil"","".tricare.mil"",""rafcroughton.tricare.mil""]",True,0.037871844156901,323.8,"[""about"",""foia"",""inspector"",""privacy"",""usa.gov""]","[""about us"",""accessibility"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",,,Home,,,,,,,,,,,en-US,,False,True,False,https://rafcroughton.tricare.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://rafcroughton.tricare.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
cannon.tricare.mil,tricare.mil,mil,False,https://cannon.tricare.mil/,tricare.mil,mil,cannon.tricare.mil,True,200.0,text/html,True,True,defense health agency,27th special operations medical group - cannon air force base,Executive,True,"[""mil-sites1""]",False,2024-05-25T06:28:41.025Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,True,,True,,"[""fonts.googleapis.com"",""fonts.gstatic.com"",""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.youtube.com""]",7.0,"["".cannon.tricare.mil"","".tricare.mil"",""cannon.tricare.mil""]",True,0.2321609840494791,350.9,"[""about"",""foia"",""inspector"",""privacy"",""usa.gov""]","[""about us"",""accessibility"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",,,Home,,,,,,,,,,,en-US,,False,True,False,https://cannon.tricare.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://cannon.tricare.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
beale.tricare.mil,tricare.mil,mil,False,https://beale.tricare.mil/,tricare.mil,mil,beale.tricare.mil,True,200.0,text/html,True,True,defense health agency,9th medical group - beale air force base,Executive,True,"[""mil-sites1""]",False,2024-05-25T06:28:53.975Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,True,,True,,"[""fonts.googleapis.com"",""fonts.gstatic.com"",""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.youtube.com""]",7.0,"["".beale.tricare.mil"","".tricare.mil"",""beale.tricare.mil""]",True,0.042474194173177,399.4,"[""about"",""foia"",""inspector"",""privacy"",""usa.gov""]","[""about us"",""accessibility"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",,,Home,,,,,,,,,,,en-US,,False,True,False,https://beale.tricare.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://beale.tricare.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
irwin.tricare.mil,tricare.mil,mil,False,https://irwin.tricare.mil/,tricare.mil,mil,irwin.tricare.mil,True,200.0,text/html,True,True,defense health agency,irwin army community hospital,Executive,True,"[""mil-sites1""]",False,2024-05-25T06:29:46.841Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,True,,True,,"[""fonts.googleapis.com"",""fonts.gstatic.com"",""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.youtube.com""]",7.0,"["".irwin.tricare.mil"","".tricare.mil""]",True,0.0534471411132812,411.199,"[""about"",""foia"",""inspector"",""privacy"",""usa.gov""]","[""about us"",""accessibility"",""no fear act"",""foia"",""freedom of information act"",""inspector general"",""privacy policy"",""usa.gov""]",,,Home,,,,,,,,,,,en-US,,False,True,False,https://irwin.tricare.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://irwin.tricare.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
bamc.tricare.mil,tricare.mil,mil,False,https://bamc.tricare.mil/,tricare.mil,mil,bamc.tricare.mil,True,200.0,text/html,True,True,defense health agency,amc brooke army medical center-fsh,Executive,True,"[""mil-sites1""]",False,2024-05-25T06:29:57.820Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,True,,True,,"[""fonts.googleapis.com"",""fonts.gstatic.com"",""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.youtube.com""]",7.0,"["".bamc.tricare.mil"","".tricare.mil""]",True,0.0561868444010416,332.899,"[""about"",""foia"",""inspector"",""privacy"",""usa.gov""]","[""about us"",""accessibility"",""no fear act"",""foia"",""freedom of information act"",""inspector general"",""privacy policy"",""usa.gov""]",,,Home,,,,,,,,,,,en-US,,False,True,False,https://bamc.tricare.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://bamc.tricare.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
kunsan.tricare.mil,tricare.mil,mil,False,https://kunsan.tricare.mil/,tricare.mil,mil,kunsan.tricare.mil,True,200.0,text/html,True,True,defense health agency,8th medical group - kunsan air base,Executive,True,"[""mil-sites1""]",False,2024-05-25T05:55:34.444Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,True,,True,,"[""fonts.googleapis.com"",""fonts.gstatic.com"",""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.youtube.com""]",7.0,"["".kunsan.tricare.mil"","".tricare.mil""]",True,0.0563148475748697,328.699,"[""about"",""foia"",""inspector"",""privacy"",""usa.gov""]","[""about us"",""accessibility"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",,,Home,,,,,,,,,,,en-US,,False,True,False,https://kunsan.tricare.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://kunsan.tricare.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
briandallgood.tricare.mil,tricare.mil,mil,False,https://briandallgood.tricare.mil/,tricare.mil,mil,briandallgood.tricare.mil,True,200.0,text/html,True,True,defense health agency,ach-brian allgood ahc-seoul,Executive,True,"[""mil-sites1""]",False,2024-05-25T06:32:39.541Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,True,,True,,"[""fonts.googleapis.com"",""fonts.gstatic.com"",""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.youtube.com""]",7.0,"["".briandallgood.tricare.mil"","".tricare.mil"",""briandallgood.tricare.mil""]",True,0.0328546077473958,387.2,"[""about"",""foia"",""inspector"",""privacy"",""usa.gov""]","[""about us"",""accessibility"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",,,Home,,,,,,,,,,,en-US,,False,True,False,https://briandallgood.tricare.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://briandallgood.tricare.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
mcguiredixlakehurst.tricare.mil,tricare.mil,mil,False,https://mcguiredixlakehurst.tricare.mil/,tricare.mil,mil,mcguiredixlakehurst.tricare.mil,True,200.0,text/html,True,True,defense health agency,87th medical group - joint base mcguire-dix-lakehurst,Executive,True,"[""mil-sites1""]",False,2024-05-25T06:32:47.368Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,True,,True,,"[""fonts.googleapis.com"",""fonts.gstatic.com"",""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.youtube.com""]",7.0,"["".mcguiredixlakehurst.tricare.mil"","".tricare.mil"",""mcguiredixlakehurst.tricare.mil""]",True,0.2073447608235677,339.0,"[""about"",""foia"",""inspector"",""privacy"",""usa.gov""]","[""about us"",""accessibility"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",,,Home,,,,,,,,,,,en-US,,False,True,False,https://mcguiredixlakehurst.tricare.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://mcguiredixlakehurst.tricare.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
spangdahlem.tricare.mil,tricare.mil,mil,False,https://spangdahlem.tricare.mil/,tricare.mil,mil,spangdahlem.tricare.mil,True,200.0,text/html,True,True,defense health agency,52nd medical group - spangdahlem air base,Executive,True,"[""mil-sites1""]",False,2024-05-25T06:32:49.389Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,True,,True,,"[""fonts.googleapis.com"",""fonts.gstatic.com"",""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.youtube.com""]",7.0,"["".spangdahlem.tricare.mil"","".tricare.mil""]",True,0.2242539579671224,542.5,"[""about"",""foia"",""inspector"",""privacy"",""usa.gov""]","[""about us"",""accessibility"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",,,Home,,,,,,,,,,,en-US,,False,True,False,https://spangdahlem.tricare.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://spangdahlem.tricare.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
