target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts_preloaded,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
www.dodig.mil,dodig.mil,mil,False,https://www.dodig.mil/,dodig.mil,mil,www.dodig.mil,True,200.0,text/html,True,True,Defense-wide,Department of Defense Inspector General,Executive,True,"[""mil""]",False,2024-04-27T05:23:31.628Z,completed,completed,completed,completed,completed,completed,completed,True,edgekey.net,,,,True,,True,,"[""fonts.googleapis.com"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",4.0,"["".dodig.mil""]",True,0.0142656770833333,477.399,"[""about"",""foia"",""inspector"",""privacy""]","[""accessibility"",""foia"",""inspector general""]",,,Home,,,,,,,,,,,en-US,,False,True,False,https://www.dodig.mil/robots.txt,True,200.0,text/plain,633.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://www.dodig.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
www.usfk.mil,usfk.mil,mil,False,https://www.usfk.mil/,usfk.mil,mil,www.usfk.mil,True,200.0,text/html,True,True,Defense-wide,U.S. Forces Korea,Executive,True,"[""mil""]",False,2024-04-27T02:39:34.315Z,completed,completed,completed,completed,completed,completed,completed,True,edgekey.net,,,,True,,True,,"[""assets.codepen.io"",""cdn.dvidshub.net"",""d1ldvf68ux039x.cloudfront.net"",""fonts.googleapis.com"",""fonts.gstatic.com"",""media.defense.gov"",""s7.addthis.com"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",10.0,"["".usfk.mil""]",True,0.2951252054036459,380.6,"[""about"",""fear"",""foia"",""inspector"",""privacy"",""usa.gov""]","[""about us"",""accessibility"",""no fear act"",""foia"",""inspector general"",""usa.gov""]",,,United States Forces Korea,,"Korea, US Forces Korea, USFK, United States Forces Korea, USFK Homepage, news, coming to Korea, Life in Korea, covid information,  US Army, US Air Force, US Navy, Marines, MARFOK, 8th Army, 7th Air Force, Driving in Korea, Press Products, Speech, Press Release, USFK Leadership",,,,,,,,,en-US,,False,True,False,https://www.usfk.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://www.usfk.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
www.travel.dod.mil,dod.mil,mil,False,https://www.travel.dod.mil/,dod.mil,mil,www.travel.dod.mil,True,200.0,text/html,True,True,Defense-wide,Defense Travel Management Office (DTMO),Executive,True,"[""mil""]",False,2024-04-27T05:24:43.238Z,completed,completed,completed,completed,completed,completed,completed,True,edgekey.net,,,,True,,True,,"[""fonts.googleapis.com"",""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.youtube.com""]",6.0,"["".dod.mil"","".travel.dod.mil""]",True,0.4109241666666666,368.799,"[""about"",""fear"",""privacy"",""usa.gov""]","[""no fear act"",""foia"",""usa.gov""]",,,Defense Travel Management Office | Home,,,,,,,,,,,en-US,,False,True,False,https://www.travel.dod.mil/robots.txt,True,200.0,text/plain,633.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://www.travel.dod.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,20.0,,0.0,40.0
www.repi.mil,repi.mil,mil,,,,,,,,,,,Defense-wide,DOD Readiness and Environmental Protection Initiative,Executive,True,"[""mil""]",False,2024-04-27T04:28:50.745Z,timeout,completed,completed,completed,completed,completed,completed,True,edgekey.net,,,,,,,,,,"["".repi.mil"","".www.repi.mil""]",,0.0140689166666666,294.1,,,,,"Readiness and Environmental Protection Integration, U.S. Department of Defense",,,,,,,,,,,,,,True,False,https://www.repi.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://www.repi.mil/sitemap.xml,False,404.0,text/html,,,,,,,,,,,,,
sfb.dodlive.mil,dodlive.mil,mil,False,https://sfb.dodlive.mil/,dodlive.mil,mil,sfb.dodlive.mil,True,200.0,text/html,True,True,Defense-wide,State Facility Boards,Executive,True,"[""mil""]",False,2024-04-27T02:38:50.742Z,completed,completed,completed,completed,completed,completed,completed,True,edgekey.net,,,,True,,True,,"[""fonts.googleapis.com"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",4.0,"["".dodlive.mil"","".sfb.dodlive.mil""]",True,0.0059642213541666,430.299,"[""about"",""fear"",""foia"",""privacy"",""usa.gov""]","[""accessibility"",""no fear act"",""foia"",""inspector general"",""usa.gov""]",,,State Facility Boards,,,,,,,,,,,en-US,,False,True,False,https://sfb.dodlive.mil/robots.txt,True,200.0,text/plain,633.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://sfb.dodlive.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
www.dhra.mil,dhra.mil,mil,False,https://www.dhra.mil/,dhra.mil,mil,www.dhra.mil,True,200.0,text/html,True,True,Defense-wide,Defense Manpower Data Center (DMDC),Executive,True,"[""mil""]",False,2024-04-27T04:31:14.117Z,completed,completed,completed,completed,completed,completed,completed,True,edgekey.net,,,,True,,True,,"[""fonts.googleapis.com"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",4.0,"["".dhra.mil"","".www.dhra.mil"",""www.dhra.mil""]",True,0.012012640625,228.299,"[""about"",""fear"",""foia"",""privacy""]","[""accessibility"",""no fear act"",""foia"",""privacy policy""]",,,Defense Human Resources Activity,,,,,,,,,,,en-US,,False,True,False,https://www.dhra.mil/robots.txt,True,200.0,text/plain,633.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://www.dhra.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
www.whitehousecommsagency.mil,whitehousecommsagency.mil,mil,,,,,,,,,,,Defense-wide,White House Communications Agency,Executive,True,"[""mil""]",False,2024-04-27T04:34:56.462Z,timeout,completed,completed,completed,timeout,completed,completed,True,edgekey.net,,,,,,,,,,"["".whitehousecommsagency.mil"","".www.whitehousecommsagency.mil""]",,,,,,,,White House Communications Agency - Home,,,,,,,,,,,,,,True,False,https://www.whitehousecommsagency.mil/robots.txt,True,200.0,text/plain,633.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://www.whitehousecommsagency.mil/sitemap.xml,False,404.0,text/html,,,,,,,,,,,,,
www.dsp.dla.mil,dla.mil,mil,False,https://www.dsp.dla.mil/,dla.mil,mil,www.dsp.dla.mil,True,200.0,text/html,True,True,Defense-wide,Defense Standardization Program,Executive,True,"[""mil""]",False,2024-04-27T03:10:34.834Z,completed,completed,completed,completed,completed,completed,completed,True,edgekey.net,,,,True,,True,,"[""fonts.googleapis.com"",""search.usa.gov"",""ssl.google-analytics.com"",""www.google-analytics.com"",""www.googletagmanager.com""]",5.0,"["".dla.mil"","".dsp.dla.mil"","".www.dsp.dla.mil"",""www.dsp.dla.mil""]",True,0.0006783072916666,396.5,"[""about"",""foia"",""privacy"",""/es""]","[""accessibility"",""foia""]",,,Defense Standardization Program (DSP),"DSP is a comprehensive, integrated standardization program linking DOD acquisition, operational, sustainment, and related military and civil communities.","Department of Defense, Defense Standardization Program Office, Defense Standardization Program (DSP), Standardization Achievement Award Winners, military standards, military specifications, MILSPEC",,,,,,,,,en-US,,False,True,False,https://www.dsp.dla.mil/robots.txt,True,200.0,text/plain,633.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://www.dsp.dla.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
www.cloud.mil,cloud.mil,mil,False,https://www.cloud.mil/,cloud.mil,mil,www.cloud.mil,True,200.0,text/html,True,True,Defense-wide,Enterprise Cloud,Executive,True,"[""mil""]",False,2024-04-27T02:24:05.029Z,completed,completed,completed,completed,completed,completed,completed,True,edgekey.net,,,,False,,True,,"[""fonts.gstatic.com"",""www.google-analytics.com"",""www.googletagmanager.com""]",3.0,"["".cloud.mil"","".www.cloud.mil"",""www.cloud.mil""]",False,0.0245333333333333,324.599,"[""fear"",""foia"",""privacy""]","[""no fear act"",""foia"",""inspector general""]",,,DoD Enterprise Cloud,Official website for DoD Enterprise Cloud (www.cloud.mil),,,,,,,,,,en-US,,False,True,False,https://www.cloud.mil/robots.txt,True,200.0,text/plain,633.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://www.cloud.mil/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
www.dma.mil,dma.mil,mil,False,https://www.dma.mil/,dma.mil,mil,www.dma.mil,True,200.0,text/html,True,True,Defense-wide,Defense Media Activity,Executive,True,"[""mil""]",False,2024-04-27T02:24:21.246Z,completed,completed,completed,completed,completed,completed,completed,True,edgekey.net,,,,True,,True,,"[""fonts.googleapis.com"",""fonts.gstatic.com"",""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",6.0,"["".dma.mil""]",True,0.2720673413085938,498.0,"[""about"",""fear"",""foia"",""inspector"",""privacy"",""usa.gov""]","[""accessibility"",""no fear act"",""foia"",""inspector general"",""usa.gov""]",,,Defense Media Activity - Home,,,,,,,,,,,en-US,,False,True,False,https://www.dma.mil/robots.txt,True,200.0,text/plain,633.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://www.dma.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
