target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,dap_version,ga_tag_id,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
monitor.noaa.gov,noaa.gov,.gov,False,https://monitor.noaa.gov/,noaa.gov,gov,monitor.noaa.gov,True,200.0,text/html,True,True,Department of Commerce,National Oceanic and Atmospheric Administration,Executive,False,"[""dap"",""pulse"",""omb_idea"",""2020_eot""]",True,2024-08-31T07:06:17.494Z,completed,completed,completed,completed,completed,completed,completed,completed,True,azure.com,,,,True,True,True,"{""agency"":""DOC"",""subagency"":""NOAA"",""pua"":""UA-41067187-11""}",20240712 v8.2 - GA4,"G-H1EEN5H6TM,UA-41067187-1,G-CSLL4ZEK4L","[""cg-1b082c1b-3db7-477f-9ca5-bd51a786b41e.s3-us-gov-west-1.amazonaws.com"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""nmsmonitor.blob.core.windows.net"",""nmssanctuaries.blob.core.windows.net"",""sanctuaries.noaa.gov"",""touchpoints.app.cloud.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",10.0,"["".noaa.gov""]",True,0.0557489202067057,584.599,"[""about"",""foia"",""privacy""]","[""accessibility"",""freedom of information act"",""privacy policy""]",True,True,Monitor National Marine Sanctuary,Monitor National Marine Sanctuary is the first national marine sanctuary ever designated in the United States. It protects the wreck of the famed Civil War ironclad USS Monitor.,"american samoa, island, sanctuary, sanctuaries, oceans, marine life, whales, shark, coral, kelp, underwater parks, coast, chart, navigation, NOAA, National Oceanic and Atmospheric Administration, sea, Pacific, Ocean, beach, oceans, seas, beaches, reef, coral, wave, waves, climate, surf, ship, ships, boat, boats",,,,,,,,,en,,False,True,False,https://monitor.noaa.gov/robots.txt,True,200.0,text/plain,66.0,,,True,False,https://monitor.noaa.gov/sitemap.xml,True,200.0,text/xml,29345.0,198.0,0.0,0.0,0.0,0.0,0.0,"[""usa-banner"",""usa-button"",""usa-fieldset"",""usa-form"",""usa-input"",""usa-label"",""usa-legend"",""usa-select"",""usa-skipnav""]",False,40.0,0.0,0.0,,0.0,40.0
ak-docdrupal8-632-commerce8.d.commerce.gov,commerce.gov,.gov,,,,,,,,,,,Department of Commerce,Department of Commerce,Executive,,"[""pulse""]",,2024-08-31T01:17:11.828Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,unknown_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staff.commerce.gov,commerce.gov,.gov,False,https://staff.commerce.gov/,commerce.gov,gov,staff.commerce.gov,True,200.0,text/html,True,True,Department of Commerce,Department of Commerce,Executive,True,"[""omb_idea""]",False,2024-08-31T05:35:50.088Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,,False,,False,,,,,0.0,,False,0.0,251.599,,,True,True,,,,,,,,,,,,,,False,False,False,https://staff.commerce.gov/robots.txt,False,404.0,text/html,,,,False,False,https://staff.commerce.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
dusas.noaa.gov,noaa.gov,.gov,,,,,,,,,,,Department of Commerce,National Oceanic and Atmospheric Administration,Executive,,"[""pulse""]",,2024-08-31T06:14:04.222Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fishwatch.gov,fishwatch.gov,.gov,True,https://www.fisheries.noaa.gov/topic/sustainable-seafood,noaa.gov,gov,www.fisheries.noaa.gov,True,200.0,text/html,False,False,Department of Commerce,NOAA Fisheries,Executive,False,"[""gov"",""pulse""]",,2024-08-31T02:25:24.381Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,Drupal,,,True,,False,,,"UA-23806328-1,G-93J4YEC73J","[""6017905.global.siteimproveanalytics.io"",""ajax.googleapis.com"",""bam.nr-data.net"",""cdnjs.cloudflare.com"",""cf-images.us-east-1.prod.boltdns.net"",""edge.api.brightcove.com"",""eex-gateway.fr011.ttecfed.com"",""house-fastly-signed-us-east-1-prod.brightcovecdn.com"",""js-agent.newrelic.com"",""metrics.brightcove.com"",""players.brightcove.net"",""siteimproveanalytics.com"",""static.addtoany.com"",""vjs.zencdn.net"",""www.google-analytics.com"",""www.googletagmanager.com""]",16.0,"["".noaa.gov""]",True,0.1015002109375,2039.1,"[""about"",""foia"",""privacy"",""usa.gov""]","[""about us"",""accessibility"",""foia"",""privacy policy"",""usa.gov""]",False,False,Sustainable Seafood | NOAA Fisheries,Learn how NOAA Fisheries supports the development of both farm-raised and wild-captured resources to meet growing demand for sustainable seafood.,"Wild-Caught Seafood,Farmed Seafood,Eat Seafood, America!",Sustainable Seafood | NOAA Fisheries,Learn how NOAA Fisheries supports the development of both farm-raised and wild-captured resources to meet growing demand for sustainable seafood.,,,https://www.fisheries.noaa.gov/s3//dam-migration/250x350-seafood-on-ice-2-shutterstock.jpg,Topic,https://www.fisheries.noaa.gov/topic/sustainable-seafood,https://www.fisheries.noaa.gov/topic/sustainable-seafood,en,,True,False,True,https://www.fisheries.noaa.gov/topic/sustainable-seafood,True,200.0,text/html,,,,False,True,https://www.fisheries.noaa.gov/topic/sustainable-seafood,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
nehrp.gov,nehrp.gov,.gov,False,https://nehrp.gov/,nehrp.gov,gov,nehrp.gov,True,200.0,text/html,True,True,Department of Commerce,National Institute of Standards and Technology,Executive,True,"[""gov"",""pulse"",""omb_idea""]",True,2024-08-31T05:36:01.651Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,,True,True,False,,,"UA-42404149-1,UA-4625618-1,UA-33523145-1,G-S6BGBNJ9XQ","[""ajax.googleapis.com"",""jigsaw.w3.org"",""ssl.google-analytics.com"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.w3.org""]",6.0,"["".nehrp.gov""]",False,0.0431317220052083,309.5,"[""about"",""fear"",""privacy"",""usa.gov""]","[""about us"",""accessibility"",""no fear act"",""foia"",""privacy policy"",""usa.gov""]",True,True,NEHRP - National Earthquake Hazards Reduction Program - A research and implementation partnership,Working to reduce earthquake losses,"earthquakes, seismic programs, hazards, mitigation, hazards reduction",,,,,,,,,en,,False,True,False,https://nehrp.gov/robots.txt,True,200.0,text/plain,97.0,,,False,False,https://nehrp.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
www.wpc.woc.noaa.gov,noaa.gov,.gov,False,https://www.wpc.woc.noaa.gov/#page=ovw,noaa.gov,gov,www.wpc.woc.noaa.gov,True,200.0,text/html,True,True,Department of Commerce,National Oceanic and Atmospheric Administration,Executive,False,"[""dap""]",,2024-08-31T01:10:24.225Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,cloudfront.net,,,,True,True,True,"{""agency"":""DOC"",""subagency"":""WPC"",""pua"":""ua-86992316-1""}",20240712 v8.2 - GA4,G-CSLL4ZEK4L,"[""abs.twimg.com"",""ajax.googleapis.com"",""dap.digitalgov.gov"",""origin.wpc.ncep.noaa.gov"",""pbs.twimg.com"",""platform.twitter.com"",""scontent-sea1-1.xx.fbcdn.net"",""static.xx.fbcdn.net"",""syndication.twitter.com"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.weather.gov""]",12.0,"["".noaa.gov""]",False,0.0136847291666666,1034.2,"[""about"",""foia"",""privacy"",""usa.gov""]","[""about us"",""foia"",""freedom of information act"",""privacy policy""]",,,Weather Prediction Center (WPC) Home Page,,,,,,,,,,,en,,False,False,False,https://www.wpc.woc.noaa.gov/robots.txt,False,503.0,text/plain,,,,False,False,https://www.wpc.woc.noaa.gov/sitemap.xml,False,503.0,text/plain,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
www.buyusa.gov,buyusa.gov,.gov,False,https://www.buyusa.gov/,buyusa.gov,gov,www.buyusa.gov,False,404.0,text/html,True,True,Department of Commerce,International Trade Administration,Executive,True,"[""gov"",""2020_eot""]",,2024-08-31T04:57:46.810Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,amazonaws.com,,,,False,,False,,,,,0.0,,False,0.0,128.599,,,,,Not Found,,,,,,,,,,,,,False,False,False,https://www.buyusa.gov/robots.txt,False,404.0,text/html,,,,False,False,https://www.buyusa.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
mic.nist.gov,nist.gov,.gov,False,https://login.microsoftonline.com/2ab5d82f-d8fa-4797-a93e-054655c61dec/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=D4319727A91ECC90CD0E6B37612B421B2BD693EFC7520C05%2D00CB17B7FC66BF0B2C348B8112A6A88254ABF5B8593F414070C96C426B98D8E1&redirect%5Furi=https%3A%2F%2Fnistgov%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=3c854ba1%2D6016%2D6000%2D537c%2Ddeea92262c7f&sso_reload=true,microsoftonline.com,com,login.microsoftonline.com,True,200.0,text/html,False,False,Department of Commerce,National Institute of Standards and Technology,Executive,False,"[""pulse""]",,2024-08-31T01:57:43.920Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,,False,,False,,,,"[""aadcdn.msftauth.net"",""login.live.com""]",2.0,"["".login.microsoftonline.com"",""login.microsoftonline.com""]",True,0.061136890625,1465.099,"[""privacy""]",,True,True,Sign in to your account,,,,,,,,,,,en,,False,False,True,https://login.microsoftonline.com/2ab5d82f-d8fa-4797-a93e-054655c61dec/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=B6CF1B7FD3FD2283F985B909712FF340D4BCB635E329D806%2D481A26EAC214421D23DC0DA123AD2E445BBFBA102459EBB3E76A41F8BC8FD8CA&redirect%5Furi=https%3A%2F%2Fnistgov%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=3c854ba1%2D40a7%2D6000%2D537c%2Ddebea416c107,True,200.0,text/html,,,,False,True,https://login.microsoftonline.com/2ab5d82f-d8fa-4797-a93e-054655c61dec/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=828292FFB680AFB9BE4BFF91F118E247B92D708D632A09C7%2D24E5B48A3AC7FAA6AC36427996E2D6794346A412E82434B8E8780188D40B0B5C&redirect%5Furi=https%3A%2F%2Fnistgov%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=3d854ba1%2D201b%2D6000%2D537c%2Dd1d820bddc46,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
nwrfc.noaa.gov,noaa.gov,.gov,,,,,,,,,,,Department of Commerce,National Oceanic and Atmospheric Administration,Executive,,"[""pulse"",""omb_idea""]",True,2024-08-31T01:49:08.446Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,"["".nwrfc.noaa.gov""]",,,,,,True,True,Northwest River Forecast Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
