target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,dap_version,ga_tag_id,third_party_service_domains,third_party_service_urls,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
acab.natcapwg.cap.gov,cap.gov,.gov,,,,,,,,,,,Department of Defense,Civil Air Patrol HQ,Executive,,"[""pulse""]",,2024-11-20T02:32:01.967Z,connection_closed,connection_closed,completed,unknown_error,connection_closed,connection_closed,completed,connection_closed,True,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.ostc.marines.mil,marines.mil,.mil,False,https://www.ostc.marines.mil/,marines.mil,mil,www.ostc.marines.mil,True,200.0,text/html,True,True,Department of Defense,Marine Corps,Executive,True,"[""dap""]",,2024-11-20T01:02:11.950Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,DNN,,,True,,True,"{""id"":""G-CSLL4ZEK4L""}",,G-CSLL4ZEK4L,"[""media.defense.gov"",""www.googletagmanager.com""]","[""https://media.defense.gov/2020/Jun/11/2002314516/900/900/1/200611-M-NA012-001.JPG"",""https://media.defense.gov/2023/May/10/2003317946/1600/550/0/230510-M-HC389-0001.JPG"",""https://media.defense.gov/2024/Jan/04/2003368302/150/150/0/240104-M-HC389-0001.PNG"",""https://www.googletagmanager.com/gtag/js""]",2.0,"["".marines.mil"","".www.ostc.marines.mil""]",True,0.0,630.599,"[""fear"",""foia"",""usa.gov""]","[""accessibility"",""no fear act"",""foia"",""usa.gov""]",,,Office of Special Trial Counsel,,,,,,,,,,,en-US,,True,True,False,https://www.ostc.marines.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://www.ostc.marines.mil/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
dma.mil,dma.mil,.mil,,,,,,,,,,,Department of Defense,,Executive,,"[""omb_idea""]",True,2024-11-20T07:47:29.955Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,unknown_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
utwg.cap.gov,cap.gov,.gov,False,https://utwg.cap.gov/,cap.gov,gov,utwg.cap.gov,True,200.0,text/html,True,True,Department of Defense,Civil Air Patrol HQ,Executive,True,"[""pulse"",""omb_idea""]",True,2024-11-20T03:20:37.280Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,,False,,False,,,"G-1L3JWERNJL,UA-191831271-1","[""ajax.googleapis.com"",""content.presspage.com"",""fonts.googleapis.com"",""fonts.gstatic.com"",""ssl.google-analytics.com"",""static.globalreach.com"",""www.googletagmanager.com""]","[""https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js"",""https://ajax.googleapis.com/ajax/libs/webfont/1.4.7/webfont.js"",""https://content.presspage.com/uploads/1913/0e7da8a7-ab44-4861-8115-6718eedefbdf/500_nhqkowensaa1.jpg"",""https://content.presspage.com/uploads/1913/ebad2bb6-5a8d-4fce-b299-fb885b0d292d/500_moehlersa.jpg"",""https://content.presspage.com/uploads/1913/f70fce5c-9ef7-408d-885b-ef8086432ff1/500_screenshot2024-11-19141759.png"",""https://fonts.googleapis.com/css"",""https://fonts.gstatic.com/s/opensans/v40/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTS-mu0SC55I.woff2"",""https://fonts.gstatic.com/s/ubuntu/v20/4iCs6KVjbNBYlgoKfw72nU6AFw.woff2"",""https://ssl.google-analytics.com/__utm.gif"",""https://ssl.google-analytics.com/ga.js"",""https://static.globalreach.com/images/logos-new/globalreach_dark.svg"",""https://www.googletagmanager.com/gtag/js""]",7.0,"["".cap.gov"","".utwg.cap.gov"",""utwg.cap.gov""]",True,0.0286845413411458,840.9,"[""about"",""privacy""]",,False,True,Home | Civil Air Patrol Utah Wing,,,Home,,,,https://utwg.cap.gov/assets/images/webclip.png,website,https://utwg.cap.gov/,https://utwg.cap.gov,en,,False,True,False,https://utwg.cap.gov/robots.txt,True,200.0,text/plain,129.0,5.0,"[""https://utwg.cap.gov/sitemap.xml""]",True,False,https://utwg.cap.gov/sitemap.xml,True,200.0,application/xml,5233.0,43.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
www.pa.ng.mil,ng.mil,.mil,,,,,,,,,,,Department of Defense,National Guard,Executive,True,"[""dap"",""mil-sites1""]",,2024-11-20T09:20:38.567Z,unknown_error,completed,completed,completed,timeout,completed,unknown_error,completed,True,edgekey.net,,,,,,,,,G-CSLL4ZEK4L,,,,"["".ng.mil"","".www.pa.ng.mil"",""www.pa.ng.mil""]",,,,,,,,Pennsylvania National Guard,,,,,,,,,,,,,,True,False,https://www.pa.ng.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://www.pa.ng.mil/sitemap.xml,False,404.0,text/html,,,,,,,,,,,,,,,
wrair.health.mil,health.mil,.mil,False,https://wrair.health.mil/,health.mil,mil,wrair.health.mil,True,200.0,text/html,True,True,Department of Defense,,Executive,True,"[""dap"",""omb_idea"",""mil-sites1""]",True,2024-11-20T10:44:37.267Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,DNN,,,True,,True,"{""id"":""G-CSLL4ZEK4L""}",,G-CSLL4ZEK4L,"[""d1ldvf68ux039x.cloudfront.net"",""fonts.googleapis.com"",""fonts.gstatic.com"",""media.defense.gov"",""search.usa.gov"",""www.googletagmanager.com"",""www.youtube.com""]","[""https://d1ldvf68ux039x.cloudfront.net/thumbs/frames/video/2306/888689/DOD_109734394.0000001/2000w_q95.jpg"",""https://fonts.googleapis.com/css"",""https://fonts.gstatic.com/s/opensans/v40/memSYaGs126MiZpBA-UvWbX2vVnXBbObj2OVZyOOSr4dVJWUgsjZ0B4gaVQUwaEQbjA.woff"",""https://media.defense.gov/2022/Mar/07/2002951495/740/740/0/130109-A-A1902-1111.JPG"",""https://media.defense.gov/2023/Dec/15/2003361136/1310/736/0/230629-A-JC417-0001.JPG"",""https://media.defense.gov/2023/Dec/15/2003361137/1310/736/0/230630-A-PR201-0087.JPG"",""https://media.defense.gov/2023/Dec/15/2003361138/1310/736/0/230711-A-JC417-0025.JPG"",""https://media.defense.gov/2023/Dec/15/2003361139/1310/736/0/230804-A-PR201-030.JPG"",""https://media.defense.gov/2023/Dec/15/2003361140/1310/736/0/230928-A-JC417-0043.JPG"",""https://media.defense.gov/2023/Dec/15/2003361141/1310/736/0/231113-A-JC417-0022.JPG"",""https://media.defense.gov/2023/Dec/15/2003361142/1310/736/0/231127-A-JC417-0043.JPG"",""https://media.defense.gov/2023/Dec/15/2003361143/1310/736/0/231204-A-JC417-0018.JPG"",""https://media.defense.gov/2023/Dec/15/2003361144/1310/736/0/231208-A-A1902-0001.JPG"",""https://media.defense.gov/2023/Dec/15/2003361149/1310/736/0/231018-A-A1902-0002.JPG"",""https://media.defense.gov/2023/May/25/2003230237/740/740/0/230525-A-A1902-0396.PNG"",""https://media.defense.gov/2023/May/31/2003232797/740/740/0/310523-A-A1902-301.PNG"",""https://search.usa.gov/assets/sayt.css"",""https://search.usa.gov/assets/sayt_loader.js"",""https://search.usa.gov/assets/sayt_loader_libs.js"",""https://search.usa.gov/javascripts/remote.loader.js"",""https://www.googletagmanager.com/gtag/js"",""https://www.youtube.com/iframe_api"",""https://www.youtube.com/s/player/5f315c3d/www-widgetapi.vflset/www-widgetapi.js""]",7.0,"["".health.mil"","".wrair.health.mil"",""wrair.health.mil""]",True,0.9429715505371096,1984.5,"[""about"",""privacy"",""usa.gov""]","[""about us"",""accessibility"",""no fear act"",""foia"",""privacy policy"",""usa.gov""]",,,Army Home,,"science, Army, scientific research, WRAIR, drug development",Walter Reed Army Institute of Research Mission overview video,For 135 years the Walter Reed Army Institute of Research has been at the forefront of Military relevant scientific research and drug development. This video outlines the mission set of the largest research institute in the DoD.,,,https://d1ldvf68ux039x.cloudfront.net/thumbs/frames/video/2306/888689/DOD_109734394.0000001/300w_q95.jpg,,,,en-US,,False,True,False,https://wrair.health.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://wrair.health.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,20.0
patrick.spaceforce.mil,spaceforce.mil,.mil,,,,,,,,,,,Department of Defense,Space Force,Executive,,"[""omb_idea""]",True,2024-11-20T11:23:28.589Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,unknown_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rader.tricare.mil,tricare.mil,.mil,,,,,,,,,,,Department of Defense,,Executive,True,"[""dap"",""omb_idea"",""mil-sites1""]",True,2024-11-20T07:39:36.351Z,timeout,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,,,,,,G-CSLL4ZEK4L,,,,"["".tricare.mil""]",,0.0469499602864583,576.1,,,,,Rader,,,,,,,,,,,,,,True,False,https://rader.tricare.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://rader.tricare.mil/sitemap.xml,False,404.0,unknown,,,,,,,,,,,,,,,
youngstown.afrc.af.mil,af.mil,.mil,,,,,,,,,,,Department of Defense,Air Force,Executive,,"[""omb_idea""]",True,2024-11-20T07:00:32.119Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,unknown_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdwg.cap.gov,cap.gov,.gov,False,https://mdwg.cap.gov/,cap.gov,gov,mdwg.cap.gov,True,200.0,text/html,True,True,Department of Defense,Civil Air Patrol HQ,Executive,True,"[""pulse"",""omb_idea""]",True,2024-11-20T08:03:38.264Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,,False,,False,,,G-78VNMNSSD3,"[""ajax.googleapis.com"",""content.presspage.com"",""fonts.googleapis.com"",""fonts.gstatic.com"",""static.globalreach.com"",""www.googletagmanager.com""]","[""https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js"",""https://ajax.googleapis.com/ajax/libs/webfont/1.4.7/webfont.js"",""https://content.presspage.com/uploads/1913/0e7da8a7-ab44-4861-8115-6718eedefbdf/500_nhqkowensaa1.jpg"",""https://content.presspage.com/uploads/1913/ebad2bb6-5a8d-4fce-b299-fb885b0d292d/500_moehlersa.jpg"",""https://content.presspage.com/uploads/1913/f70fce5c-9ef7-408d-885b-ef8086432ff1/500_screenshot2024-11-19141759.png"",""https://fonts.googleapis.com/css"",""https://fonts.gstatic.com/s/opensans/v40/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTS-mu0SC55I.woff2"",""https://fonts.gstatic.com/s/ubuntu/v20/4iCs6KVjbNBYlgoKfw72nU6AFw.woff2"",""https://static.globalreach.com/images/logos-new/globalreach_dark.svg"",""https://www.googletagmanager.com/gtag/js""]",6.0,"["".cap.gov"",""mdwg.cap.gov""]",True,0.1258698883463541,801.0,"[""inspector"",""privacy"",""/es""]","[""inspector general""]",False,True,Home | Civil Air Patrol Maryland Wing,,,Home,,,,https://mdwg.cap.gov/assets/images/webclip.png,website,https://mdwg.cap.gov/,https://mdwg.cap.gov,en,,False,True,False,https://mdwg.cap.gov/robots.txt,True,200.0,text/plain,129.0,5.0,"[""https://mdwg.cap.gov/sitemap.xml""]",True,False,https://mdwg.cap.gov/sitemap.xml,True,200.0,application/xml,19267.0,142.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
