target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,dap_version,ga_tag_id,third_party_service_domains,third_party_service_urls,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
crdc.communities.ed.gov,ed.gov,.gov,False,https://crdc.communities.ed.gov/#program,ed.gov,gov,crdc.communities.ed.gov,True,200.0,text/html,True,True,Department of Education,Office of Chief Information Officer,Executive,True,"[""dap"",""omb_idea""]",True,2024-10-31T08:40:15.049Z,completed,evaluation_failed,completed,completed,completed,completed,completed,completed,True,qipservices.com,,,"[""\""password\"""",""type=\""password\""""]",False,,True,"{""agency"":""ED""}",20240925 v8.3 - GA4,"G-3QME6S6H4M,G-CSLL4ZEK4L","[""dap.digitalgov.gov"",""www.googletagmanager.com""]","[""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://www.googletagmanager.com/gtag/js""]",2.0,"["".ed.gov"",""crdc.communities.ed.gov""]",False,0.0683686041666666,2895.3,,,True,True,Communities360°,Grantee Records and Assistance Database System,GRADS,,,,,,,,,en,,False,False,False,https://crdc.communities.ed.gov/robots.txt,False,404.0,text/html,,,,False,False,https://crdc.communities.ed.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
eddataexpress.ed.gov,ed.gov,.gov,False,https://eddataexpress.ed.gov/,ed.gov,gov,eddataexpress.ed.gov,True,200.0,text/html,True,True,Department of Education,Office of Chief Information Officer,Executive,True,"[""dap"",""pulse"",""omb_idea""]",True,2024-10-31T08:40:31.153Z,completed,completed,completed,completed,completed,completed,completed,completed,True,amazonaws.com,Drupal,,,False,,True,"{""agency"":""ED"",""yt"":""false"",""sdor"":""false"",""pua"":""GSA_ENOR"",""forcessl"":""true""}",20240925 v8.3 - GA4,"G-WRL79S9NQB,G-CSLL4ZEK4L","[""dap.digitalgov.gov"",""use.fontawesome.com"",""www.googletagmanager.com""]","[""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://use.fontawesome.com/releases/v5.13.1/js/all.js"",""https://use.fontawesome.com/releases/v5.13.1/js/v4-shims.js"",""https://www.googletagmanager.com/a"",""https://www.googletagmanager.com/gtag/js""]",3.0,"["".ed.gov""]",True,0.0532769032796223,319.899,"[""about"",""foia"",""privacy"",""usa.gov"",""espanol"",""/es""]","[""about us"",""accessibility"",""foia"",""inspector general"",""privacy policy"",""usa.gov"",""español""]",False,False,Home Page | Ed Data Express,,,,,,,,,,https://eddataexpress.ed.gov/node/10136,en,,True,False,False,https://eddataexpress.ed.gov/robots.txt,False,404.0,text/html,1743.0,,,False,False,https://eddataexpress.ed.gov/sitemap.xml,False,404.0,text/html,,,,20.0,0.0,0.0,0.0,"[""usa-accordion"",""usa-banner"",""usa-button"",""usa-button-group"",""usa-footer"",""usa-header"",""usa-icon"",""usa-logo"",""usa-menu-btn"",""usa-modal"",""usa-modal-overlay"",""usa-nav"",""usa-overlay"",""usa-prose"",""usa-sr-only""]",True,65.0,58.0,20.0,,0.0,163.0
dmcsnpv01.ed.gov,ed.gov,.gov,,,,,,,,,,,Department of Education,Office of Chief Information Officer,Executive,,"[""pulse""]",,2024-10-31T08:41:39.033Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datainventory.ed.gov,ed.gov,.gov,False,https://datainventory.ed.gov/,ed.gov,gov,datainventory.ed.gov,True,200.0,text/html,True,True,Department of Education,Office of Chief Information Officer,Executive,False,"[""dap"",""pulse"",""omb_idea""]",True,2024-10-31T06:30:16.346Z,completed,completed,completed,completed,completed,completed,completed,completed,True,qipservices.com,,,,True,,True,"{""agency"":""ED""}",20240925 v8.3 - GA4,G-CSLL4ZEK4L,"[""cdnjs.cloudflare.com"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""www.googletagmanager.com""]","[""https://cdnjs.cloudflare.com/ajax/libs/jstree/3.3.16/themes/default/style.min.css"",""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://fonts.googleapis.com/css"",""https://fonts.gstatic.com/s/opensans/v40/memSYaGs126MiZpBA-UvWbX2vVnXBbObj2OVZyOOSr4dVJWUgsjZ0B4gaVQUwaEQbjA.woff"",""https://www.googletagmanager.com/gtag/js""]",5.0,"["".ed.gov""]",False,0.0004603054199218,1028.5,"[""about""]",,True,True,ED Data Inventory - Home,,,,,,,,,,,en,,False,False,False,https://datainventory.ed.gov/robots.txt,False,404.0,text/html,,,,False,False,https://datainventory.ed.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
www.eric.ed.gov,ed.gov,.gov,True,https://eric.ed.gov/,ed.gov,gov,eric.ed.gov,True,200.0,text/html,True,False,Department of Education,Office of Chief Information Officer,Executive,True,"[""2020_eot""]",,2024-10-31T02:21:48.983Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,,,,,False,,True,"{""pga4"":""55622235"",""agency"":""ED"",""subagency"":""ERIC""}",20240712 v8.2 - GA4,"G-Q61Y5YWXL4,G-CSLL4ZEK4L","[""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://www.google-analytics.com/g/collect"",""https://www.googletagmanager.com/gtag/js""]",2.0,"["".ed.gov""]",False,0.084003625,846.9,"[""privacy""]",,,,ERIC - Education Resources Information Center,"ERIC is an online library of education research and information, sponsored by the Institute of Education Sciences (IES) of the U.S. Department of Education.",,,,,,,,,,,,False,True,True,https://eric.ed.gov/robots.txt,True,200.0,text/plain,108.0,,"[""https://files.eric.ed.gov/sitemaps/sitemap_index.xml""]",False,True,https://eric.ed.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
ceds.communities.ed.gov,ed.gov,.gov,False,https://ceds.communities.ed.gov/#program,ed.gov,gov,ceds.communities.ed.gov,True,200.0,text/html,True,True,Department of Education,Office of Chief Information Officer,Executive,True,"[""dap"",""omb_idea""]",True,2024-10-31T08:43:18.495Z,completed,evaluation_failed,completed,completed,completed,completed,completed,completed,True,qipservices.com,,,"[""\""password\"""",""type=\""password\""""]",False,,True,"{""agency"":""ED""}",20240925 v8.3 - GA4,"G-2CXTZHGKRN,G-CSLL4ZEK4L","[""dap.digitalgov.gov"",""www.googletagmanager.com""]","[""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://www.googletagmanager.com/gtag/js""]",2.0,"["".ed.gov"",""ceds.communities.ed.gov""]",False,0.0793352708333333,1745.2,,,True,True,Communities360°,Grantee Records and Assistance Database System,GRADS,,,,,,,,,en,,False,False,False,https://ceds.communities.ed.gov/robots.txt,False,404.0,text/html,,,,False,False,https://ceds.communities.ed.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
collegescorecard.ed.gov,ed.gov,.gov,False,https://collegescorecard.ed.gov/,ed.gov,gov,collegescorecard.ed.gov,True,200.0,text/html,True,True,Department of Education,Office of Chief Information Officer,Executive,True,"[""dap"",""pulse"",""omb_idea"",""gov_man""]",True,2024-10-31T08:43:53.325Z,completed,completed,completed,completed,completed,completed,completed,timeout,True,cloudfront.net,,,,True,,True,,20240925 v8.3 - GA4,"UA-48605964-2,G-CSLL4ZEK4L,G-19BFKPWV7B","[""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""p.typekit.net"",""use.typekit.net"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.gstatic.com""]","[""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://fonts.googleapis.com/css2"",""https://fonts.gstatic.com/s/inter/v18/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2"",""https://p.typekit.net/p.css"",""https://use.typekit.net/af/153042/00000000000000007735bb62/30/l"",""https://use.typekit.net/af/384d9b/00000000000000007735bb6a/30/l"",""https://use.typekit.net/nmj8tls.css"",""https://www.google-analytics.com/analytics.js"",""https://www.google-analytics.com/collect"",""https://www.google-analytics.com/j/collect"",""https://www.googletagmanager.com/gtag/js"",""https://www.googletagmanager.com/gtm.js"",""https://www.gstatic.com/charts/loader.js""]",8.0,"["".ed.gov""]",True,0.1603002843424479,698.2,,,True,True,Home | College Scorecard,"Find the college that’s the best fit for you! The U.S. Department of Education’s College Scorecard has the most reliable data on college costs,graduation, and post-college earnings.","College Scorecard, Department of Education, ED, college search, higher education, college data, college selection, higher education data, college rankings",,"Find the college that’s the best fit for you! The U.S. Department of Education’s College Scorecard has the most reliable data on college costs,graduation, and post-college earnings.",,,https://collegescorecard.ed.gov/img/CollegeScorecard-Blog-Image-updated.png,website,,,en,,True,False,False,https://collegescorecard.ed.gov/robots.txt,False,404.0,text/html,,,,,,,,,,,,,0.0,0.0,40.0,0.0,,False,0.0,0.0,0.0,,0.0,40.0
testscreening.nationalblueribbonschools.ed.gov,ed.gov,.gov,False,https://testscreening.nationalblueribbonschools.ed.gov/,ed.gov,gov,testscreening.nationalblueribbonschools.ed.gov,True,200.0,text/html,True,True,Department of Education,Office of Chief Information Officer,Executive,True,"[""pulse"",""omb_idea""]",False,2024-10-31T04:32:18.665Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,WordPress,login.gov,"["">Forgot Password</a>""]",False,,False,,,,"[""cdn.datatables.net"",""cdnjs.cloudflare.com"",""code.jquery.com"",""maxcdn.bootstrapcdn.com"",""nationalblueribbonschools.ed.gov""]","[""https://cdn.datatables.net/1.10.2/js/jquery.dataTables.min.js"",""https://cdnjs.cloudflare.com/ajax/libs/jquery-validate/1.19.2/jquery.validate.min.js"",""https://code.jquery.com/jquery-3.5.1.min.js"",""https://code.jquery.com/ui/1.12.1/jquery-ui.min.js"",""https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap-theme.min.css"",""https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css"",""https://maxcdn.bootstrapcdn.com/bootstrap/3.4.1/js/bootstrap.min.js"",""https://nationalblueribbonschools.ed.gov/wp-content/themes/uswds/assets/images/ed-gov.jpg""]",5.0,"[""testscreening.nationalblueribbonschools.ed.gov""]",False,0.0144470216878255,511.399,"[""about"",""privacy""]","[""privacy policy""]",True,True,The National Blue Ribbon Schools Program - Screener Portal,National Blue Ribbon Schools Program,,,,,,,,,,,,False,True,False,https://testscreening.nationalblueribbonschools.ed.gov/robots.txt,True,200.0,text/plain,31.0,,,False,False,https://testscreening.nationalblueribbonschools.ed.gov/sitemap.xml,False,404.0,text/html,,,,20.0,0.0,0.0,3.0,"[""usa-accordion"",""usa-banner"",""usa-button"",""usa-footer-primary-content"",""usa-header"",""usa-identifier"",""usa-language-container"",""usa-menu-btn"",""usa-nav"",""usa-skipnav"",""usa-width-one-sixth""]",True,30.0,20.0,20.0,v3.4.1,100.0,193.0
studentaidhelp.ed.gov,ed.gov,.gov,,,,,,,,,,,Department of Education,Office of Chief Information Officer,Executive,,"[""pulse""]",,2024-10-31T04:22:29.755Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lessonplanner.lincs.ed.gov,ed.gov,.gov,,,,,,,,,,,Department of Education,Office of Chief Information Officer,Executive,,"[""pulse""]",,2024-10-31T00:50:41.557Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
