target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts_preloaded,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
firefox.sandia.gov,sandia.gov,gov,False,https://firefox.sandia.gov/,sandia.gov,gov,firefox.sandia.gov,True,200.0,text/html,True,True,Department of Energy,Sandia National Laboratories,Executive,True,"[""pulse"",""omb_idea""]",False,2024-04-13T05:19:59.990Z,completed,completed,completed,completed,completed,completed,completed,True,,,,,False,,False,,,0.0,"["".firefox.sandia.gov""]",False,0.0,66.699,,,,,www2.sandia.gov,,,,,,,,,,,,,False,False,False,https://firefox.sandia.gov/robots.txt,False,404.0,text/html,,,,False,False,https://firefox.sandia.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
dst.lbl.gov,lbl.gov,gov,False,https://dst.lbl.gov/,lbl.gov,gov,dst.lbl.gov,True,200.0,text/html,True,True,Department of Energy,Lawrence Berkeley National Laboratory,Executive,True,"[""pulse"",""omb_idea""]",True,2024-04-13T01:00:00.492Z,completed,completed,completed,completed,completed,completed,completed,True,cloudflare.net,,,,False,,False,,"[""sciencenode.org""]",1.0,,False,0.0,148.7,"[""/es""]",,True,False,DST,,,,,,,,,,,en,,False,True,False,https://dst.lbl.gov/robots.txt,True,200.0,text/plain,389.0,,,False,False,https://dst.lbl.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
erecruit.pnnl.gov,pnnl.gov,gov,True,https://pnnl.jibeapply.com/,jibeapply.com,com,pnnl.jibeapply.com,True,200.0,text/html,False,False,Department of Energy,Pacific Northwest National Laboratory,Executive,False,"[""pulse""]",,2024-04-13T05:11:22.674Z,completed,completed,completed,completed,completed,completed,timeout,False,,,,"[""\""password\""""]",True,,True,"{""agency"":""PNNL""}","[""ajax.googleapis.com"",""analytics.jibecdn.com"",""app.jibecdn.com"",""app.textrecruit.com"",""app1.textrecruit.com"",""assets.jibecdn.com"",""assets.textrecruit.com"",""bam.nr-data.net"",""c.talentplatform.us"",""cdn.pendo.io"",""cdn13.icims.com"",""cms.jibecdn.com"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""js-agent.newrelic.com"",""px.ads.linkedin.com"",""snap.licdn.com"",""snowplowjs.jibecdn.com"",""stats.g.doubleclick.net"",""unpkg.com"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.linkedin.com""]",24.0,"["".jibeapply.com"","".pnnl.jibeapply.com"",""pnnl.jibeapply.com""]",True,0.0353108119303385,694.799,"[""privacy""]","[""privacy policy""]",True,True,PNNL Careers,,,PNNL Careers,PNNL Careers,,,https://cms.jibecdn.com/prod/pnnl/assets/OPENGRAPH-IMAGE-en-us-1622659766633.png,website,https://pnnl.jibeapply.com/?,https://pnnl.jibeapply.com/,en,,False,False,True,https://pnnl.jibeapply.com/,True,200.0,text/html,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
beowulf.pppl.gov,pppl.gov,gov,True,https://sso.pppl.gov/adfs/ls/?SAMLRequest=jZJNb9swDIbv%2BRWF7rbs1I4TIQmQNfsIkCVBk%2B3QS6HYdCvApjSRbtd%2FX39067ZDMN5E8nnxvoTmpOvKqVXDj3gLPxogHl219bOukFQ%2FXIjGo7KaDCnUNZDiXB1XX7dqHEbKecs2t5X4B7tMaSLwbCwO2Ga9EPvdx%2B3%2B82Z3Xyb6nE2TeJpE6TnL0jxNs6yEKRTTcTyZ6DhOi1kyKwf0O3hqdRailRWjQY2ogQ0Sa%2BS2H42TIEqC%2BPoUpSqeqXRyN6DrNqxBzT3%2ByOxISUlkQ%2BdcFT7YJ6mLkmRFctg%2FvEX9YLAw%2BHA54XlYIvXldDoEh%2F3xNIisfiW%2FsUhNDf4I%2Fsnk8O12%2B26iMxAYZK8ROHTeYA5sMYSikd1xpc5JLHu9efdWfWS%2F%2FC%2FeSYTnoD3L9Vz%2BCb%2FLObVr82zWB1uZ%2FKXvd%2FXJ%2Blrz5dhdxxRB2a%2BqzgAZQBa%2FRVZVZZ9vPGiGhWDfgLiSy9Hg5O9%2FuHwF&RelayState=https%3A%2F%2Fpppl-intranet.princeton.edu%2F%2Fdepartments%2Fcomputing-and-information-technology%2Fresearch-computing&SigAlg=http%3A%2F%2Fwww.w3.org%2F2001%2F04%2Fxmldsig-more%23rsa-sha256&Signature=ffmyGu3DJEkwSVfwdM1LCpmubagTcuXL3MJ1wH9eRqrapjxSkbHCjmN613VTp0z7tHAGflOmuuCuWS0B5deIXFnivccTHdTitMVB4GQqqcVbu0iKq%2BUOPA3VF2%2BSIkLoIkfeFJvQBB%2BKsAnxnBa%2BQIFCbpzKs%2BoCriDr67qBW0PxTff4MnAOTZMGsbgP0RF%2F1zSjdpjMOSR%2FwwN1lnN653NR%2BRmqVw4c5Yyv8OHzrZyJvcVVipqR5aMk1nyUh7f7JM%2BvLijHQYg3ZUKCRdxLV%2BeaDtFkg%2FegPaNa7A%2BJ1lXtQCSDU99i1woGUyjEqJqWfDswrmdqMkgQsMRUaqzlPw%3D%3D,pppl.gov,gov,sso.pppl.gov,True,200.0,text/html,True,False,Department of Energy,Princeton Plasma Physics Lab,Executive,False,"[""pulse""]",,2024-04-13T05:20:02.641Z,completed,unknown_error,completed,completed,completed,completed,completed,True,,,,"[""\""password\"""","">Sign In<"",""type=\""password\""""]",True,,False,,,0.0,,True,0.0209311666666666,1391.3,,,True,False,Sign In,,,,,,,,,,,en-US,,False,False,True,https://researchcomputing.pppl.gov/,True,200.0,text/html,,,,False,True,https://researchcomputing.pppl.gov/,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
bioprocess.pnnl.gov,pnnl.gov,gov,True,https://www.pnnl.gov/projects/rt3d,pnnl.gov,gov,www.pnnl.gov,True,200.0,text/html,True,False,Department of Energy,Pacific Northwest National Laboratory,Executive,False,"[""pulse""]",,2024-04-13T05:10:54.932Z,completed,completed,completed,completed,completed,completed,completed,False,,,,,True,,True,"{""agency"":""PNNL""}","[""cdn.mathjax.org"",""cdnjs.cloudflare.com"",""cta-service-cms2.hubspot.com"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""js.hs-analytics.net"",""js.hs-banner.com"",""js.hs-scripts.com"",""js.hubspot.com"",""perf-na1.hsforms.com"",""track.hubspot.com"",""www.google-analytics.com"",""www.googletagmanager.com""]",14.0,"["".pnnl.gov"","".www.pnnl.gov""]",True,5.97263590494e-05,761.3,"[""about"",""privacy""]","[""accessibility"",""vulnerability disclosure""]",True,True,Multi-Species Reactive Transport Simulation Software for Groundwater Systems | PNNL,"RT3D is a software package for simulating three-dimensional, multi-species, reactive transport of chemical compounds (solutes) in groundwater.",,Multi-Species Reactive Transport Simulation Software for Groundwater Systems,"RT3D is a software package for simulating three-dimensional, multi-species, reactive transport of chemical compounds (solutes) in groundwater.",,,https://www.pnnl.gov/sites/default/files/media/image/rtflux_mass_flow_diagram.png,,https://www.pnnl.gov/projects/rt3d,https://www.pnnl.gov/projects/rt3d,en,,True,False,True,https://www.pnnl.gov/projects/rt3d,True,200.0,text/html,,,,False,True,https://www.pnnl.gov/projects/rt3d,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
whitetip.ornl.gov,ornl.gov,gov,,,,,,,,,,,Department of Energy,Oak Ridge National Laboratory,Executive,,"[""pulse""]",,2024-04-13T05:03:47.759Z,timeout,timeout,completed,unknown_error,unknown_error,timeout,timeout,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vlt.ornl.gov,ornl.gov,gov,,,,,,,,,,,Department of Energy,Oak Ridge National Laboratory,Executive,True,"[""pulse""]",,2024-04-13T03:21:39.942Z,timeout,unknown_error,completed,completed,completed,completed,completed,False,,,,,,,,,,,"["".ornl.gov"",""www.ornl.gov""]",,0.0005424999999999,755.9,,,False,False,Oak Ridge National Laboratory: Solving the Big Problems | ORNL,,,,,,,,,,,,,,False,True,https://www.ornl.gov/ornl/page-not-found,False,404.0,text/html,,,,False,True,https://www.ornl.gov/ornl/page-not-found,False,404.0,text/html,,,,,,,,,,,,,
rtc.sandia.gov,sandia.gov,gov,,,,,,,,,,,Department of Energy,Sandia National Laboratories,Executive,,"[""dap"",""pulse"",""omb_idea""]",True,2024-04-13T04:41:03.456Z,dns_resolution_error,dns_resolution_error,completed,unknown_error,dns_resolution_error,dns_resolution_error,dns_resolution_error,False,,,,,,,,,,,"["".rtc.sandia.gov"","".sandia.gov"",""rtc.sandia.gov""]",,,,,,False,False,Regional Test Centers (RTCs) – Sandia National Laboratories,"Founded in 2012, the U.S. DOE Regional Test Centers (RTCs) for Emerging Solar Technologies help drive the deployment of new solar technologies, demonstrating their robustness across different climate zones, and thus play a critical role in helping accelerate the nation’s transition to a low-carbon economy. Under the technical oversight of Sandia National Laboratories, the RTC […]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tethys.pnl.gov,pnl.gov,gov,False,https://tethys.pnl.gov/,pnl.gov,gov,tethys.pnl.gov,True,200.0,text/html,True,True,Department of Energy,Pacific Northwest National Laboratory,Executive,True,"[""pulse""]",,2024-04-13T05:43:42.972Z,completed,completed,completed,completed,completed,completed,completed,False,,,,,True,,False,,"[""cdn.jsdelivr.net"",""fonts.googleapis.com"",""fonts.gstatic.com"",""unpkg.com"",""www.google-analytics.com"",""www.googletagmanager.com""]",6.0,"["".pnl.gov"","".tethys.pnl.gov"",""tethys.pnl.gov""]",True,0.1010443168945312,2644.3,"[""about"",""privacy""]",,True,False,Tethys | Environmental Effects of Wind and Marine Renewable Energy,"Database for documents and information on environmental effects of marine renewable energy (wave, tidal, ocean) and wildlife and wind energy (offshore and land-based). Free library for researchers, developers, regulators, other stakeholders.","environment, marine renewable energy, wind energy, database, library",,,,,,,,https://tethys.pnl.gov/,en,,True,True,False,https://tethys.pnl.gov/robots.txt,True,200.0,text/plain,1706.0,,,True,False,https://tethys.pnl.gov/sitemap.xml,True,200.0,application/xml,2515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
controls.pnnl.gov,pnnl.gov,gov,True,https://www.pnnl.gov/,pnnl.gov,gov,www.pnnl.gov,True,200.0,text/html,True,False,Department of Energy,Pacific Northwest National Laboratory,Executive,True,"[""pulse"",""omb_idea""]",False,2024-04-13T05:12:12.042Z,completed,timeout,completed,completed,completed,completed,completed,False,,,,,True,,True,"{""agency"":""PNNL""}","[""cdn.mathjax.org"",""cdnjs.cloudflare.com"",""cta-service-cms2.hubspot.com"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""googleads.g.doubleclick.net"",""i.ytimg.com"",""jnn-pa.googleapis.com"",""js.hs-analytics.net"",""js.hs-banner.com"",""js.hs-scripts.com"",""js.hubspot.com"",""perf-na1.hsforms.com"",""static.doubleclick.net"",""track.hubspot.com"",""www.google-analytics.com"",""www.google.com"",""www.googletagmanager.com"",""www.gstatic.com"",""www.youtube.com"",""yt3.ggpht.com""]",22.0,"["".pnnl.gov"","".www.pnnl.gov""]",True,0.0,2263.4,"[""about"",""privacy""]","[""accessibility"",""vulnerability disclosure""]",True,True,Pacific Northwest National Laboratory | PNNL,"PNNL advances the frontiers of knowledge, taking on some of the world’s greatest science and technology challenges.","national lab, DOE lab",Pacific Northwest National Laboratory,,,,,,https://www.pnnl.gov/node/59608,https://www.pnnl.gov/,en,,True,True,True,https://www.pnnl.gov/robots.txt,True,200.0,text/plain,144.0,,,True,True,https://www.pnnl.gov/sitemap.xml,True,200.0,application/xml,4731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
