target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,accessibility_violations,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,dap_version,ga_tag_id,third_party_service_domains,third_party_service_urls,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
ncpstw-7.brass.us-cert.gov,us-cert.gov,.gov,,,,,,,,,,,Department of Homeland Security,US-CERT,Executive,,"[""pulse""]",,2024-12-27T05:56:41.478Z,timeout,timeout,completed,timeout,timeout,timeout,completed,timeout,,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tsawebex.tsa.dhs.gov,dhs.gov,.gov,,,,,,,,,,,Department of Homeland Security,Headquarters,Executive,,"[""pulse""]",,2024-12-27T05:27:59.723Z,timeout,timeout,completed,timeout,timeout,timeout,completed,timeout,,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edit-testint.e-verify.gov,e-verify.gov,.gov,False,https://edit-testint.e-verify.gov/,e-verify.gov,gov,edit-testint.e-verify.gov,False,403.0,text/html,True,True,Department of Homeland Security,USCIS,Executive,False,"[""pulse""]",,2024-12-27T07:09:51.644Z,completed,completed,completed,completed,completed,completed,completed,completed,"{""language"":1}",True,edgekey-staging.net,,,,False,,False,,,,,,0.0,,False,0.0,70.7999997138977,,,True,True,Access Denied,,,,,,,,,,,,,False,False,False,https://edit-testint.e-verify.gov/robots.txt,False,403.0,text/html,,,,False,False,https://edit-testint.e-verify.gov/sitemap.xml,False,403.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
preview-oig.dhs.gov,dhs.gov,.gov,False,https://preview-oig.dhs.gov/,dhs.gov,gov,preview-oig.dhs.gov,False,403.0,text/html,True,True,Department of Homeland Security,Headquarters,Executive,False,"[""pulse""]",,2024-12-27T02:22:47.904Z,completed,completed,completed,completed,completed,completed,completed,completed,"{""language"":1}",True,edgekey.net,,,,False,,False,,,,,,0.0,"["".dhs.gov""]",False,0.0,108.0,,,True,True,Access Denied,,,,,,,,,,,,,False,False,False,https://preview-oig.dhs.gov/robots.txt,False,403.0,text/html,,,,False,False,https://preview-oig.dhs.gov/sitemap.xml,False,403.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
trustanchor.dotgov.gov,dotgov.gov,.gov,,,,,,,,,,,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Executive,,"[""pulse""]",,2024-12-27T04:41:22.207Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,,False,,,,,,,,,,,,,,"["".cancer.gov"","".doubleclick.net"","".linkedin.com"","".nal.usda.gov"","".ornl.gov"","".streamstatsags.cr.usgs.gov"","".usda.gov"","".usgs.gov"","".www.linkedin.com"","".youtube.com"",""6024880.global.siteimproveanalytics.io"",""agricola.nal.usda.gov"",""domains.dotgov.gov"",""www.cancer.gov"",""www.nal.usda.gov""]",,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amptk.preptoolkit.fema.gov,fema.gov,.gov,,,,,,,,,,,Department of Homeland Security,Federal Emergency Management Agency,Executive,,"[""pulse""]",,2024-12-27T03:39:00.293Z,ssl_version_cipher_mismatch,ssl_version_cipher_mismatch,completed,unknown_error,ssl_version_cipher_mismatch,ssl_version_cipher_mismatch,completed,ssl_version_cipher_mismatch,,True,,,,,,,,,,,,,,"["".amptk.preptoolkit.fema.gov"",""amptk.preptoolkit.fema.gov""]",,,,,,False,False,503 Service Temporarily Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gis.fema.gov,fema.gov,.gov,False,https://gis.fema.gov/,fema.gov,gov,gis.fema.gov,True,200.0,text/html,True,True,Department of Homeland Security,Federal Emergency Management Agency,Executive,True,"[""dap"",""pulse"",""omb_idea""]",True,2024-12-27T04:46:00.367Z,completed,completed,completed,completed,completed,completed,completed,completed,"{""user-control-name"":1,""contrast"":1}",True,edgekey.net,Drupal,,,True,True,True,"{""agency"":""DHS"",""subagency"":""FEMA"",""pua"":""0""}",20241218 v8.5 - GA4,"UA-29391347-1,G-GHG7XR2CMP,G-CSLL4ZEK4L,G-8SNCZWM0FT","[""17de4c18.akstat.io"",""6121927.global.siteimproveanalytics.io"",""analytics.google.com"",""api-ssl.bitly.com"",""c.go-mpulse.net"",""cdn.jsdelivr.net"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""js.arcgis.com"",""s.go-mpulse.net"",""search.usa.gov"",""server.arcgisonline.com"",""services.arcgisonline.com"",""siteimproveanalytics.com"",""static.arcgis.com"",""www.arcgis.com"",""www.dhs.gov"",""www.fema.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://17de4c18.akstat.io/"",""https://6121927.global.siteimproveanalytics.io/image.aspx"",""https://analytics.google.com/g/collect"",""https://api-ssl.bitly.com/v3/shorten"",""https://c.go-mpulse.net/api/config.json"",""https://cdn.jsdelivr.net/npm/js-cookie@3.0.1/dist/js.cookie.min.js"",""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://dap.digitalgov.gov/web-vitals/dist/web-vitals.attribution.iife.js"",""https://fonts.googleapis.com/css"",""https://fonts.gstatic.com/s/sourcesanspro/v22/6xK3dSBYKcSV-LCoeQqfX1RYOo3qOK7lujVj9w.woff2"",""https://fonts.gstatic.com/s/sourcesanspro/v22/6xKydSBYKcSV-LCoeQqfX1RYOo3ig4vwlxdu3cOWxw.woff2"",""https://js.arcgis.com/3.15/"",""https://js.arcgis.com/3.15/dijit/CheckedMenuItem.js"",""https://js.arcgis.com/3.15/dijit/DropDownMenu.js"",""https://js.arcgis.com/3.15/dijit/Menu.js"",""https://js.arcgis.com/3.15/dijit/MenuItem.js"",""https://js.arcgis.com/3.15/dijit/MenuSeparator.js"",""https://js.arcgis.com/3.15/dijit/PopupMenuItem.js"",""https://js.arcgis.com/3.15/dijit/form/HorizontalRule.js"",""https://js.arcgis.com/3.15/dijit/form/HorizontalRuleLabels.js"",""https://js.arcgis.com/3.15/dijit/form/HorizontalSlider.js"",""https://js.arcgis.com/3.15/dijit/layout/BorderContainer.js"",""https://js.arcgis.com/3.15/dijit/layout/LayoutContainer.js"",""https://js.arcgis.com/3.15/dijit/layout/_LayoutWidget.js"",""https://js.arcgis.com/3.15/dojo/dnd/move.js"",""https://js.arcgis.com/3.15/dojo/resources/blank.gif"",""https://js.arcgis.com/3.15/dojox/gfx/canvas.js"",""https://js.arcgis.com/3.15/dojox/gfx/filters.js"",""https://js.arcgis.com/3.15/dojox/gfx/svg.js"",""https://js.arcgis.com/3.15/dojox/gfx/svgext.js"",""https://js.arcgis.com/3.15/dojox/json/query.js"",""https://js.arcgis.com/3.15/dojox/main.js"",""https://js.arcgis.com/3.15/esri/arcgis/Portal.js"",""https://js.arcgis.com/3.15/esri/css/calcite/calcite.css"",""https://js.arcgis.com/3.15/esri/css/calcite/images/ago_sprite.png"",""https://js.arcgis.com/3.15/esri/css/calcite/images/popup-sprite.png""]",21.0,"["".fema.gov"",""gis.fema.gov""]",True,0.0,240.5,"[""about"",""fear"",""foia"",""privacy"",""usa.gov"",""/es""]","[""about us"",""accessibility"",""no fear act"",""foia"",""inspector general"",""usa.gov"",""español""]",True,True,FEMA Enterprise GIS Services - Main Page,,,,,,,,,,https://www.fema.gov/dynamic-home,en,,True,False,False,https://gis.fema.gov/robots.txt,False,404.0,text/html,,,,False,False,https://gis.fema.gov/sitemap.xml,False,404.0,text/html,,,,20.0,0.0,0.0,1.0,"[""usa-accordion"",""usa-banner"",""usa-button"",""usa-col"",""usa-current"",""usa-current-li"",""usa-footer"",""usa-header"",""usa-input"",""usa-logo"",""usa-megamenu"",""usa-menu-btn"",""usa-nav"",""usa-navbar"",""usa-overlay"",""usa-section"",""usa-sidenav"",""usa-social-link""]",True,85.0,35.0,20.0,,0.0,161.0
nonprod-everify.uscis.gov,uscis.gov,.gov,False,https://nonprod-everify.uscis.gov/,uscis.gov,gov,nonprod-everify.uscis.gov,False,403.0,text/html,True,True,Department of Homeland Security,USCIS,Executive,False,"[""pulse""]",,2024-12-27T01:05:27.560Z,completed,completed,completed,completed,completed,completed,completed,completed,"{""language"":1}",True,edgekey.net,,,,False,,False,,,,,,0.0,"["".uscis.gov""]",False,0.0,80.7000002861023,,,False,True,Access Denied,,,,,,,,,,,,,False,False,False,https://nonprod-everify.uscis.gov/robots.txt,False,403.0,text/html,,,,False,False,https://nonprod-everify.uscis.gov/sitemap.xml,False,403.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
ics-cert.us-cert.gov,us-cert.gov,.gov,True,https://www.cisa.gov/topics/industrial-control-systems,cisa.gov,gov,www.cisa.gov,True,200.0,text/html,False,False,Department of Homeland Security,US-CERT,Executive,True,"[""pulse""]",,2024-12-27T02:00:37.363Z,completed,completed,completed,completed,completed,completed,completed,completed,"{""contrast"":1}",True,edgekey.net,Drupal,,,True,,True,"{""agency"":""DHS"",""subagency"":""CISA"",""yt"":""true""}",20241218 v8.5 - GA4,"G-GHG7XR2CMP,G-CSLL4ZEK4L,G-9MDR73GM0K","[""c.go-mpulse.net"",""clients1.google.com"",""cse.google.com"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""s.go-mpulse.net"",""www.dhs.gov"",""www.google-analytics.com"",""www.google.com"",""www.googletagmanager.com"",""www.youtube.com""]","[""https://c.go-mpulse.net/api/config.json"",""https://clients1.google.com/generate_204"",""https://cse.google.com/adsense/search/async-ads.js"",""https://cse.google.com/cse.js"",""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://fonts.googleapis.com/css2"",""https://s.go-mpulse.net/boomerang/A3WTK-PERZP-2W77L-XJ2AR-542NX"",""https://www.dhs.gov/profiles/dhsd8_gov/modules/custom/dhs_ntas/css/dhs_ntas.ntas.css"",""https://www.dhs.gov/xlibrary/graphics/ntas_03_noadvisories.svg"",""https://www.google-analytics.com/analytics.js"",""https://www.google.com/cse/static/element/8fa85d58e016b414/cse_element__en.js"",""https://www.google.com/cse/static/element/8fa85d58e016b414/default+en.css"",""https://www.google.com/cse/static/style/look/v4/default.css"",""https://www.googletagmanager.com/gtag/js"",""https://www.googletagmanager.com/gtm.js"",""https://www.youtube.com/iframe_api"",""https://www.youtube.com/s/player/03dbdfab/www-widgetapi.vflset/www-widgetapi.js""]",11.0,"["".cisa.gov""]",True,0.2005602897135416,571.5,"[""about"",""fear"",""foia"",""privacy"",""usa.gov""]","[""accessibility"",""budget and performance"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""vulnerability disclosure"",""usa.gov""]",True,True,Industrial Control Systems | Cybersecurity and Infrastructure Security Agency CISA,,,,,,,,,,https://www.cisa.gov/topics/industrial-control-systems,en,,True,False,True,https://us-cert.cisa.gov/ics/robots.txt,False,403.0,text/html,,,,False,True,https://www.cisa.gov/ics/sitemap.xml,False,404.0,text/html,,,,20.0,0.0,40.0,1.0,"[""usa-accordion"",""usa-banner"",""usa-col"",""usa-current"",""usa-footer"",""usa-header"",""usa-megamenu"",""usa-nav"",""usa-navbar"",""usa-overlay"",""usa-search""]",True,65.0,6.0,20.0,,0.0,152.0
edit-preview.careers.fema.gov,fema.gov,.gov,,,,,,,,,,,Department of Homeland Security,Federal Emergency Management Agency,Executive,,"[""pulse""]",,2024-12-27T03:56:03.509Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
