target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,dap_version,ga_tag_id,third_party_service_domains,third_party_service_urls,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
efts.cjis.gov,cjis.gov,.gov,False,https://efts.cjis.gov/,cjis.gov,gov,efts.cjis.gov,True,200.0,text/html,True,True,Department of Justice,Federal Bureau of Investigation,Executive,True,"[""pulse"",""omb_idea""]",False,2024-11-13T08:32:45.012Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,"[""\""password\"""",""type=\""password\""""]",False,,False,,,,,,0.0,"[""efts.cjis.gov""]",False,0.4141723771158854,1318.299,,"[""español""]",True,True,Enterprise File Transfer System,,,,,,,,,,,en,,False,False,False,https://efts.cjis.gov/robots.txt,False,404.0,text/html,,,,False,False,https://efts.cjis.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
peoriatribe.nsopw.gov,nsopw.gov,.gov,False,https://peoriatribe.nsopw.gov/,nsopw.gov,gov,peoriatribe.nsopw.gov,True,200.0,text/html,True,True,Department of Justice,Office of Justice Programs,Executive,True,"[""pulse"",""omb_idea""]",True,2024-11-13T02:37:01.599Z,completed,completed,completed,completed,completed,completed,completed,completed,True,azurewebsites.net,,,,False,,True,"{""agency"":""OJP""}",20240711 v8.4 - GA4,G-CSLL4ZEK4L,"[""dap.digitalgov.gov"",""ttsorsfiles.blob.core.windows.net"",""www.googletagmanager.com""]","[""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://ttsorsfiles.blob.core.windows.net/offender/seal/PEORIATRIBE-T.jpg"",""https://www.googletagmanager.com/gtag/js""]",3.0,"["".nsopw.gov"","".peoriatribe.nsopw.gov"",""peoriatribe.nsopw.gov""]",False,0.0,236.5,"[""privacy""]","[""privacy policy""]",True,True,Public Sex Offender Registry,,,,,,,,,,,,,False,False,False,https://peoriatribe.nsopw.gov/robots.txt,False,404.0,text/html,,,,False,False,https://peoriatribe.nsopw.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
boisforte.nsopw.gov,nsopw.gov,.gov,False,https://boisforte.nsopw.gov/,nsopw.gov,gov,boisforte.nsopw.gov,True,200.0,text/html,True,True,Department of Justice,Office of Justice Programs,Executive,True,"[""dap"",""pulse"",""omb_idea""]",True,2024-11-12T07:51:29.353Z,completed,completed,completed,completed,completed,completed,completed,completed,True,azurewebsites.net,,,,False,,True,"{""agency"":""OJP""}",20240711 v8.4 - GA4,G-CSLL4ZEK4L,"[""dap.digitalgov.gov"",""ttsorsfiles.blob.core.windows.net"",""www.googletagmanager.com""]","[""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://ttsorsfiles.blob.core.windows.net/offender/seal/BOISFORTE-T.jpg"",""https://www.googletagmanager.com/gtag/js""]",3.0,"["".boisforte.nsopw.gov"","".nsopw.gov"",""boisforte.nsopw.gov""]",False,0.0,215.299,"[""privacy""]","[""privacy policy""]",True,True,Public Sex Offender Registry,,,,,,,,,,,,,False,False,False,https://boisforte.nsopw.gov/robots.txt,False,404.0,text/html,,,,False,False,https://boisforte.nsopw.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
bja.gov,bja.gov,.gov,True,https://bja.ojp.gov/,ojp.gov,gov,bja.ojp.gov,True,200.0,text/html,False,False,Department of Justice,Office of Justice Programs,Executive,True,"[""gov"",""pulse""]",,2024-11-13T08:32:46.635Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,Drupal,,,True,,True,"{""agency"":""OJP""}",20240711 v8.4 - GA4,"G-PBYSD1LVK5,G-CSLL4ZEK4L,UA-37774784-1,UA-122677529-4,G-SCJZMMH0QG","[""analytics.foresee.com"",""brain.foresee.com"",""browser-update.org"",""clients1.google.com"",""cse.google.com"",""dap.digitalgov.gov"",""gateway.foresee.com"",""public.govdelivery.com"",""www.google-analytics.com"",""www.google.com"",""www.googletagmanager.com""]","[""https://analytics.foresee.com/ingest/events"",""https://brain.foresee.com/state/ojp-main/97290abc-1b9c-442d-a438-c3a563fbb648"",""https://browser-update.org/update.min.js"",""https://clients1.google.com/generate_204"",""https://cse.google.com/adsense/search/async-ads.js"",""https://cse.google.com/cse.js"",""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://gateway.foresee.com/code/19.18.0-fs/fs.compress.js"",""https://gateway.foresee.com/code/19.18.0-fs/fs.feedback.js"",""https://gateway.foresee.com/code/19.18.0-fs/fs.survey.js"",""https://gateway.foresee.com/code/19.18.0-fs/fs.utils.js"",""https://gateway.foresee.com/code/19.18.0-fs/templates/feedback/default/badge___html.js"",""https://gateway.foresee.com/code/19.18.0-fs/templates/feedback/default/epilogue___html.js"",""https://gateway.foresee.com/code/19.18.0-fs/templates/feedback/default/main.css"",""https://gateway.foresee.com/code/19.18.0-fs/templates/feedback/default/serviceunavailable___html.js"",""https://gateway.foresee.com/code/19.18.0-fs/templates/feedback/default/surveycontents___html.js"",""https://gateway.foresee.com/code/6.1.2-mp/mpathy-modern.js"",""https://gateway.foresee.com/sites/ojp-main/production/gateway.min.js"",""https://public.govdelivery.com/accounts/USDOJOJP_COMMS/signup/29486/form"",""https://public.govdelivery.com/assets/SignupOverlay.js"",""https://www.google-analytics.com/analytics.js"",""https://www.google-analytics.com/j/collect"",""https://www.google.com/cse/static/element/8fa85d58e016b414/cse_element__en.js"",""https://www.google.com/cse/static/element/8fa85d58e016b414/default+en.css"",""https://www.google.com/cse/static/images/1x/en/branding.png"",""https://www.google.com/cse/static/style/look/v4/default.css"",""https://www.googletagmanager.com/gtag/js"",""https://www.googletagmanager.com/gtm.js""]",11.0,"["".ojp.gov""]",True,0.003811328125,674.799,"[""about"",""foia"",""privacy"",""usa.gov""]","[""accessibility"",""no fear act"",""freedom of information act"",""privacy policy"",""usa.gov""]",True,True,Home | Bureau of Justice Assistance,"BJA provides leadership and services in grant administration and criminal justice policy development to support state, local, and tribal justice strategies to achieve safer communities.",,Home | Bureau of Justice Assistance,"BJA provides leadership and services in grant administration and criminal justice policy development to support state, local, and tribal justice strategies to achieve safer communities.",,,https://bja.ojp.gov/sites/g/files/xyckuh186/files/images/2020-02/bja-logo_og.jpg,,https://bja.ojp.gov/%3Cfront%3E,https://bja.ojp.gov/%3Cfront%3E,en,en,True,False,True,https://bja.ojp.gov/redirect-legacy/robots.txt,False,404.0,text/html,,,,True,True,https://bja.ojp.gov/sitemap.xml,True,200.0,application/xml,5728.0,0.0,0.0,20.0,0.0,0.0,2.0,"[""usa-accordion"",""usa-alert"",""usa-banner"",""usa-button"",""usa-footer"",""usa-footer-contact-heading"",""usa-footer-contact-links"",""usa-footer-logo"",""usa-footer-nav"",""usa-header"",""usa-link-facebook"",""usa-link-twitter"",""usa-link-youtube"",""usa-logo"",""usa-menu-btn"",""usa-nav"",""usa-navbar"",""usa-overlay"",""usa-search"",""usa-section"",""usa-sr-only"",""usa-width-one-half""]",True,60.0,3.0,20.0,,0.0,105.0
tsc.gov,tsc.gov,.gov,True,https://www.fbi.gov/about-us/nsb/tsc,fbi.gov,gov,www.fbi.gov,False,403.0,text/html,False,False,Department of Justice,Terrorist Screening Center,Executive,False,"[""gov"",""pulse""]",,2024-11-12T09:29:57.735Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,,False,,False,,,,,,0.0,"["".fbi.gov""]",False,0.0,4475.299,,,True,True,This site has determined a security issue with your request.,,,,,,,,,,,en,,False,False,True,https://www.fbi.gov/about-us/nsb/tsc,False,403.0,text/html,,,,False,True,https://www.fbi.gov/about-us/nsb/tsc,False,403.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
justicegrants.usdoj.gov,usdoj.gov,.gov,,,,,,,,,,,Department of Justice,Office of the Chief Information Officer,Executive,True,"[""dap"",""omb_idea"",""oira""]",True,2024-11-13T06:54:24.579Z,timeout,completed,completed,completed,timeout,completed,completed,completed,True,,,,,,,,,20240711 v8.4 - GA4,"G-VNHDFFFBW2,G-CSLL4ZEK4L,UA-122677529-1",,,,"["".usdoj.gov""]",,,,,,True,True,JustGrants Resources | U.S. Department of Justice,Use the JustGrants Resources website to find information and training details on using and logging into the U.S. Department of Justice's grants management system (JustGrants).,,,,,,,,,,,,,True,False,https://justicegrants.usdoj.gov/robots.txt,True,200.0,text/plain,1990.0,,"[""https://justicegrants.usdoj.gov/sitemap.xml""]",True,False,https://justicegrants.usdoj.gov/sitemap.xml,True,200.0,application/xml,129404.0,0.0,0.0,,,,,,,,,,,,
www.nationalgangcenter.gov,nationalgangcenter.gov,.gov,True,https://nationalgangcenter.ojp.gov/,ojp.gov,gov,nationalgangcenter.ojp.gov,True,200.0,text/html,False,False,Department of Justice,Institute for Intergovernmental Research,Executive,True,"[""gov"",""2020_eot""]",,2024-11-13T00:59:55.212Z,completed,completed,completed,completed,completed,completed,unknown_error,timeout,True,azurewebsites.net,Drupal,,,False,,False,,,,"[""browser-update.org"",""cse.google.com"",""www.google.com"",""www.googletagmanager.com""]","[""https://browser-update.org/update.min.js"",""https://cse.google.com/cse.js"",""https://www.google.com/cse/static/element/8fa85d58e016b414/cse_element__en.js"",""https://www.google.com/cse/static/element/8fa85d58e016b414/default+en.css"",""https://www.google.com/cse/static/style/look/v4/default.css"",""https://www.googletagmanager.com/gtm.js""]",4.0,"["".ojp.gov""]",True,0.0,478.2,"[""about"",""foia"",""privacy"",""usa.gov""]","[""accessibility"",""no fear act"",""freedom of information act"",""privacy policy"",""usa.gov""]",,,National Gang Center | National Gang Center,"The National Gang Center exists to inform, equip, and train communities to prevent gang violence, reduce gang involvement, and suppress gang‐related crime.",,National Gang Center,"The National Gang Center exists to inform, equip, and train communities to prevent gang violence, reduce gang involvement, and suppress gang‐related crime.",,,https://nationalgangcenter.ojp.gov/sites/g/files/xyckuh331/files/images/2020-12/NGCog%20%281%29.png,,https://nationalgangcenter.ojp.gov/%3Cfront%3E,https://nationalgangcenter.ojp.gov/%3Cfront%3E,en,en,True,True,True,https://nationalgangcenter.ojp.gov/robots.txt,True,200.0,text/plain,1993.0,,"[""https://nationalgangcenter.ojp.gov/sitemap.xml""]",,,,,,,,,,20.0,0.0,0.0,2.0,"[""usa-accordion"",""usa-banner"",""usa-button"",""usa-current"",""usa-footer"",""usa-footer-contact-heading"",""usa-footer-contact-links"",""usa-footer-logo"",""usa-footer-nav"",""usa-header"",""usa-link-twitter"",""usa-link-youtube"",""usa-logo"",""usa-menu-btn"",""usa-nav"",""usa-navbar"",""usa-overlay"",""usa-search"",""usa-section"",""usa-sr-only"",""usa-width-one-half""]",True,45.0,3.0,20.0,,0.0,90.0
www.elderjustice.gov,elderjustice.gov,.gov,True,https://www.justice.gov/elderjustice,justice.gov,gov,www.justice.gov,True,200.0,text/html,False,False,Department of Justice,"Department of Justice, Civil Division",Executive,True,"[""gov"",""2020_eot""]",,2024-11-13T02:57:25.395Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,False,,Drupal,,,True,,True,"{""agency"":""DOJ"",""sp"":""find"",""yt"":""true""}",20240711 v8.4 - GA4,G-CSLL4ZEK4L,"[""cdn.jsdelivr.net"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""search.justice.gov"",""siteimproveanalytics.com"",""unpkg.com"",""www.googletagmanager.com"",""www.youtube.com""]","[""https://cdn.jsdelivr.net/npm/js-cookie@3.0.5/dist/js.cookie.min.js"",""https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css"",""https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js"",""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://fonts.googleapis.com/css2"",""https://fonts.gstatic.com/s/sourceserifpro/v17/neIXzD-0qpwxpaWvjeD0X88SAOeasasatSyqxKcsdrM.woff2"",""https://fonts.gstatic.com/s/sourceserifpro/v17/neIXzD-0qpwxpaWvjeD0X88SAOeasc8btSyqxKcsdrM.woff2"",""https://search.justice.gov/javascripts/remote.loader.js"",""https://siteimproveanalytics.com/js/siteanalyze_8906.js"",""https://unpkg.com/@popperjs/core@2.11.8/dist/umd/popper.min.js"",""https://www.googletagmanager.com/gtag/js"",""https://www.youtube.com/iframe_api""]",9.0,"["".justice.gov""]",True,0.428960466796875,712.3,"[""about"",""privacy"",""usa.gov"",""espanol"",""/es""]","[""accessibility"",""foia"",""inspector general"",""vulnerability disclosure"",""usa.gov"",""español""]",,,Elder Justice Initiative (EJI) | Elder Justice Initiative (EJI),,,Elder Justice Initiative (EJI),,2015-10-19T20:17:05.000Z,2024-11-12T13:43:28.000Z,,article,https://www.justice.gov/elderjustice,https://www.justice.gov/elderjustice,en,"en,es",True,False,True,https://www.justice.gov/elderjustice/robots.txt,False,404.0,text/html,,,,False,True,https://www.justice.gov/elderjustice/sitemap.xml,False,404.0,text/html,,,,20.0,0.0,40.0,0.0,"[""usa-accordion"",""usa-banner"",""usa-banner-wrapper"",""usa-breadcrumb"",""usa-button"",""usa-footer"",""usa-header"",""usa-icon-list"",""usa-input"",""usa-logo"",""usa-lvl0-links-wrapper"",""usa-nav"",""usa-overlay"",""usa-prose"",""usa-search"",""usa-sr-only""]",True,70.0,32.0,20.0,,0.0,182.0
fccps.bjs.ojp.gov,ojp.gov,.gov,False,https://fccps.bjs.ojp.gov/,ojp.gov,gov,fccps.bjs.ojp.gov,True,200.0,text/html,True,True,Department of Justice,Office of Justice Programs,Executive,True,"[""dap""]",,2024-11-12T09:30:23.110Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,,False,,True,"{""agency"":""OJP""}",20240711 v8.4 - GA4,"G-6X9R2YKRQJ,G-CSLL4ZEK4L,UA-122677529-1,UA-49393820-1,G-NJPHSR94TM","[""ajax.googleapis.com"",""analytics.foresee.com"",""bjs.ojp.gov"",""brain.foresee.com"",""charts.ojp.usdoj.gov"",""dap.digitalgov.gov"",""gateway.foresee.com"",""public.tableau.com"",""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js"",""https://analytics.foresee.com/ingest/events"",""https://bjs.ojp.gov/themes/custom/ojp/assets/dist/img/close-white.svg"",""https://bjs.ojp.gov/themes/custom/ojp/ojp_patternlab/source/images/ojp/bja.svg"",""https://bjs.ojp.gov/themes/custom/ojp/ojp_patternlab/source/images/ojp/bjs.svg"",""https://bjs.ojp.gov/themes/custom/ojp/ojp_patternlab/source/images/ojp/fb.svg"",""https://bjs.ojp.gov/themes/custom/ojp/ojp_patternlab/source/images/ojp/nij.svg"",""https://bjs.ojp.gov/themes/custom/ojp/ojp_patternlab/source/images/ojp/ojjdp.svg"",""https://bjs.ojp.gov/themes/custom/ojp/ojp_patternlab/source/images/ojp/ojp-full.svg"",""https://bjs.ojp.gov/themes/custom/ojp/ojp_patternlab/source/images/ojp/ovc.svg"",""https://bjs.ojp.gov/themes/custom/ojp/ojp_patternlab/source/images/ojp/smart.svg"",""https://bjs.ojp.gov/themes/custom/ojp/ojp_patternlab/source/images/ojp/twitter.svg"",""https://bjs.ojp.gov/themes/custom/ojp/ojp_patternlab/source/images/ojp/yt.svg"",""https://bjs.ojp.gov/themes/custom/ojp/ojp_patternlab/source/images/uswds-alt/angle-arrow-up-black.svg"",""https://brain.foresee.com/state/ojp-main/4bef7ca4-411e-4b60-b5d2-82906ba300dd"",""https://charts.ojp.usdoj.gov/sidecar/scripts.js"",""https://charts.ojp.usdoj.gov/vizql/t/public/w/FJSP-Home/v/Home/bootstrapSession/sessions/20E42956521F4DA6A86C23143B8843D3-1:1"",""https://charts.ojp.usdoj.gov/vizql/v_202332408030344/css/vqlweb.css"",""https://charts.ojp.usdoj.gov/vizql/v_202332408030344/fonts/BentonSans-Medium.woff2"",""https://charts.ojp.usdoj.gov/vizql/v_202332408030344/fonts/BentonSans-SemiDemi.woff2"",""https://charts.ojp.usdoj.gov/vizql/v_202332408030344/fonts/Tableau-Bold.woff2"",""https://charts.ojp.usdoj.gov/vizql/v_202332408030344/fonts/Tableau-Book.woff2"",""https://charts.ojp.usdoj.gov/vizql/v_202332408030344/fonts/Tableau-Medium.woff2"",""https://charts.ojp.usdoj.gov/vizql/v_202332408030344/javascripts/ViewerBootstrap.js"",""https://gateway.foresee.com/code/19.18.0-fs/fs.survey.js""]",10.0,"["".ojp.gov"",""fccps.bjs.ojp.gov""]",True,0.8082148588867187,703.799,"[""about"",""privacy"",""usa.gov""]","[""accessibility"",""no fear act"",""freedom of information act"",""privacy policy"",""usa.gov""]",True,True,Federal Criminal Case Processing Statistics (FCCPS) Data Tool,#,,#,#,,,#,,#,,en,,False,False,False,https://fccps.bjs.ojp.gov/robots.txt,False,404.0,text/html,,,,False,False,https://fccps.bjs.ojp.gov/sitemap.xml,False,404.0,text/html,,,,20.0,0.0,0.0,0.0,"[""usa-accordion"",""usa-banner"",""usa-button"",""usa-current"",""usa-footer"",""usa-footer-contact-heading"",""usa-footer-contact-links"",""usa-footer-logo"",""usa-footer-nav"",""usa-header"",""usa-link-facebook"",""usa-link-twitter"",""usa-link-youtube"",""usa-logo"",""usa-menu-btn"",""usa-nav"",""usa-navbar"",""usa-sr-only"",""usa-width-one-half""]",True,45.0,0.0,20.0,,0.0,85.0
leb.fbi.gov,fbi.gov,.gov,False,https://leb.fbi.gov/,fbi.gov,gov,leb.fbi.gov,False,403.0,text/html,True,True,Department of Justice,Federal Bureau of Investigation,Executive,False,"[""dap"",""pulse"",""gov_man""]",,2024-11-12T09:03:14.249Z,completed,completed,completed,completed,completed,completed,completed,completed,True,cloudflare.net,,,,False,,False,,,,,,0.0,"["".fbi.gov""]",False,0.0,131.5,,,False,True,This site has determined a security issue with your request.,,,,,,,,,,,en,,False,False,False,https://leb.fbi.gov/robots.txt,False,403.0,text/html,914.0,,"[""https://leb.fbi.gov/sitemap.xml.gz""]",False,False,https://leb.fbi.gov/sitemap.xml,False,403.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
