target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
www.ccac.gov,ccac.gov,.gov,False,https://www.ccac.gov/,ccac.gov,gov,www.ccac.gov,True,200.0,text/html,True,True,Department of the Treasury,Citizens Coinage Advisory Committee (Mint),Executive,False,"[""gov"",""2020_eot""]",,2024-07-27T01:30:01.417Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,False,cloudfront.net,,,,False,,True,,"[""rum-collector-2.pingdom.net"",""rum-static.pingdom.net"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.youtube.com""]",5.0,"["".ccac.gov""]",False,0.0,170.6,"[""about"",""privacy""]","[""about us"",""privacy policy""]",,,CCAC Home,,,,,,,,,,,,,False,True,False,https://www.ccac.gov/robots.txt,True,200.0,text/plain,0.0,,,False,False,https://www.ccac.gov/sitemap.xml,False,403.0,application/xml,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
reportstest.crs.treasury.gov,treasury.gov,.gov,,,,,,,,,,,Department of the Treasury,Department of the Treasury - OCIO,Executive,,"[""pulse""]",,2024-07-27T05:48:23.114Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fincenid.fincen.gov,fincen.gov,.gov,False,https://fincenid.fincen.gov/landing,fincen.gov,gov,fincenid.fincen.gov,True,200.0,text/html,True,True,Department of the Treasury,Department of the Treasury - FINCEN,Executive,False,"[""omb_idea""]",True,2024-07-27T04:09:47.448Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,,,,,False,,False,,"[""caia.treasury.gov"",""fonts.googleapis.com""]",2.0,"[""fincenid.fincen.gov""]",True,0.0057594488118489,2026.4,"[""privacy""]","[""accessibility"",""privacy policy""]",,,FinCEN ID | Financial Crimes Enforcement Network (FinCEN),"A “FinCEN identifier” or “FinCEN ID” is a unique identifying number issued to an individual or an entity by the Financial Crimes Enforcement Network (FinCEN), a bureau of the U.S. Department of the Treasury.  The Corporate Transparency Act, the law that requires certain types of U.S. and foreign entities to report beneficial ownership information to FinCEN, requires FinCEN to issue a FinCEN ID when an individual or entity requests one by submitting the required information.  FinCEN IDs can be reported on Beneficial Ownership Information Reports (BOIRs) submitted to FinCEN.",,FinCEN ID | Financial Crimes Enforcement Network (FinCEN),"A “FinCEN identifier” or “FinCEN ID” is a unique identifying number issued to an individual or an entity by the Financial Crimes Enforcement Network (FinCEN), a bureau of the U.S. Department of the Treasury.  The Corporate Transparency Act, the law that requires certain types of U.S. and foreign entities to report beneficial ownership information to FinCEN, requires FinCEN to issue a FinCEN ID when an individual or entity requests one by submitting the required information.  FinCEN IDs can be reported on Beneficial Ownership Information Reports (BOIRs) submitted to FinCEN.",,,assets/uswds/img/custom/federal-og-1200.png,website,,,en,,True,True,False,https://fincenid.fincen.gov/robots.txt,True,200.0,text/html,5120.0,,,True,False,https://fincenid.fincen.gov/sitemap.xml,True,200.0,text/html,5120.0,0.0,0.0,0.0,0.0,0.0,0.0,"[""usa-accordion"",""usa-banner"",""usa-card"",""usa-card-group"",""usa-header"",""usa-hero"",""usa-logo"",""usa-menu-btn"",""usa-nav"",""usa-nav-link"",""usa-navbar"",""usa-overlay""]",True,30.0,3.0,20.0,v3.5.0,100.0,153.0
www.eaglecash.gov,eaglecash.gov,.gov,True,https://fiscal.treasury.gov/eaglecash/,treasury.gov,gov,fiscal.treasury.gov,True,200.0,text/html,False,False,Department of the Treasury,Bureau of the Fiscal Service,Executive,False,"[""gov""]",,2024-07-27T05:15:50.991Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,,,,,True,,True,"{""agency"":""TRE"",""subagency"":""FS""}","[""dap.digitalgov.gov"",""fonts.gstatic.com"",""gateway.foresee.com"",""search.usa.gov"",""translate-pa.googleapis.com"",""translate.google.com"",""translate.googleapis.com"",""www.google-analytics.com"",""www.google.com"",""www.googletagmanager.com"",""www.gstatic.com""]",11.0,"["".treasury.gov"",""fiscal.treasury.gov""]",True,0.0018178125,2193.299,"[""about"",""fear"",""foia"",""privacy"",""usa.gov""]","[""accessibility"",""no fear act"",""foia"",""freedom of information act"",""privacy policy"",""usa.gov""]",,,EagleCash,,,,,,,,,,,en,,True,False,True,https://fiscal.treasury.gov/eaglecash/,True,200.0,text/html,,,,False,True,https://fiscal.treasury.gov/eaglecash/,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
u03.eftps.gov,eftps.gov,.gov,True,https://u03.eftps.gov/dataexchange/,eftps.gov,gov,u03.eftps.gov,True,200.0,text/html,True,True,Department of the Treasury,Department of the Treasury - IRS,Executive,True,"[""pulse""]",,2024-07-27T04:10:29.855Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,,False,,False,,,0.0,"[""u03.eftps.gov""]",False,0.0,326.7,"[""usa.gov""]","[""usa.gov""]",True,True,EFTPS Data Exchange - Welcome,,,,,,,,,,,en,,False,False,False,https://u03.eftps.gov/robots.txt,False,404.0,text/html,,,,False,False,https://u03.eftps.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
financialresearch.gov,financialresearch.gov,.gov,True,https://www.financialresearch.gov/,financialresearch.gov,gov,www.financialresearch.gov,True,200.0,text/html,True,False,Department of the Treasury,Office of Financial Research (OFR),Executive,True,"[""gov"",""pulse"",""omb_idea""]",True,2024-07-27T02:15:00.812Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,,True,True,True,"{""agency"":""TRE"",""subagency"":""OFR"",""pua"":""UA-58753541-1"",""yt"":""false""}","[""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",6.0,"["".financialresearch.gov""]",True,0.2107649523111979,311.4,"[""about"",""fear"",""foia"",""privacy"",""usa.gov""]","[""accessibility"",""no fear act"",""foia"",""inspector general"",""usa.gov""]",True,True,Office of Financial Research (OFR),"The Office of Financial Research (OFR) delivers high-quality financial data, standards, and analysis to promote financial stability.",,,,,,,,,https://www.financialresearch.gov/,en,,False,True,True,https://www.financialresearch.gov/robots.txt,True,200.0,text/plain,80.0,,,True,True,https://www.financialresearch.gov/sitemap.xml,True,200.0,text/xml,54041.0,431.0,0.0,20.0,0.0,0.0,0.0,,False,0.0,2.0,0.0,,0.0,22.0
servicedesk.usaspending.gov,usaspending.gov,.gov,False,https://servicedesk.usaspending.gov/,usaspending.gov,gov,servicedesk.usaspending.gov,False,404.0,text/html,True,True,Department of the Treasury,Department of the Treasury,Executive,True,"[""pulse""]",,2024-07-27T03:02:08.540Z,completed,completed,completed,completed,completed,completed,completed,completed,False,amazonaws.com,,,,False,,False,,"[""fonts.googleapis.com"",""stackpath.bootstrapcdn.com""]",2.0,"[""servicedesk.usaspending.gov""]",True,0.0,113.5,,,False,True,USAspending.gov,,,,,,,,,,,,,False,False,False,https://servicedesk.usaspending.gov/robots.txt,False,404.0,text/html,,,,False,False,https://servicedesk.usaspending.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
fincen.gov,fincen.gov,.gov,False,https://fincen.gov/,fincen.gov,gov,fincen.gov,True,200.0,text/html,True,True,Department of the Treasury,Department of the Treasury - FINCEN,Executive,False,"[""gov"",""dap"",""pulse"",""omb_idea""]",True,2024-07-27T05:16:18.150Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,Drupal,,,True,,True,"{""agency"":""FinCEN"",""pua"":""0""}","[""dap.digitalgov.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",3.0,"["".fincen.gov""]",True,0.2538993963623047,1774.3,"[""about"",""fear"",""foia"",""privacy"",""usa.gov""]","[""accessibility"",""no fear act"",""foia"",""freedom of information act"",""inspector general"",""privacy policy"",""vulnerability disclosure"",""usa.gov""]",True,True,United States Department of the Treasury Financial Crimes Enforcement Network | FinCEN.gov,,,,,,,,,,,en,,False,True,False,https://fincen.gov/robots.txt,True,200.0,text/plain,2027.0,,,True,False,https://fincen.gov/sitemap.xml,True,200.0,application/xml,1581.0,0.0,0.0,20.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,20.0
u08.eftps.gov,eftps.gov,.gov,False,https://u08.eftps.gov/,eftps.gov,gov,u08.eftps.gov,False,404.0,text/html,True,True,Department of the Treasury,Department of the Treasury - IRS,Executive,True,"[""pulse""]",,2024-07-27T04:10:49.411Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,,False,,False,,,0.0,"[""u08.eftps.gov""]",False,0.0,72.3,,,True,True,404 Not Found,,,,,,,,,,,,,False,False,False,https://u08.eftps.gov/robots.txt,False,404.0,text/html,,,,False,False,https://u08.eftps.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
www.fincen.gov,fincen.gov,.gov,,,,,,,,,,,Department of the Treasury,Department of the Treasury - FINCEN,Executive,False,"[""gov"",""dap"",""2020_eot"",""oira""]",,2024-07-27T06:04:22.347Z,timeout,completed,completed,completed,completed,completed,unknown_error,completed,True,,,,,,,,,,,"["".fincen.gov""]",,0.2538993963623047,2039.699,,,,,United States Department of the Treasury Financial Crimes Enforcement Network | FinCEN.gov,,,,,,,,,,,,,,True,False,https://www.fincen.gov/robots.txt,True,200.0,text/plain,2027.0,,,True,False,https://www.fincen.gov/sitemap.xml,True,200.0,application/xml,1581.0,0.0,0.0,,,,,,,,,,,,
