target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,dap_version,ga_tag_id,third_party_service_domains,third_party_service_urls,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
crapes.fdic.gov,fdic.gov,.gov,False,https://crapes.fdic.gov/searchResults,fdic.gov,gov,crapes.fdic.gov,True,200.0,text/html,True,True,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,Executive,False,"[""dap"",""omb_idea""]",True,2024-10-29T03:32:52.583Z,completed,completed,completed,completed,completed,completed,completed,completed,True,cloud.gov,,,,True,,True,"{""id"":""G-CSLL4ZEK4L""}",,"G-CSLL4ZEK4L,UA-33523145-1","[""cdnjs.cloudflare.com"",""cg-7ce3a684-2bed-464c-8d1c-1a0e4cba69c6.s3.us-gov-west-1.amazonaws.com"",""code.jquery.com"",""fdic.122.2o7.net"",""kit-free.fontawesome.com"",""stackpath.bootstrapcdn.com"",""www.fdic.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.6/umd/popper.min.js"",""https://cg-7ce3a684-2bed-464c-8d1c-1a0e4cba69c6.s3.us-gov-west-1.amazonaws.com/apps/assets/javascript/find-more-info-v4a-7.js"",""https://cg-7ce3a684-2bed-464c-8d1c-1a0e4cba69c6.s3.us-gov-west-1.amazonaws.com/apps/assets/javascript/find-more-info-v4b-7.js"",""https://cg-7ce3a684-2bed-464c-8d1c-1a0e4cba69c6.s3.us-gov-west-1.amazonaws.com/apps/assets/javascript/find-more-info-v5c-7.js"",""https://cg-7ce3a684-2bed-464c-8d1c-1a0e4cba69c6.s3.us-gov-west-1.amazonaws.com/apps/head.js"",""https://cg-7ce3a684-2bed-464c-8d1c-1a0e4cba69c6.s3.us-gov-west-1.amazonaws.com/apps/header-footer.js"",""https://cg-7ce3a684-2bed-464c-8d1c-1a0e4cba69c6.s3.us-gov-west-1.amazonaws.com/assets/fontawesome/css/all.min.css"",""https://cg-7ce3a684-2bed-464c-8d1c-1a0e4cba69c6.s3.us-gov-west-1.amazonaws.com/assets/fontawesome/webfonts/fa-brands-400.woff2"",""https://cg-7ce3a684-2bed-464c-8d1c-1a0e4cba69c6.s3.us-gov-west-1.amazonaws.com/assets/fontawesome/webfonts/fa-solid-900.woff2"",""https://cg-7ce3a684-2bed-464c-8d1c-1a0e4cba69c6.s3.us-gov-west-1.amazonaws.com/assets/fonts/open-sans/opensans-regular.ttf"",""https://cg-7ce3a684-2bed-464c-8d1c-1a0e4cba69c6.s3.us-gov-west-1.amazonaws.com/assets/images/bg-informed.png"",""https://cg-7ce3a684-2bed-464c-8d1c-1a0e4cba69c6.s3.us-gov-west-1.amazonaws.com/assets/images/fdic-logo-white-noseal.svg"",""https://cg-7ce3a684-2bed-464c-8d1c-1a0e4cba69c6.s3.us-gov-west-1.amazonaws.com/assets/images/select-arrow-down.svg"",""https://cg-7ce3a684-2bed-464c-8d1c-1a0e4cba69c6.s3.us-gov-west-1.amazonaws.com/assets/javascript/appmeasurement-v4.js"",""https://cg-7ce3a684-2bed-464c-8d1c-1a0e4cba69c6.s3.us-gov-west-1.amazonaws.com/assets/javascript/custom-v34.js"",""https://cg-7ce3a684-2bed-464c-8d1c-1a0e4cba69c6.s3.us-gov-west-1.amazonaws.com/assets/javascript/dap-universal-fed-analytics-min.js"",""https://cg-7ce3a684-2bed-464c-8d1c-1a0e4cba69c6.s3.us-gov-west-1.amazonaws.com/assets/javascript/fontawesome-ac35e34b29.js""]",9.0,"["".crapes.fdic.gov"","".fdic.gov"",""crapes.fdic.gov""]",True,0.5937650387369792,318.0,"[""about"",""fear"",""foia"",""privacy"",""usa.gov"",""espanol"",""/es""]","[""accessibility"",""no fear act"",""foia"",""inspector general"",""usa.gov"",""español""]",True,True,FDIC: CRAPES,,,,,,,https://www.fdic.gov/assets/images/share-fdic-default-1200x630.png,article,,,en-us,,True,True,False,https://crapes.fdic.gov/robots.txt,True,200.0,text/html,4609.0,,,True,False,https://crapes.fdic.gov/sitemap.xml,True,200.0,text/html,4609.0,0.0,0.0,0.0,0.0,0.0,0.0,"[""usa-accordion"",""usa-breadcrumb"",""usa-button"",""usa-contact-cta"",""usa-footer"",""usa-form"",""usa-header"",""usa-help"",""usa-icon"",""usa-input"",""usa-label"",""usa-link"",""usa-logo"",""usa-megamenu"",""usa-menu-btn"",""usa-nav"",""usa-nav-container"",""usa-navbar"",""usa-overlay"",""usa-search"",""usa-select"",""usa-sr-only"",""usa-stay-informed""]",False,75.0,0.0,20.0,v2.6.0,100.0,195.0
etsstssvcq.fdic.gov,fdic.gov,.gov,False,https://etsstssvcq.fdic.gov/,fdic.gov,gov,etsstssvcq.fdic.gov,False,403.0,text/html,True,True,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,Executive,True,"[""pulse""]",,2024-10-29T02:02:33.341Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,,False,,False,,,,,,0.0,,False,0.0,110.8,,,True,True,403 - Forbidden: Access is denied.,,,,,,,,,,,,,False,False,False,https://etsstssvcq.fdic.gov/robots.txt,False,404.0,text/html,,,,False,False,https://etsstssvcq.fdic.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
economicinclusion.gov,economicinclusion.gov,.gov,True,https://www.fdic.gov/household-survey,fdic.gov,gov,www.fdic.gov,True,200.0,text/html,False,False,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,Executive,True,"[""gov"",""pulse""]",,2024-10-29T09:01:26.874Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,Drupal,,,True,,False,,,,"[""17de4c1f.akstat.io"",""c.go-mpulse.net"",""fdic.122.2o7.net"",""fonts.gstatic.com"",""googleads.g.doubleclick.net"",""gov1.siteintercept.qualtrics.com"",""i.ytimg.com"",""jnn-pa.googleapis.com"",""play.google.com"",""s.go-mpulse.net"",""static.doubleclick.net"",""unpkg.com"",""www.google.com"",""www.gstatic.com"",""www.youtube.com"",""yt3.ggpht.com"",""znbesceujpuk56ypk-fdicfedramp.gov1.siteintercept.qualtrics.com""]","[""https://17de4c1f.akstat.io/"",""https://c.go-mpulse.net/api/config.json"",""https://fdic.122.2o7.net/b/ss/fdicgovprod/1/JS-2.1.0/s33519535847433"",""https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4AMP6lQ.woff2"",""https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxKKTU1Kg.woff2"",""https://googleads.g.doubleclick.net/pagead/id"",""https://gov1.siteintercept.qualtrics.com/WRSiteInterceptEngine/Asset.php"",""https://gov1.siteintercept.qualtrics.com/WRSiteInterceptEngine/Targeting.php"",""https://gov1.siteintercept.qualtrics.com/dxjsmodule/1.a77e4e41b6b3512a0cb4.chunk.js"",""https://gov1.siteintercept.qualtrics.com/dxjsmodule/10.38aeed0d11906619d785.chunk.js"",""https://gov1.siteintercept.qualtrics.com/dxjsmodule/5.c9af7b501c84271e535b.chunk.js"",""https://gov1.siteintercept.qualtrics.com/dxjsmodule/CoreModule.js"",""https://gov1.siteintercept.qualtrics.com/dxjsmodule/SliderModule.js"",""https://gov1.siteintercept.qualtrics.com/static/q-siteintercept/.blob/0d6982ac7481f3ca850a1b72fa5c3e56597a71cc_svg-close-btn-black-5.svg"",""https://gov1.siteintercept.qualtrics.com/static/q-siteintercept/150c152ddacb6d78a56034d5f24f52e343a74607/img/svg-close-btn-black-5.svg"",""https://gov1.siteintercept.qualtrics.com/static/q-siteintercept/~/img/svg-close-btn-black-5.svg"",""https://i.ytimg.com/vi/gwbAiBn3Qpg/default.jpg"",""https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/Create"",""https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/GenerateIT"",""https://play.google.com/log"",""https://s.go-mpulse.net/boomerang/CUQED-YPH6N-MJ9LJ-NAC89-WQR4D"",""https://static.doubleclick.net/instream/ad_status.js"",""https://unpkg.com/slide-element@2.3.1/dist/index.umd.js"",""https://www.google.com/js/th/LBEmR2h8SoU0Qas6GEfhRoA0j2cP-KYEH279PJ_PFPQ.js"",""https://www.gstatic.com/cv/js/sender/v1/cast_sender.js"",""https://www.youtube.com/generate_204"",""https://www.youtube.com/s/player/576f07ca/player_ias.vflset/en_US/base.js"",""https://www.youtube.com/s/player/576f07ca/www-player.css""]",17.0,"["".fdic.gov""]",True,0.0025069105224609,549.399,"[""about"",""fear"",""foia"",""privacy"",""usa.gov"",""espanol"",""/es""]","[""accessibility"",""no fear act"",""foia"",""inspector general"",""usa.gov"",""espanol""]",True,False,2021 FDIC National Survey of Unbanked and Underbanked Households | FDIC,,,,,,,,,,https://www.fdic.gov/household-survey,en,en,True,False,True,https://www.fdic.gov/analysis/household-survey//robots.txt,False,404.0,text/html,,,,False,True,https://www.fdic.gov/analysis/household-survey//sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,"[""usa-banner"",""usa-button"",""usa-footer"",""usa-form"",""usa-header"",""usa-icon"",""usa-input"",""usa-label"",""usa-logo"",""usa-select"",""usa-sr-only""]",False,30.0,0.0,20.0,,0.0,50.0
extapps.fdic.gov,fdic.gov,.gov,True,https://extstsp.fdic.gov/adfs/ls/?SAMLRequest=nZJPb9swDMXv%2BxSG7olUzw1iIQmQNRgWoNu8JtthN9qmWgGy5Il01n37ye4ftBiQDbtSpN77PXJF0Llebwe%2B8zf4Y0DiLLvvnCc9vazFEL0OQJa0hw5Jc6MP24/XOp8r3cfAoQlOZPvdWlC%2BLEpVl3WtLssCL03dQp0v1MI0xrRqCWVrLpYLpVBk3zCSDX4t0jdpmmjAvScGz6mk8mJ2oWZ5eVRKF4XOl99FtkvWrAeepu6Ye9JS4j0TUz83rW3mt%2BEkoTUkHUmRvQ%2BxwYlrLQw4wlGmAiJ7wudK9QjwzvrW%2BtvztPVDE%2BkPx2M1qz4fjiLbEmEcPV0FT0OH8YDxZBv8enP92iWFZ5MJ6a0MPSYF%2BTQmO2TYOgskqRebN6sxfT3lEl/s47xBeDIjNn%2BXXskXEo%2BCvf6UPt3vquBs8%2Bu/DiHF3gGf7x4rtp2ZqVVzBE8WPYvsUI36XwZw1liM/5JgWoFz4edVROC0V44Dis0D22uahCj/PPbNbw%3D%3D&RelayState=s28490b9bb0594e5fbdab2606fcffd08a9df18600e&SigAlg=http://www.w3.org/2000/09/xmldsig%23rsa-sha1&Signature=FZeuS0HNdh2i7i9dqEVmE%2B4TsRnpQ3OlcdOePlOlKsEUlKg2OusXm1sJ7nCUD%2BfLwkgd4sWPx5SwxbAvpRX9IRFzfqYgL7VqDWRnFlwZiPXXi/rvcHI5jqeorvkPk4xrD/qzw8bFyFxRfx1rva77sO7KSkSY5zmgzAJybsegk9jywejSh4fuJOBs7M0mgUjoiNxh2w0wB8DLdDu%2BjYZEqdRdxSG8SU2x5ET7HDF/Be4Ge3UbC1CXEJtgdTEHhcEPUPflXA9dBL5BqA92LNl3QHNwh27JOc4MFo3Avhgoe3o8Cunmqsl9uz2KUai8d6/zuv3/Nb4P8POD8nu0uwowqA%3D%3D,fdic.gov,gov,extstsp.fdic.gov,True,200.0,text/html,True,False,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,Executive,False,"[""pulse""]",,2024-10-29T00:44:33.673Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,,False,,False,,,,,,0.0,"["".fdic.gov"",""extstsp.fdic.gov""]",True,0.0025045735677083,3129.0,"[""about"",""privacy"",""usa.gov""]","[""inspector general"",""privacy policy"",""usa.gov""]",True,True,Sign In,,,,,,,,,,,en-US,,True,False,True,https://extstsp.fdic.gov/adfs/ls/?SAMLRequest=nVJLTxsxEL7zK1a%2BJ142EUmsJFJKhIhEy0JSDr1NvGOw5LW3ntkU/j3e5SFQpbTi4sP4m/keM3OC2jVq1fKDv8XfLRJn2WPtPKn%2BZyHa6FUAsqQ81EiKtdquvl%2BpYpirJgYOOjiRbdYLQYXeA%2Byn3Tsx1WgGxow0TisNk7Oz3FQVjMaFnp5ORHaHkWzwC5HGpG6iFjeeGDynUl6MB6f5oJjt8lyNx6qY/RLZOkmzHrjvemBuSEmJj0xMzdBUVg/vw0FCZUg6kiK7CFFj72shDDjCjqYEInvA90r5auCb9ZX198fd7l9ApC53u3JQXm93IlsRYew0nQdPbY1xi/FgNf68vfqsksK7yGRpJEODiUG%2BtckaGVbOAklqxPJk3qWv%2Blzih30cFwhvYsTy39Rz%2BYHilbBRP9LQzboMzuqnLx1Cir0GPo7uKrYamB6qOIIni55Fti07/psWnDUW4/8kmFbgXPhzHhE47ZVji2L54u2zm2RR/n3sy2c%3D&RelayState=s2cbaab8cbaa7fd39aff3ce8dca7660fdda342c817&SigAlg=http://www.w3.org/2000/09/xmldsig%23rsa-sha1&Signature=EWtuOmRKJOdq%2Bd/VY880yyWGOMRPvFtdY6IJgkwK4L2RNxn3uWDjJkwCQWUD/sU%2B4Tf9l3T8X5ukRGe7O2m1usp/7qIuTA0cdjkGe/ivzgJFFrRDk/wVy6t0zX7Uc5W8PDC1LjeTJWhhf%2B/46wvVV71fhWNTqBlJcTT9pmjAqkRORKjXWZNOl00f1pEmcZaPZr9zLKyA%2ByEff4K8LuSV0E9i7%2BFZMz3lG9G5Jk/7OFYF3jlMg5YMCNbTfG9v6JDbYBOUpelQr0NMcSGvrmE8jJ6LDR4RoGbMBOo74dxNSxxwKB7leT0CQOP2BeJ5F3NoSqLgtICpEYoYmJYnis0tGQ%3D%3D,True,200.0,text/html,,,,False,True,https://extstsp.fdic.gov/adfs/ls/?SAMLRequest=nZJBT%2BMwEIXv/IrI99ZuGhZqtZW6VIhKLARa9rA31xmDJcfOeiZd%2BPc4KSAQUkF7Hc/4ve/NTFHVrpGLlh78LfxtASnLHmvnUfYvM9ZGL4NCi9KrGlCSluvFr0uZD4VsYqCgg2PZajljmJtcV%2BNiezIZVcVIVBrUyXh0qibmh9CiMuY4F2DE8ZZlvyGiDX7G0jdpGrGFlUdSnlJJ5MVgJAb5ZCOELAo5zv%2BwbJmsWa%2Bon3ogalByDo%2BEhM3QVFYP78OOq8ogd8hZdh6ihp5rxoxyCJ1MqRDtDt4q5QvAT%2Bsr6%2B8P0273TSgvNptyUF6vNyxbIELsPJ0Fj20NcQ1xZzXc3V5%2BdInhzWRCGvPQQFLgr2O8BlILZxVybNj8aNqlL/tc4rt9HDaoXs2w%2BdfSU/5O4kWwkVfp09WyDM7qp/86hBR7rehwd1ex1cD0rZKi8mjBE8vWZad/0ypnjYX4nQTTCpwL/84iKEp7pdgCm%2B/ZPtIkRP752OfP&RelayState=s2f2cd34b791d410dcea7318a9f60c0dff520ef05b&SigAlg=http://www.w3.org/2000/09/xmldsig%23rsa-sha1&Signature=CkEmxDD8UTS6K/s9h9tnoM5IXq3LJYvFH/oZCiqdzj91xcpBGpZRKRT4mJFLZVPAuja/Pbtjffacq5lF4o5YLumovSLaI9Z7FwuoDvontriKCi6gujmsb/KJwN98mcXejJdQ%2BRfamtOFntVhPhg6JZui8MU%2BVgfzsM4JBbSuWyhCxGeMAiMfZMkt/gX3dhgc7drHw5DcN7WwEuNNGXnTtUzuOCdckZ%2BYX5lV9CUO14W16guBsSWe6I/Pdr//5y7W6Mxg3ZfCGpuA2Ka41XeVvTBsJ8ihiPO1raB7ht/FsKqsNMAUfd8mpLCKOladDNCVMjVjyRFFdxeeF8Pr5gpVDw%3D%3D,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
cra-d.fdic.gov,fdic.gov,.gov,False,https://cra-d.fdic.gov/,fdic.gov,gov,cra-d.fdic.gov,False,404.0,text/html,True,True,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,Executive,True,"[""omb_idea""]",False,2024-10-29T02:04:10.865Z,completed,completed,completed,completed,completed,completed,completed,completed,True,cloud.gov,,,,False,,False,,,,,,0.0,,False,0.0,35.3,,,True,True,Error,,,,,,,,,,,en,,False,False,False,https://cra-d.fdic.gov/robots.txt,False,404.0,text/html,3857.0,,,False,False,https://cra-d.fdic.gov/sitemap.xml,False,404.0,text/html,3857.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
closedbanks.fdic.gov,fdic.gov,.gov,False,https://closedbanks.fdic.gov/,fdic.gov,gov,closedbanks.fdic.gov,False,404.0,text/plain,True,True,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,Executive,True,"[""dap"",""pulse""]",,2024-10-29T00:45:08.220Z,completed,completed,completed,completed,completed,completed,completed,completed,True,cloud.gov,,,,False,,False,,,,,,0.0,,False,0.0,29.8,,,True,True,,,,,,,,,,,,,,False,False,False,https://closedbanks.fdic.gov/robots.txt,False,404.0,text/plain,,,,False,False,https://closedbanks.fdic.gov/sitemap.xml,False,404.0,text/plain,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
playmoneysmart.fdic.gov,fdic.gov,.gov,False,https://playmoneysmart.fdic.gov/games,fdic.gov,gov,playmoneysmart.fdic.gov,True,200.0,text/html,True,True,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,Executive,True,"[""omb_idea""]",True,2024-10-29T00:45:52.130Z,completed,completed,completed,completed,completed,completed,completed,completed,True,azurefd.net,,,,True,,False,,,UA-33523145-1,"[""fdic.122.2o7.net"",""fonts.googleapis.com"",""fonts.gstatic.com"",""kit-free.fontawesome.com"",""www.google-analytics.com""]","[""https://fdic.122.2o7.net/b/ss/fdicgovprod/1/JS-2.1.0/s01625028380002"",""https://fonts.googleapis.com/css"",""https://fonts.googleapis.com/icon"",""https://fonts.gstatic.com/s/materialicons/v142/flUhRq6tzZclQEJ-Vdg-IuiaDsNcIhQ8tQ.woff2"",""https://fonts.gstatic.com/s/merriweather/v30/u-440qyriQwlOrhSvowK_l5-fCZMdeX3rg.woff2"",""https://kit-free.fontawesome.com/releases/latest/css/free-v4-font-face.min.css"",""https://kit-free.fontawesome.com/releases/latest/css/free-v4-shims.min.css"",""https://kit-free.fontawesome.com/releases/latest/css/free.min.css"",""https://kit-free.fontawesome.com/releases/latest/webfonts/free-fa-brands-400.woff2"",""https://kit-free.fontawesome.com/releases/latest/webfonts/free-fa-solid-900.woff2"",""https://www.google-analytics.com/analytics.js"",""https://www.google-analytics.com/collect""]",5.0,"["".fdic.gov"","".playmoneysmart.fdic.gov"",""playmoneysmart.fdic.gov""]",True,0.7516290338541666,1772.0,"[""about"",""fear"",""foia"",""privacy"",""usa.gov"",""espanol"",""/es""]","[""accessibility"",""no fear act"",""foia"",""inspector general"",""usa.gov"",""español""]",True,False,FDIC's How Money Smart Are You? - Games,,,,,,,,,,,en,,False,False,False,https://playmoneysmart.fdic.gov/robots.txt,False,404.0,text/html,,,,False,False,https://playmoneysmart.fdic.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,"[""usa-accordion"",""usa-alert"",""usa-button"",""usa-contact-cta"",""usa-footer"",""usa-form"",""usa-header"",""usa-help"",""usa-icon"",""usa-input"",""usa-label"",""usa-language-link"",""usa-link"",""usa-logo"",""usa-megamenu"",""usa-menu-btn"",""usa-nav"",""usa-nav-container"",""usa-navbar"",""usa-overlay"",""usa-search"",""usa-select"",""usa-sidenav"",""usa-sr-only"",""usa-stay-informed""]",False,80.0,7.0,20.0,,0.0,107.0
www.economicinclusion.gov,economicinclusion.gov,.gov,True,https://www.fdic.gov/household-survey,fdic.gov,gov,www.fdic.gov,True,200.0,text/html,False,False,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,Executive,True,"[""gov"",""2020_eot""]",,2024-10-29T01:25:51.051Z,completed,unknown_error,completed,completed,completed,completed,unknown_error,completed,False,,Drupal,,,True,,False,,,,"[""17de4c1a.akstat.io"",""c.go-mpulse.net"",""fdic.122.2o7.net"",""fonts.gstatic.com"",""googleads.g.doubleclick.net"",""gov1.siteintercept.qualtrics.com"",""i.ytimg.com"",""jnn-pa.googleapis.com"",""play.google.com"",""s.go-mpulse.net"",""static.doubleclick.net"",""unpkg.com"",""www.google.com"",""www.gstatic.com"",""www.youtube.com"",""yt3.ggpht.com"",""znbesceujpuk56ypk-fdicfedramp.gov1.siteintercept.qualtrics.com""]","[""https://17de4c1a.akstat.io/"",""https://c.go-mpulse.net/api/config.json"",""https://fdic.122.2o7.net/b/ss/fdicgovprod/1/JS-2.1.0/s02448566718156"",""https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4AMP6lQ.woff2"",""https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxKKTU1Kg.woff2"",""https://googleads.g.doubleclick.net/pagead/id"",""https://gov1.siteintercept.qualtrics.com/WRSiteInterceptEngine/Asset.php"",""https://gov1.siteintercept.qualtrics.com/WRSiteInterceptEngine/Targeting.php"",""https://gov1.siteintercept.qualtrics.com/dxjsmodule/1.a77e4e41b6b3512a0cb4.chunk.js"",""https://gov1.siteintercept.qualtrics.com/dxjsmodule/10.38aeed0d11906619d785.chunk.js"",""https://gov1.siteintercept.qualtrics.com/dxjsmodule/5.c9af7b501c84271e535b.chunk.js"",""https://gov1.siteintercept.qualtrics.com/dxjsmodule/CoreModule.js"",""https://gov1.siteintercept.qualtrics.com/dxjsmodule/SliderModule.js"",""https://gov1.siteintercept.qualtrics.com/static/q-siteintercept/.blob/0d6982ac7481f3ca850a1b72fa5c3e56597a71cc_svg-close-btn-black-5.svg"",""https://gov1.siteintercept.qualtrics.com/static/q-siteintercept/150c152ddacb6d78a56034d5f24f52e343a74607/img/svg-close-btn-black-5.svg"",""https://gov1.siteintercept.qualtrics.com/static/q-siteintercept/~/img/svg-close-btn-black-5.svg"",""https://i.ytimg.com/vi/gwbAiBn3Qpg/default.jpg"",""https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/Create"",""https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/GenerateIT"",""https://play.google.com/log"",""https://s.go-mpulse.net/boomerang/CUQED-YPH6N-MJ9LJ-NAC89-WQR4D"",""https://static.doubleclick.net/instream/ad_status.js"",""https://unpkg.com/slide-element@2.3.1/dist/index.umd.js"",""https://www.google.com/js/th/5YanC7r3SDSH0y4v5GfF4cr8sZMhP51iF7ltcz2BbbE.js"",""https://www.gstatic.com/cv/js/sender/v1/cast_sender.js"",""https://www.youtube.com/generate_204"",""https://www.youtube.com/s/player/576f07ca/player_ias.vflset/en_US/base.js"",""https://www.youtube.com/s/player/576f07ca/www-player.css""]",17.0,"["".fdic.gov""]",True,0.0041259730224609,552.699,"[""about"",""fear"",""foia"",""privacy"",""usa.gov"",""espanol"",""/es""]","[""accessibility"",""no fear act"",""foia"",""inspector general"",""usa.gov"",""espanol""]",,,2021 FDIC National Survey of Unbanked and Underbanked Households | FDIC,,,,,,,,,,https://www.fdic.gov/household-survey,en,en,True,False,True,https://www.fdic.gov/analysis/household-survey//robots.txt,False,404.0,text/html,,,,False,True,https://www.fdic.gov/analysis/household-survey//sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,"[""usa-banner"",""usa-button"",""usa-footer"",""usa-form"",""usa-header"",""usa-icon"",""usa-input"",""usa-label"",""usa-logo"",""usa-select"",""usa-sr-only""]",False,30.0,0.0,20.0,,0.0,50.0
webvpn4.fdic.gov,fdic.gov,.gov,,,,,,,,,,,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,Executive,,"[""pulse""]",,2024-10-28T06:04:58.864Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
securemail.fdic.gov,fdic.gov,.gov,True,https://securemail.fdic.gov/s/login?b=fdic2,fdic.gov,gov,securemail.fdic.gov,True,200.0,text/html,True,True,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,Executive,False,"[""pulse"",""omb_idea""]",True,2024-10-29T00:46:16.934Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,"[""\""password\"""",""Forgot your Password?"",""type=\""password\""""]",False,,False,,,,,,0.0,"[""securemail.fdic.gov""]",True,0.0823458393554687,460.8,,,True,True,FDIC Secure Email Password Authorization,,,,,,,,,,,en,,False,True,False,https://securemail.fdic.gov/robots.txt,True,200.0,unknown,25.0,,,False,False,https://securemail.fdic.gov/sitemap.xml,False,403.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
