target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
saos.fec.gov,fec.gov,.gov,True,https://saos.fec.gov/saos/searchao,fec.gov,gov,saos.fec.gov,True,200.0,text/html,True,True,Federal Election Commission,Federal Election Commission,Executive,True,"[""dap"",""pulse"",""omb_idea""]",True,2024-08-24T04:15:38.441Z,completed,completed,completed,completed,completed,completed,completed,completed,True,amazonaws.com,,,,False,,True,"{""agency"":""FEC""}","[""dap.digitalgov.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",3.0,"["".fec.gov"",""saos.fec.gov""]",False,0.0,304.7,"[""about"",""fear"",""foia"",""privacy"",""usa.gov""]","[""no fear act"",""foia"",""privacy policy"",""usa.gov""]",True,False,FEC Advisory Opinion Search System,,,,,,,,,,,en,,False,True,False,https://saos.fec.gov/robots.txt,True,200.0,text/plain,57.0,,,False,False,https://saos.fec.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
www.fec.gov,fec.gov,.gov,False,https://www.fec.gov/,fec.gov,gov,www.fec.gov,True,200.0,text/html,True,True,Federal Election Commission,Federal Election Commission,Executive,True,"[""gov"",""dap"",""2020_eot"",""usagov"",""gov_man""]",,2024-08-24T01:57:36.394Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,False,cloudfront.net,,,,True,,True,"{""agency"":""FEC""}","[""api.open.fec.gov"",""dap.digitalgov.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",4.0,"["".fec.gov"",""www.fec.gov""]",True,0.0,416.1,"[""about"",""fear"",""inspector"",""privacy"",""usa.gov"",""/es""]","[""about us"",""accessibility"",""budget and performance"",""no fear act"",""foia"",""inspector general"",""usa.gov""]",,,Home | FEC,"Find what you need to know about the federal campaign finance process.         Explore legal resources, campaign finance data, help for candidates and committees, and more.",,Home - FEC.gov,"Find what you need to know about the federal campaign finance process.         Explore legal resources, campaign finance data, help for candidates and committees, and more.",,,https://www.fec.gov/static/img/social/fec-logo.png,website,https://www.fec.gov/,https://www.fec.gov/,en,,True,True,False,https://www.fec.gov/robots.txt,True,200.0,text/plain,1254.0,10.0,"[""https://www.fec.gov/resources/cms-content/documents/sitemap_html.xml"",""https://www.fec.gov/resources/cms-content/documents/sitemap_pdf.xml"",""https://www.fec.gov/sitemap-wagtail.xml""]",False,False,https://www.fec.gov/sitemap.xml,False,404.0,text/html,,,,20.0,0.0,0.0,0.0,"[""usa-accordion-content"",""usa-banner"",""usa-banner-content"",""usa-banner-guidance-gov"",""usa-banner-guidance-ssl"",""usa-banner-header"",""usa-banner-icon"",""usa-grid"",""usa-grid-full"",""usa-media_block-body"",""usa-media_block-img"",""usa-width-one-half"",""usa-width-one-third"",""usa-width-two-thirds""]",False,20.0,0.0,0.0,,0.0,40.0
rem03.fec.gov,fec.gov,.gov,True,https://rem03.fec.gov/+CSCOE+/logon.html?a0=86&a1=&a2=&a3=1&reason=1#form_title_text,fec.gov,gov,rem03.fec.gov,True,200.0,text/html,True,True,Federal Election Commission,Federal Election Commission,Executive,False,"[""pulse"",""omb_idea""]",False,2024-08-24T00:52:59.426Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,,False,,False,,"[""601shutdown.relay.webvpn.""]",1.0,"[""rem03.fec.gov""]",True,0.0001557291666666,581.9,,,True,True,,,,,,,,,,,,,,False,True,False,https://rem03.fec.gov/robots.txt,True,200.0,text/plain,26.0,,,False,True,https://rem03.fec.gov/+CSCOE+/message.html?mc=2,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
docquery.fec.gov,fec.gov,.gov,True,https://www.fec.gov/data/,fec.gov,gov,www.fec.gov,True,200.0,text/html,True,False,Federal Election Commission,Federal Election Commission,Executive,True,"[""pulse""]",,2024-08-24T03:15:28.351Z,completed,unknown_error,completed,completed,completed,completed,completed,completed,True,cloudfront.net,,,,True,,True,"{""agency"":""FEC""}","[""dap.digitalgov.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",3.0,"["".fec.gov"",""www.fec.gov""]",True,0.0013972236328125,543.9,"[""about"",""fear"",""inspector"",""privacy"",""usa.gov"",""/es""]","[""accessibility"",""budget and performance"",""no fear act"",""foia"",""inspector general"",""usa.gov""]",False,False,Campaign finance data | FEC,"Explore current and historic federal campaign finance data on the new fec.gov. Look at totals and trends, and see how candidates and committees raise and spend money. When you find what you need, export results and save custom links.",,Campaign finance data - FEC.gov,"Explore current and historic federal campaign finance data on the new fec.gov. Look at totals and trends, and see how candidates and committees raise and spend money. When you find what you need, export results and save custom links.",,,https://www.fec.gov/static/img/social/fec-data.png,website,https://www.fec.gov/data/,https://www.fec.gov,en,,True,True,False,https://docquery.fec.gov/robots.txt,True,200.0,text/plain,150.0,10.0,,False,False,https://docquery.fec.gov/sitemap.xml,False,404.0,text/html,,,,20.0,0.0,0.0,0.0,"[""usa-accordion-content"",""usa-banner"",""usa-banner-content"",""usa-banner-guidance-gov"",""usa-banner-guidance-ssl"",""usa-banner-header"",""usa-banner-icon"",""usa-grid"",""usa-media_block-body"",""usa-media_block-img"",""usa-width-one-half""]",False,15.0,0.0,0.0,,0.0,35.0
classic.fec.gov,fec.gov,.gov,,,,,,,,,,,Federal Election Commission,Federal Election Commission,Executive,,"[""pulse""]",,2024-08-24T03:09:09.741Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eqs.fec.gov,fec.gov,.gov,True,https://www.fec.gov/legal-resources/enforcement/,fec.gov,gov,www.fec.gov,True,200.0,text/html,True,False,Federal Election Commission,Federal Election Commission,Executive,False,"[""pulse"",""omb_idea""]",True,2024-08-24T02:54:32.488Z,completed,completed,completed,completed,completed,completed,completed,completed,False,cloudfront.net,,,,True,,True,"{""agency"":""FEC""}","[""dap.digitalgov.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",3.0,"["".fec.gov"",""www.fec.gov""]",True,0.0295141930338541,354.1,"[""about"",""fear"",""inspector"",""privacy"",""usa.gov"",""/es""]","[""accessibility"",""budget and performance"",""no fear act"",""foia"",""inspector general"",""usa.gov""]",True,True,FEC | Legal resources | Enforcement,"The Federal Election Commission has jurisdiction over the civil enforcement of the federal campaign finance law. Enforcement cases can come from audits, complaints, referrals or self-submissions: Enforcement cases are primarily handled by the Office of General Counsel and are known as Matters Under Review (MURs). Other programs designed to augment the Office of General Counsel's enforcement role include the Alternative Dispute Resolution Program and the Administrative Fine Program.",,Enforcing federal campaign finance law - FEC.gov,"The Federal Election Commission has jurisdiction over the civil enforcement of the federal campaign finance law. Enforcement cases can come from audits, complaints, referrals or self-submissions: Enforcement cases are primarily handled by the Office of General Counsel and are known as Matters Under Review (MURs). Other programs designed to augment the Office of General Counsel's enforcement role include the Alternative Dispute Resolution Program and the Administrative Fine Program.",,,https://www.fec.gov/static/img/social/fec-legal.png,website,https://www.fec.gov/legal-resources/enforcement/,https://www.fec.gov/legal-resources/enforcement/,en,,True,False,True,https://www.fec.gov/legal-resources/enforcement/,True,200.0,text/html,,,,False,True,https://www.fec.gov/legal-resources/enforcement/,True,200.0,text/html,,,,20.0,0.0,0.0,0.0,"[""usa-accordion-content"",""usa-banner"",""usa-banner-content"",""usa-banner-guidance-gov"",""usa-banner-guidance-ssl"",""usa-banner-header"",""usa-banner-icon"",""usa-grid"",""usa-media_block-body"",""usa-media_block-img"",""usa-width-one-half""]",False,15.0,0.0,0.0,,0.0,35.0
fec.gov,fec.gov,.gov,True,https://www.fec.gov/,fec.gov,gov,www.fec.gov,True,200.0,text/html,True,False,Federal Election Commission,Federal Election Commission,Executive,True,"[""gov"",""pulse"",""omb_idea""]",True,2024-08-24T04:11:16.574Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,,True,,True,"{""agency"":""FEC""}","[""api.open.fec.gov"",""dap.digitalgov.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",4.0,"["".fec.gov"",""www.fec.gov""]",True,0.0,485.299,"[""about"",""fear"",""inspector"",""privacy"",""usa.gov"",""/es""]","[""about us"",""accessibility"",""budget and performance"",""no fear act"",""foia"",""inspector general"",""usa.gov""]",True,True,Home | FEC,"Find what you need to know about the federal campaign finance process.         Explore legal resources, campaign finance data, help for candidates and committees, and more.",,Home - FEC.gov,"Find what you need to know about the federal campaign finance process.         Explore legal resources, campaign finance data, help for candidates and committees, and more.",,,https://www.fec.gov/static/img/social/fec-logo.png,website,https://www.fec.gov/,https://www.fec.gov/,en,,True,True,True,https://www.fec.gov/robots.txt,True,200.0,text/plain,1254.0,10.0,"[""https://www.fec.gov/resources/cms-content/documents/sitemap_html.xml"",""https://www.fec.gov/resources/cms-content/documents/sitemap_pdf.xml"",""https://www.fec.gov/sitemap-wagtail.xml""]",False,True,https://www.fec.gov/sitemap.xml,False,404.0,text/html,,,,20.0,0.0,0.0,0.0,"[""usa-accordion-content"",""usa-banner"",""usa-banner-content"",""usa-banner-guidance-gov"",""usa-banner-guidance-ssl"",""usa-banner-header"",""usa-banner-icon"",""usa-grid"",""usa-grid-full"",""usa-media_block-body"",""usa-media_block-img"",""usa-width-one-half"",""usa-width-one-third"",""usa-width-two-thirds""]",False,20.0,0.0,0.0,,0.0,40.0
transition.fec.gov,fec.gov,.gov,False,https://transition.fec.gov/,fec.gov,gov,transition.fec.gov,True,200.0,text/html,True,True,Federal Election Commission,Federal Election Commission,Executive,True,"[""dap"",""pulse"",""omb_idea"",""2020_eot"",""gov_man""]",True,2024-08-24T04:16:01.547Z,completed,unknown_error,completed,completed,completed,completed,completed,completed,False,cloudfront.net,,,,True,,True,"{""agency"":""FEC""}","[""dap.digitalgov.gov"",""www.fec.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",4.0,"["".fec.gov""]",True,0.0004771416015625,296.0,"[""about"",""fear"",""privacy"",""usa.gov""]","[""budget and performance"",""no fear act"",""foia"",""inspector general"",""usa.gov""]",True,True,Help Complying with the Federal Campaign Finance Law (FECA),"Main page to access compliance resources, including filing information, publications and educational outreach.",,FEC.gov,"The new fec.gov makes it easier than ever to find what you need to know about the federal campaign finance process. Explore legal resources, campaign finance data, help for candidates and committees, and more.",,,https://www.fec.gov/static/img/social/general.png,website,https://www.fec.gov/,https://www.fec.gov/,en,,True,False,False,https://transition.fec.gov/robots.txt,False,404.0,text/html,,,,False,False,https://transition.fec.gov/sitemap.xml,False,404.0,text/html,,,,20.0,0.0,0.0,0.0,"[""usa-width-one-fourth"",""usa-width-one-half"",""usa-width-one-third""]",False,20.0,0.0,0.0,,0.0,40.0
api.open.fec.gov,fec.gov,.gov,True,https://api.open.fec.gov/developers/,fec.gov,gov,api.open.fec.gov,True,200.0,text/html,True,True,Federal Election Commission,Federal Election Commission,Executive,True,"[""dap"",""pulse"",""omb_idea""]",True,2024-08-24T01:56:51.074Z,completed,completed,completed,completed,completed,completed,completed,completed,True,data.gov,,,"[""\""user_email\""""]",False,,True,"{""agency"":""FEC""}","[""api.data.gov"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""www.google-analytics.com"",""www.google.com"",""www.googletagmanager.com"",""www.gstatic.com""]",8.0,"["".api.open.fec.gov"","".fec.gov""]",False,0.8487957024739584,1144.799,"[""about""]",,True,True,OpenFEC API Documentation,,,,,,,,,,,,,False,True,False,https://api.open.fec.gov/robots.txt,True,200.0,text/plain,30.0,,,False,False,https://api.open.fec.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
beta.fec.gov,fec.gov,.gov,True,https://www.fec.gov/,fec.gov,gov,www.fec.gov,True,200.0,text/html,True,False,Federal Election Commission,Federal Election Commission,Executive,True,"[""pulse""]",,2024-08-24T03:11:04.664Z,completed,completed,completed,completed,completed,completed,completed,completed,False,cloudfront.net,,,,True,,True,"{""agency"":""FEC""}","[""api.open.fec.gov"",""dap.digitalgov.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",4.0,"["".fec.gov"",""www.fec.gov""]",True,0.0,442.9,"[""about"",""fear"",""inspector"",""privacy"",""usa.gov"",""/es""]","[""about us"",""accessibility"",""budget and performance"",""no fear act"",""foia"",""inspector general"",""usa.gov""]",True,True,Home | FEC,"Find what you need to know about the federal campaign finance process.         Explore legal resources, campaign finance data, help for candidates and committees, and more.",,Home - FEC.gov,"Find what you need to know about the federal campaign finance process.         Explore legal resources, campaign finance data, help for candidates and committees, and more.",,,https://www.fec.gov/static/img/social/fec-logo.png,website,https://www.fec.gov/,https://www.fec.gov/,en,,True,True,True,https://www.fec.gov/robots.txt,True,200.0,text/plain,1254.0,10.0,"[""https://www.fec.gov/resources/cms-content/documents/sitemap_html.xml"",""https://www.fec.gov/resources/cms-content/documents/sitemap_pdf.xml"",""https://www.fec.gov/sitemap-wagtail.xml""]",False,True,https://www.fec.gov/sitemap.xml,False,404.0,text/html,,,,20.0,0.0,0.0,0.0,"[""usa-accordion-content"",""usa-banner"",""usa-banner-content"",""usa-banner-guidance-gov"",""usa-banner-guidance-ssl"",""usa-banner-header"",""usa-banner-icon"",""usa-grid"",""usa-grid-full"",""usa-media_block-body"",""usa-media_block-img"",""usa-width-one-half"",""usa-width-one-third"",""usa-width-two-thirds""]",False,20.0,0.0,0.0,,0.0,40.0
