target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,dns_scan_status,not_found_scan_status,robots_txt_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,title,description,og_title,og_description,og_article_published,og_article_modified,canonical_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
frtib.gov,frtib.gov,gov,True,https://www.frtib.gov/,frtib.gov,gov,www.frtib.gov,True,200.0,text/html,True,False,Federal Retirement Thrift Investment Board,Office of Technology Services,Executive,True,"[""gov"",""pulse""]",False,2024-03-13T02:36:54.648Z,completed,completed,completed,completed,completed,False,,,,,True,,True,"{""agency"":""FRTIB""}","[""dap.digitalgov.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",4.0,"["".frtib.gov""]",True,0.0,464.899,"[""fear"",""foia"",""privacy""]","[""accessibility"",""no fear act"",""foia"",""privacy policy"",""vulnerability disclosure""]",The Official FRTIB Homepage,,The Official FRTIB Homepage,,,,https://www.frtib.gov/,True,False,False,https://frtib.gov/robots.txt,False,404.0,unknown,,,,False,False,https://frtib.gov/sitemap.xml,False,404.0,unknown,,,,20.0,0.0,0.0,0.0,60.0,8.0,20.0,v3.3.0,100.0,208.0
pdc-ra-payroll.tsp.gov,tsp.gov,gov,,,,,,,,,,,Federal Retirement Thrift Investment Board,Office of Technology Services,Executive,,"[""pulse""]",False,2024-03-13T04:21:05.726Z,dns_resolution_error,completed,unknown_error,dns_resolution_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.tsptest.gov,tsptest.gov,gov,,,,,,,,,,,Federal Retirement Thrift Investment Board,Office of Technology Services,Executive,,"[""gov""]",False,2024-03-13T04:24:47.817Z,dns_resolution_error,completed,unknown_error,dns_resolution_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vdc-ra-payroll.tsp.gov,tsp.gov,gov,,,,,,,,,,,Federal Retirement Thrift Investment Board,Office of Technology Services,Executive,,"[""pulse""]",False,2024-03-13T03:15:34.759Z,dns_resolution_error,completed,unknown_error,dns_resolution_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tsp.gov,tsp.gov,gov,True,https://www.tsp.gov/,tsp.gov,gov,www.tsp.gov,True,200.0,text/html,True,False,Federal Retirement Thrift Investment Board,Office of Technology Services,Executive,False,"[""gov"",""pulse""]",False,2024-03-13T04:23:46.962Z,completed,completed,completed,completed,completed,False,amazonaws.com,,,,True,,True,"{""agency"":""FRTIB"",""pua"":""ua-33523145-2""}","[""dap.digitalgov.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",4.0,"["".tsp.gov""]",True,0.2752805519205729,233.0,"[""about"",""foia"",""privacy""]","[""about us"",""accessibility"",""foia"",""vulnerability disclosure""]",Home | The Thrift Savings Plan (TSP),"The Thrift Savings Plan (TSP) is a retirement savings and investment plan for Federal employees and members of the uniformed services, including the Ready Reserve. It was established by Congress in the Federal Employees’ Retirement System Act of 1986 and offers the same types of savings and tax benefits that many private corporations offer their employees under 401(k) plans.",Home,"The Thrift Savings Plan (TSP) is a retirement savings and investment plan for Federal employees and members of the uniformed services, including the Ready Reserve. It was established by Congress in the Federal Employees’ Retirement System Act of 1986 and offers the same types of savings and tax benefits that many private corporations offer their employees under 401(k) plans.",,,https://www.tsp.gov/,True,True,True,https://www.tsp.gov/robots.txt,True,200.0,text/plain,369.0,10.0,"[""https://www.tsp.gov/sitemap.xml""]",True,True,https://www.tsp.gov/sitemap.xml,True,200.0,application/xml,36978.0,244.0,31.0,20.0,0.0,0.0,0.0,55.0,6.0,20.0,,0.0,101.0
www.exploretsp.gov,exploretsp.gov,gov,,,,,,,,,,,Federal Retirement Thrift Investment Board,Office of Technology Services,Executive,,"[""gov""]",False,2024-03-13T01:13:22.149Z,dns_resolution_error,completed,unknown_error,dns_resolution_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.frtibtest.gov,frtibtest.gov,gov,,,,,,,,,,,Federal Retirement Thrift Investment Board,Office of Technology Services,Executive,,"[""gov""]",False,2024-03-13T01:09:54.701Z,dns_resolution_error,completed,unknown_error,dns_resolution_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vdc-ra-internal.tsp.gov,tsp.gov,gov,,,,,,,,,,,Federal Retirement Thrift Investment Board,Office of Technology Services,Executive,,"[""pulse""]",False,2024-03-13T04:22:59.437Z,dns_resolution_error,completed,unknown_error,dns_resolution_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exploretsp.gov,exploretsp.gov,gov,True,https://www.tsp.gov/,tsp.gov,gov,www.tsp.gov,True,200.0,text/html,False,False,Federal Retirement Thrift Investment Board,Office of Technology Services,Executive,False,"[""gov"",""pulse""]",False,2024-03-13T01:24:43.790Z,completed,completed,completed,completed,completed,False,amazonaws.com,,,,True,,True,"{""agency"":""FRTIB"",""pua"":""ua-33523145-2""}","[""dap.digitalgov.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",4.0,"["".tsp.gov""]",True,0.2752805519205729,232.5,"[""about"",""foia"",""privacy""]","[""about us"",""accessibility"",""foia"",""vulnerability disclosure""]",Home | The Thrift Savings Plan (TSP),"The Thrift Savings Plan (TSP) is a retirement savings and investment plan for Federal employees and members of the uniformed services, including the Ready Reserve. It was established by Congress in the Federal Employees’ Retirement System Act of 1986 and offers the same types of savings and tax benefits that many private corporations offer their employees under 401(k) plans.",Home,"The Thrift Savings Plan (TSP) is a retirement savings and investment plan for Federal employees and members of the uniformed services, including the Ready Reserve. It was established by Congress in the Federal Employees’ Retirement System Act of 1986 and offers the same types of savings and tax benefits that many private corporations offer their employees under 401(k) plans.",,,https://www.tsp.gov/,True,True,True,https://www.tsp.gov/robots.txt,True,200.0,text/plain,369.0,10.0,"[""https://www.tsp.gov/sitemap.xml""]",True,True,https://www.tsp.gov/sitemap.xml,True,200.0,application/xml,36978.0,244.0,31.0,20.0,0.0,0.0,0.0,55.0,6.0,20.0,,0.0,101.0
www.tsp.gov,tsp.gov,gov,False,https://www.tsp.gov/,tsp.gov,gov,www.tsp.gov,True,200.0,text/html,True,True,Federal Retirement Thrift Investment Board,Office of Technology Services,Executive,False,"[""gov"",""dap"",""eotw"",""gov_man""]",False,2024-03-13T04:21:27.108Z,completed,completed,completed,completed,completed,True,cloudfront.net,,,,True,,True,"{""agency"":""FRTIB"",""pua"":""ua-33523145-2""}","[""dap.digitalgov.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",4.0,"["".tsp.gov""]",True,0.2752805519205729,256.3,"[""about"",""foia"",""privacy""]","[""about us"",""accessibility"",""foia"",""vulnerability disclosure""]",Home | The Thrift Savings Plan (TSP),"The Thrift Savings Plan (TSP) is a retirement savings and investment plan for Federal employees and members of the uniformed services, including the Ready Reserve. It was established by Congress in the Federal Employees’ Retirement System Act of 1986 and offers the same types of savings and tax benefits that many private corporations offer their employees under 401(k) plans.",Home,"The Thrift Savings Plan (TSP) is a retirement savings and investment plan for Federal employees and members of the uniformed services, including the Ready Reserve. It was established by Congress in the Federal Employees’ Retirement System Act of 1986 and offers the same types of savings and tax benefits that many private corporations offer their employees under 401(k) plans.",,,https://www.tsp.gov/,True,True,False,https://www.tsp.gov/robots.txt,True,200.0,text/plain,369.0,10.0,"[""https://www.tsp.gov/sitemap.xml""]",True,False,https://www.tsp.gov/sitemap.xml,True,200.0,application/xml,36978.0,244.0,31.0,20.0,0.0,0.0,0.0,55.0,6.0,20.0,,0.0,101.0
