target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
www.donotcall.gov,donotcall.gov,.gov,False,https://www.donotcall.gov/,donotcall.gov,gov,www.donotcall.gov,True,200.0,text/html,True,True,Federal Trade Commission,Division of Consumer Response & Operations (DCRO),Executive,True,"[""gov"",""dap"",""2020_eot"",""usagov"",""gov_man""]",,2024-08-03T01:31:39.656Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,False,amazonaws.com,,,,False,,True,"{""agency"":""FTC"",""pua"":""UA-36365578-3""}","[""dap.digitalgov.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",3.0,"["".donotcall.gov""]",True,0.29601796875,464.099,"[""privacy"",""/es""]","[""privacy policy"",""español""]",,,National Do Not Call Registry,"Register your phone number to report stop or block unwanted, annoying,telemarketing, spam calls, robocalls to the FTC","Annoying, Block unwanted calls, Report annoying calls, Robocalls, Telemarketers, Avoid unwanted calls, Spam calls, Stop spam calls",,,,,,,,,en-US,,False,False,False,https://www.donotcall.gov/robots.txt,False,404.0,text/html,,,,False,False,https://www.donotcall.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
onguardonline.gov,onguardonline.gov,.gov,True,https://consumer.ftc.gov/identity-theft-and-online-security/online-privacy-and-security,ftc.gov,gov,consumer.ftc.gov,True,200.0,text/html,False,False,Federal Trade Commission,Division of Consumer & Business Education (DCBE),Executive,True,"[""gov"",""pulse""]",,2024-08-03T02:36:52.985Z,completed,completed,completed,completed,completed,completed,completed,completed,True,akamaitechnologies.com,Drupal,,,True,,True,"{""agency"":""FTC""}","[""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""gov1.siteintercept.qualtrics.com"",""static.addtoany.com"",""use.fontawesome.com"",""www.google-analytics.com"",""www.googletagmanager.com"",""zn9ypt3vnzbt6rvcy-fedtradecommission.gov1.siteintercept.qualtrics.com""]",9.0,"["".ftc.gov""]",True,0.026948947265625,1002.5,"[""about"",""foia"",""inspector"",""privacy""]","[""about us"",""foia"",""inspector general"",""español""]",True,True,Online Privacy and Security | Consumer Advice,"The official website of the Federal Trade Commission, protecting America’s consumers for over 100 years.",,Online Privacy and Security,"The official website of the Federal Trade Commission, protecting America’s consumers for over 100 years.",,,https://consumer.ftc.gov/sites/default/files/ftc_gov/images/ftc_social_share_default_en.jpg,Article,https://consumer.ftc.gov/identity-theft-and-online-security/online-privacy-and-security,https://consumer.ftc.gov/identity-theft-and-online-security/online-privacy-and-security,en,"en,es",True,True,True,https://www.consumer.ftc.gov/robots.txt,True,200.0,text/plain,2434.0,10.0,,True,True,https://www.consumer.ftc.gov/sitemap.xml,True,200.0,application/xml,1184930.0,0.0,0.0,20.0,0.0,40.0,0.0,"[""usa-accordion"",""usa-banner"",""usa-banner-inner"",""usa-button"",""usa-content-second"",""usa-current"",""usa-fieldset"",""usa-footer"",""usa-header"",""usa-label"",""usa-legend"",""usa-logo"",""usa-menu-btn"",""usa-nav"",""usa-nav-desktop-menu-search"",""usa-overlay"",""usa-skipnav"",""usa-sr-only""]",True,65.0,24.0,20.0,,0.0,169.0
dnchelp.donotcall.gov,donotcall.gov,.gov,False,https://dnchelp.donotcall.gov/,donotcall.gov,gov,dnchelp.donotcall.gov,True,200.0,text/html,True,True,Federal Trade Commission,Division of Consumer Response & Operations (DCRO),Executive,False,"[""pulse"",""omb_idea""]",False,2024-08-03T04:29:47.681Z,completed,completed,completed,completed,completed,completed,completed,completed,False,amazonaws.com,,,,False,,False,,,0.0,,False,0.0,82.1,,,True,True,Not Authorized,,,,,,,,,,,,,False,True,False,https://dnchelp.donotcall.gov/robots.txt,True,200.0,text/html,110.0,,,True,False,https://dnchelp.donotcall.gov/sitemap.xml,True,200.0,text/html,110.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
beta.robodeidentidad.gov,robodeidentidad.gov,.gov,,,,,,,,,,,Federal Trade Commission,Division of Consumer Response & Operations (DCRO),Executive,,"[""pulse""]",,2024-08-03T05:42:38.659Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
login.identitytheft.gov,identitytheft.gov,.gov,False,https://login.identitytheft.gov/,identitytheft.gov,gov,login.identitytheft.gov,False,404.0,text/html,True,True,Federal Trade Commission,Division of Consumer Response & Operations (DCRO),Executive,True,"[""dap""]",,2024-08-03T02:14:22.156Z,completed,completed,completed,completed,completed,completed,completed,completed,True,azurefd.net,,,,False,,False,,,0.0,,False,0.0,299.8,,,True,True,,,,,,,,,,,,,,False,False,False,https://login.identitytheft.gov/robots.txt,False,404.0,text/html,,,,False,False,https://login.identitytheft.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
safepiv.ftc.gov,ftc.gov,.gov,,,,,,,,,,,Federal Trade Commission,Office of Public Affairs (OPA),Executive,,"[""pulse""]",,2024-08-03T01:28:12.771Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.sentinel.gov,sentinel.gov,.gov,True,https://www.ftc.gov/enforcement/consumer-sentinel-network,ftc.gov,gov,www.ftc.gov,True,200.0,text/html,False,False,Federal Trade Commission,Division of Consumer Response & Operations (DCRO),Executive,False,"[""gov""]",,2024-08-03T06:04:22.782Z,completed,unknown_error,completed,completed,completed,completed,unknown_error,completed,False,amazonaws.com,Drupal,,,True,,True,"{""agency"":""FTC""}","[""dap.digitalgov.gov"",""extend.vimeocdn.com"",""fonts.googleapis.com"",""fonts.gstatic.com"",""gov1.siteintercept.qualtrics.com"",""search.usa.gov"",""static.addtoany.com"",""use.fontawesome.com"",""www.google-analytics.com"",""www.googletagmanager.com"",""zn9ypt3vnzbt6rvcy-fedtradecommission.gov1.siteintercept.qualtrics.com""]",11.0,"["".ftc.gov""]",True,0.036926859375,667.5,"[""about"",""fear"",""foia"",""privacy"",""usa.gov"",""/es""]","[""accessibility"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov"",""español""]",,,Consumer Sentinel Network | Federal Trade Commission,Consumer Sentinel is a unique investigative cyber tool that gives members of the Consumer Sentinel Network access to millions of reports.,,Consumer Sentinel Network,Consumer Sentinel is a unique investigative cyber tool that gives members of the Consumer Sentinel Network access to millions of reports.,2013-07-16T17:22:02.000Z,2022-03-04T22:24:25.000Z,https://www.ftc.gov/sites/default/files/ftc_gov/images/ftc_social_share_default_en.jpg,Basic page,https://www.ftc.gov/enforcement/consumer-sentinel-network,https://www.ftc.gov/enforcement/consumer-sentinel-network,en,en,True,False,True,https://www.ftc.gov/enforcement/consumer-sentinel-network,True,200.0,text/html,,,,False,True,https://www.ftc.gov/enforcement/consumer-sentinel-network,True,200.0,text/html,,,,20.0,0.0,40.0,0.0,"[""usa-accordion"",""usa-banner"",""usa-banner-inner"",""usa-button"",""usa-current"",""usa-footer"",""usa-header"",""usa-input"",""usa-logo"",""usa-menu-btn"",""usa-nav"",""usa-nav-desktop-menu-search"",""usa-overlay"",""usa-search"",""usa-sidenav"",""usa-skipnav"",""usa-sr-only""]",True,75.0,27.0,20.0,,0.0,182.0
register.consumersentinel.gov,consumersentinel.gov,.gov,False,https://register.consumersentinel.gov/,consumersentinel.gov,gov,register.consumersentinel.gov,True,200.0,text/html,True,True,Federal Trade Commission,Division of Consumer Response & Operations (DCRO),Executive,True,"[""pulse"",""omb_idea""]",False,2024-08-03T01:10:56.682Z,completed,completed,completed,completed,completed,completed,completed,completed,False,amazonaws.com,,,,False,,False,,,0.0,"["".register.consumersentinel.gov"",""register.consumersentinel.gov""]",True,0.0033053675130208,303.3,"[""privacy""]","[""privacy policy""]",True,True,Home,,,,,,,,,,,en,,False,False,False,https://register.consumersentinel.gov/robots.txt,False,404.0,text/html,,,,False,False,https://register.consumersentinel.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
hsr.gov,hsr.gov,.gov,True,https://www.ftc.gov/enforcement/premerger-notification-program,ftc.gov,gov,www.ftc.gov,True,200.0,text/html,False,False,Federal Trade Commission,Premerger Notification Office (PNO),Executive,False,"[""gov"",""pulse""]",,2024-08-03T00:33:59.539Z,completed,completed,completed,completed,completed,completed,completed,completed,True,akamaitechnologies.com,Drupal,,,True,,True,"{""agency"":""FTC""}","[""dap.digitalgov.gov"",""extend.vimeocdn.com"",""fonts.googleapis.com"",""fonts.gstatic.com"",""gov1.siteintercept.qualtrics.com"",""search.usa.gov"",""static.addtoany.com"",""use.fontawesome.com"",""www.google-analytics.com"",""www.googletagmanager.com"",""zn9ypt3vnzbt6rvcy-fedtradecommission.gov1.siteintercept.qualtrics.com""]",11.0,"["".ftc.gov""]",True,0.036227859375,804.3,"[""about"",""fear"",""foia"",""privacy"",""usa.gov"",""/es""]","[""accessibility"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov"",""español""]",True,True,Premerger Notification Program | Federal Trade Commission,/**/ The Hart-Scott,,Premerger Notification Program,/**/ The Hart-Scott,2013-07-23T16:05:38.000Z,2024-07-23T20:47:08.000Z,https://www.ftc.gov/sites/default/files/ftc_gov/images/ftc_social_share_default_en.jpg,Basic page,https://www.ftc.gov/enforcement/premerger-notification-program,https://www.ftc.gov/enforcement/premerger-notification-program,en,en,True,False,True,https://www.ftc.gov/enforcement/premerger-notification-program,True,200.0,text/html,,,,False,True,https://www.ftc.gov/enforcement/premerger-notification-program,True,200.0,text/html,,,,20.0,0.0,40.0,0.0,"[""usa-accordion"",""usa-banner"",""usa-banner-inner"",""usa-button"",""usa-current"",""usa-footer"",""usa-header"",""usa-input"",""usa-logo"",""usa-menu-btn"",""usa-nav"",""usa-nav-desktop-menu-search"",""usa-overlay"",""usa-search"",""usa-sidenav"",""usa-skipnav"",""usa-sr-only""]",True,75.0,28.0,20.0,,0.0,183.0
foiaxpresspal.ftc.gov,ftc.gov,.gov,False,https://foiaxpresspal.ftc.gov/,ftc.gov,gov,foiaxpresspal.ftc.gov,True,200.0,text/html,True,True,Federal Trade Commission,Office of Public Affairs (OPA),Executive,True,"[""pulse"",""omb_idea""]",True,2024-08-03T04:35:45.423Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,"["">Sign In<""]",False,,False,,,0.0,"[""foiaxpresspal.ftc.gov""]",True,0.0,395.099,"[""about"",""foia"",""privacy""]","[""foia"",""privacy policy""]",True,True,FTC Public Access Link-Home,,,,,,,,,,,en-us,,False,False,False,https://foiaxpresspal.ftc.gov/robots.txt,False,404.0,text/html,,,,False,False,https://foiaxpresspal.ftc.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
