target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
ww.iaf.gov,iaf.gov,.gov,,,,,,,,,,,Inter-American Foundation,Inter-American Foundation,Executive,,"[""pulse""]",,2024-07-12T14:20:09.897Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,amazonaws.com,,,,,,,,,,"["".akadev3-ion-www.hhs.gov"","".analytics.govinfo.gov"","".demdex.net"","".dol.gov"","".dpm.demdex.net"","".everesttech.net"","".fatherhood.gov"","".fnal.gov"","".foia.gov"","".ftc.gov"","".fws.gov"","".genome.gov"","".geohealth.hhs.gov"","".globalchange.gov"","".helpwithmycheckingaccount.gov"","".hhs.gov"","".opa-fpclinicdb.hhs.gov"","".peerta.acf.hhs.gov"","".usgs.gov"","".vacunas.gov"","".weather.gov"","".webharvest.gov"","".wrp.gov"","".www.fsrs.gov"","".www.hhs.gov"","".youtube.com"",""50215.global.siteimproveanalytics.io"",""6282609.global.r2.siteimproveanalytics.io"",""8906.global.siteimproveanalytics.io"",""akadev3-ion-www.hhs.gov"",""ams.hhs.gov"",""drc.hhs.gov"",""geohealth.hhs.gov"",""helpwithmycheckingaccount.gov"",""lms.learning.hhs.gov"",""nca2014.globalchange.gov"",""pingprod.fnal.gov"",""rn.ftc.gov"",""www.fsrs.gov"",""www.genome.gov"",""www.google.com"",""www.hhs.gov"",""www.usgs.gov"",""www.vacuna.gov"",""www.vacunas.gov"",""www.weather.gov"",""www.wrp.gov""]",,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testgrants.iaf.gov,iaf.gov,.gov,,,,,,,,,,,Inter-American Foundation,Inter-American Foundation,Executive,,"[""pulse"",""omb_idea""]",False,2024-07-12T14:23:52.971Z,timeout,timeout,completed,timeout,timeout,timeout,completed,timeout,False,amazonaws.com,,,,,,,,,,,,,,,,False,True,HTTP Status 500 – Internal Server Error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w.iaf.gov,iaf.gov,.gov,,,,,,,,,,,Inter-American Foundation,Inter-American Foundation,Executive,,"[""pulse""]",,2024-07-12T17:55:22.792Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,amazonaws.com,,,,,,,,,,"["".acf.hhs.gov"","".akadev1-ion-www.hhs.gov"","".benefits.va.gov"","".bep.gov"","".cfext.epa.gov"","".department.va.gov"","".digitalmedia.hhs.gov"","".ecfr.gov"","".energy.gov"","".epa.gov"","".fcc.gov"","".healthcare.gov"","".healthit.gov"","".hhs.gov"","".indianapolis.fbi.gov"","".intelink.gov"","".mars.nasa.gov"","".nasa.gov"","".phoenix.fbi.gov"","".portlandcoin.research.va.gov"","".usgs.gov"","".va.gov"","".weather.gov"","".wethinktwice.acf.hhs.gov"","".whitehouse.gov"","".youtube.com"",""6282609.global.r2.siteimproveanalytics.io"",""6283531.global.r2.siteimproveanalytics.io"",""akadev1-ion-www.hhs.gov"",""asprportal.hhs.gov"",""benefits.va.gov"",""cdn.eo.va.gov"",""cfext.epa.gov"",""click.connect.hhs.gov"",""forms.oig.hhs.gov"",""oig.hhs.gov"",""portlandcoin.research.va.gov"",""productordering.cms.hhs.gov"",""resource.digital.voice.va.gov"",""roseburg.va.gov"",""sheridan.va.gov"",""southtexas.va.gov"",""summersportsclinic.va.gov"",""svap3.hud.gov"",""vaonce.vba.va.gov"",""veteranfeedback.va.gov"",""wethinktwice.acf.hhs.gov"",""www.acf.hhs.gov"",""www.benefits.va.gov"",""www.oit.va.gov"",""www.phe.gov"",""www.usgs.gov"",""www.va.gov"",""www.weather.gov""]",,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iaf.gov,iaf.gov,.gov,,,,,,,,,,,Inter-American Foundation,Inter-American Foundation,Executive,False,"[""gov"",""dap"",""pulse"",""omb_idea""]",True,2024-07-08T23:22:43.839Z,timeout,timeout,completed,completed,completed,completed,completed,completed,False,amazonaws.com,,,,,,,,,,"["".iaf.gov""]",,0.2076967213541666,8087.4,,,False,True,Home - Inter-American Foundation,Find out about U.S. Government foreign assistance for community development in Latin America and the Caribbean.,,,,,,,,,,,,,True,False,https://iaf.gov/robots.txt,True,200.0,text/plain,253.0,,"[""https://www.iaf.gov/sitemap.rss"",""https://www.iaf.gov/sitemap.xml"",""https://www.iaf.gov/sitemap_index.xml""]",True,False,https://iaf.gov/sitemap.xml,True,200.0,text/xml,3213.0,0.0,0.0,,,,,,,,,,,
kreyol.iaf.gov,iaf.gov,.gov,,,,,,,,,,,Inter-American Foundation,Inter-American Foundation,Executive,,"[""pulse"",""gov_man""]",,2024-07-12T18:19:19.095Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,amazonaws.com,,,,,,,,,,"["".acf.hhs.gov"","".apps.ocfo.gsa.gov"","".demdex.net"","".dpm.demdex.net"","".eac.gov"","".everesttech.net"","".fbi.gov"","".fnal.gov"","".forward.hud.gov"","".fws.gov"","".globe.gov"","".gsa.gov"","".gsaxcess.gov"","".hanford.gov"","".healthcare.gov"","".hhs.gov"","".hrsa.gov"","".ipac.ecosphere.fws.gov"","".nist.gov"","".vacunas.gov"","".visstaging.globe.gov"","".webinar.cms.hhs.gov"","".workelections.azurewebsites.net"","".www.nist.gov"","".youtube.com"",""340bpricing.hrsa.gov"",""6017546.global.siteimproveanalytics.io"",""awdsc.frb.gov"",""chemm.hhs.gov"",""ecos-beta.fws.gov"",""ecos.fws.gov"",""hammer.hanford.gov"",""ipac.ecosphere.fws.gov"",""itacs.fda.gov"",""pingprod.fnal.gov"",""securemail.hudoig.gov"",""sws.gsa.gov"",""swst.wapa.gov"",""tableau.hrsa.gov"",""vacunas.gov"",""visstaging.globe.gov"",""webinar.cms.hhs.gov"",""workelections.azurewebsites.net"",""www.acf.hhs.gov"",""www.fbi.gov"",""www.fws.gov"",""www.vacunas.gov""]",,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grants.iaf.gov,iaf.gov,.gov,,,,,,,,,,,Inter-American Foundation,Inter-American Foundation,Executive,,"[""pulse"",""omb_idea""]",False,2024-07-12T14:30:11.094Z,timeout,timeout,completed,timeout,timeout,timeout,completed,timeout,False,amazonaws.com,,,,,,,,,,"[""grants.iaf.gov""]",,,,,,False,True,WebGrants - Inter-American Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
search.iaf.gov,iaf.gov,.gov,,,,,,,,,,,Inter-American Foundation,Inter-American Foundation,Executive,False,"[""dap"",""pulse""]",,2024-07-12T14:18:38.070Z,timeout,timeout,completed,completed,timeout,completed,completed,timeout,True,cloudfront.net,,,,,,,,,,"["".iaf.gov""]",,,,,,True,True,Home - Inter-American Foundation,Find out about U.S. Government foreign assistance for community development in Latin America and the Caribbean.,,,,,,,,,,,,,True,False,https://search.iaf.gov/robots.txt,True,200.0,text/plain,65.0,,,,,,,,,,,,,,,,,,,,,,
www.iaf.gov,iaf.gov,.gov,False,https://www.iaf.gov/,iaf.gov,gov,www.iaf.gov,True,200.0,text/html,True,True,Inter-American Foundation,Inter-American Foundation,Executive,False,"[""gov"",""dap"",""2020_eot"",""usagov"",""gov_man""]",,2024-07-12T16:03:23.217Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,False,amazonaws.com,WordPress,,,True,,True,"{""agency"":""IAF""}","[""dap.digitalgov.gov"",""f.vimeocdn.com"",""fonts.googleapis.com"",""fonts.gstatic.com"",""fresnel.vimeocdn.com"",""i.vimeocdn.com"",""platform.twitter.com"",""script.hotjar.com"",""search.usa.gov"",""static.hotjar.com"",""syndication.twitter.com"",""vc.hotjar.io"",""vimeo.com"",""www.google-analytics.com"",""www.google.com"",""www.googletagmanager.com"",""www.gsa.gov"",""www.gstatic.com""]",18.0,"["".iaf.gov""]",True,0.1797778736979166,3365.0,"[""about"",""fear"",""foia"",""privacy"",""usa.gov"",""/es""]","[""accessibility"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov"",""español""]",,,Home - Inter-American Foundation,Find out about U.S. Government foreign assistance for community development in Latin America and the Caribbean.,,Home - Inter-American Foundation,Find out about U.S. Government foreign assistance for community development in Latin America and the Caribbean.,,2024-01-25T21:41:11.000Z,https://www.iaf.gov/wp-content/uploads/2022/01/homepage-banner.jpg,website,https://www.iaf.gov/,https://www.iaf.gov/,en-US,"en,es,pt,ht",True,True,False,https://www.iaf.gov/robots.txt,True,200.0,text/plain,253.0,,"[""https://www.iaf.gov/sitemap.rss"",""https://www.iaf.gov/sitemap.xml"",""https://www.iaf.gov/sitemap_index.xml""]",True,False,https://www.iaf.gov/sitemap.xml,True,200.0,text/xml,8894.0,0.0,0.0,0.0,0.0,0.0,0.0,"[""usa-accordion"",""usa-banner""]",20.0,0.0,0.0,,0.0,20.0
portugues.iaf.gov,iaf.gov,.gov,,,,,,,,,,,Inter-American Foundation,Inter-American Foundation,Executive,,"[""pulse"",""gov_man""]",,2024-07-12T18:37:54.427Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,amazonaws.com,,,,,,,,,,"["".akadev3-ion-www.hhs.gov"","".analytics.govinfo.gov"","".ctsportal.hud.gov"","".demdex.net"","".dol.gov"","".dpm.demdex.net"","".everesttech.net"","".fatherhood.gov"","".fnal.gov"","".foia.gov"","".ftc.gov"","".fws.gov"","".genome.gov"","".geohealth.hhs.gov"","".globalchange.gov"","".globe.gov"","".helpwithmycheckingaccount.gov"","".hhs.gov"","".hud.gov"","".ic3.gov"","".opa-fpclinicdb.hhs.gov"","".peerta.acf.hhs.gov"","".usgs.gov"","".vacunas.gov"","".visstaging.globe.gov"","".weather.gov"","".webharvest.gov"","".wrp.gov"","".www.fsrs.gov"","".www.hhs.gov"","".youtube.com"",""50215.global.siteimproveanalytics.io"",""6282609.global.r2.siteimproveanalytics.io"",""8906.global.siteimproveanalytics.io"",""akadev3-ion-www.hhs.gov"",""ams.hhs.gov"",""ctsportal.hud.gov"",""drc.hhs.gov"",""geohealth.hhs.gov"",""helpwithmycheckingaccount.gov"",""lms.learning.hhs.gov"",""nca2014.globalchange.gov"",""pingprod.fnal.gov"",""rn.ftc.gov"",""visstaging.globe.gov"",""www.fsrs.gov"",""www.genome.gov"",""www.google.com"",""www.hhs.gov"",""www.usgs.gov"",""www.vacuna.gov"",""www.vacunas.gov"",""www.weather.gov"",""www.wrp.gov""]",,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spanish.iaf.gov,iaf.gov,.gov,,,,,,,,,,,Inter-American Foundation,Inter-American Foundation,Executive,,"[""pulse"",""gov_man""]",,2024-07-12T19:31:59.773Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,amazonaws.com,,,,,,,,,,"["".americorps.gov"","".banks-d.data.fdic.gov"","".bluekai.com"","".crwdcntrl.net"","".demdex.net"","".doubleclick.net"","".dpm.demdex.net"","".ecfr.gov"","".epa.gov"","".everesttech.net"","".exelator.com"","".faa.gov"","".fbi.gov"","".fcc.gov"","".fdic.122.2o7.net"","".fdic.gov"","".feb.gov"","".federalreserve.gov"","".fnal.gov"","".foreignassistance.gov"","".ftc.gov"","".fws.gov"","".gsa.gov"","".healthcare.gov"","".hhs.gov"","".hispanicheritagemonth.gov"","".hrsa.gov"","".intune.microsoft.com"","".justice.gov"","".linkedin.com"","".loc.gov"","".login.live.com"","".login.microsoftonline.com"","".minneapolis.fbi.gov"","".openx.net"","".opm.gov"","".ozoneairqualitystandards.epa.gov"","".pinterest.com"","".pubmatic.com"","".rlcdn.com"","".sandiego.fbi.gov"","".sharethis.com"","".sitescout.com"","".state-tables-q.fdic.gov"","".t.co"","".tapad.com"","".telehealth.hhs.gov"","".twitter.com"","".va.gov"","".volunteer.va.gov"","".www.linkedin.com"","".youth.gov"","".youtube.com"",""6283531.global.r2.siteimproveanalytics.io"",""8906.global.siteimproveanalytics.io"",""aep.airports.faa.gov"",""appian-preprod-dsc.fda.gov"",""bsa.fincen.gov"",""cdn.eo.va.gov"",""digitalmedia.fws.gov"",""exclusions.iglb.oig.hhs.gov"",""foiaxpresspal.ftc.gov"",""gudid.fda.gov"",""honolulu-pacific.feb.gov"",""ifw7asm-orcldb.fws.gov"",""imp-t.healthcare.gov"",""login.microsoftonline.com"",""ozoneairqualitystandards.epa.gov"",""pay.fcc.gov"",""pwm.grantsolutions.gov"",""resource.digital.voice.va.gov"",""richmond.va.gov"",""saos.fec.gov"",""volunteer.va.gov"",""www.faa.gov"",""www.google.com"",""www.gsaadvantage.gov"",""www.oit.va.gov"",""www.va.gov"",""youth.gov""]",,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
