target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
www.alsa.mil,alsa.mil,mil,,,,,,,,,,,Joint,Air Land Sea Application Center,Executive,True,"[""mil-sites1""]",False,2024-05-11T05:07:16.520Z,unknown_error,unknown_error,completed,completed,unknown_error,completed,unknown_error,completed,True,edgekey.net,,,,,,,,,,"["".alsa.mil"","".www.alsa.mil"",""www.alsa.mil""]",,,,,,,,Air Land Sea Space Application Center,,,,,,,,,,,,,,True,False,https://www.alsa.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://www.alsa.mil/sitemap.xml,False,404.0,unknown,,,,,,,,,,,,,
www.northcom.mil,northcom.mil,mil,False,https://www.northcom.mil/,northcom.mil,mil,www.northcom.mil,True,200.0,text/html,True,True,Joint,U.S. Northern Command,Executive,True,"[""mil-sites1""]",False,2024-05-11T06:06:39.480Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,True,,True,,"[""fonts.googleapis.com"",""fonts.gstatic.com"",""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.youtube.com""]",7.0,"["".northcom.mil"","".www.northcom.mil"",""www.northcom.mil""]",True,0.9021969505208332,240.5,"[""about"",""foia""]","[""accessibility"",""foia""]",,,U.S. Northern Command,,,,,,,,,,,en-US,,False,True,False,https://www.northcom.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://www.northcom.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
www.jtf-spacedefense.mil,jtf-spacedefense.mil,mil,True,https://www.spaceforces-space.mil/,spaceforces-space.mil,mil,www.spaceforces-space.mil,True,200.0,text/html,False,False,Joint,Joint Task Force-Space Defense,Executive,False,"[""mil-sites1""]",False,2024-05-11T05:10:32.705Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,True,,True,,"[""fonts.googleapis.com"",""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.youtube.com""]",6.0,"["".spaceforces-space.mil"","".www.spaceforces-space.mil""]",True,1.0301209296875,397.8,"[""about"",""fear"",""foia"",""privacy"",""usa.gov""]","[""about us"",""no fear act"",""foia"",""privacy policy"",""usa.gov""]",,,Home - U.S. Space Forces - Space,,,,,,,,,,,en-US,,False,False,True,https://www.spaceforces-space.mil/,True,200.0,text/html,,,,False,True,https://www.spaceforces-space.mil/,True,200.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
www.jtfgtmo.southcom.mil,southcom.mil,mil,False,https://www.jtfgtmo.southcom.mil/,southcom.mil,mil,www.jtfgtmo.southcom.mil,True,200.0,text/html,True,True,Joint,Joint Task Force Guantanamo,Executive,True,"[""mil-sites1""]",False,2024-05-11T05:10:47.047Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,True,,True,,"[""fonts.googleapis.com"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",4.0,"["".jtfgtmo.southcom.mil"","".southcom.mil"","".www.jtfgtmo.southcom.mil"",""www.jtfgtmo.southcom.mil""]",True,0.0105477736409505,276.2,"[""about""]",,,,Joint Task Force Guantanamo,,,,,,,,,,,en-US,,False,True,False,https://www.jtfgtmo.southcom.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://www.jtfgtmo.southcom.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
www.jtnc.mil,jtnc.mil,mil,False,https://www.jtnc.mil/,jtnc.mil,mil,www.jtnc.mil,True,200.0,text/htmltext/html,True,True,Joint,Joint Tactical Networking Center,Executive,True,"[""mil-sites1""]",False,2024-05-11T01:05:54.900Z,completed,unknown_error,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,True,,True,,"[""connect.facebook.net"",""fonts.googleapis.com"",""fonts.gstatic.com"",""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.youtube.com""]",8.0,"["".jtnc.mil"","".www.jtnc.mil""]",True,0.9766399244791666,282.399,"[""about"",""fear"",""privacy"",""usa.gov""]","[""accessibility"",""no fear act"",""foia"",""privacy policy"",""usa.gov""]",,,Home,,,,,,,,,,,en-US,,False,True,False,https://www.jtnc.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://www.jtnc.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
www.jpra.mil,jpra.mil,mil,False,https://www.jpra.mil/,jpra.mil,mil,www.jpra.mil,True,200.0,text/html,True,True,Joint,Joint Personnel Recovery Agency,Executive,True,"[""mil-sites1""]",False,2024-05-11T02:56:08.472Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,True,,True,,"[""d1ldvf68ux039x.cloudfront.net"",""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.youtube.com""]",6.0,"["".jpra.mil"","".www.jpra.mil""]",True,0.3074035388997395,411.799,"[""about"",""fear"",""foia"",""privacy"",""usa.gov""]","[""accessibility"",""no fear act"",""foia"",""usa.gov""]",,,Home,,,,,,,,,,,en-US,,False,True,False,https://www.jpra.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://www.jpra.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
www.jbab.jb.mil,jb.mil,mil,False,https://www.jbab.jb.mil/,jb.mil,mil,www.jbab.jb.mil,True,200.0,text/html,True,True,Joint,Joint Base Anacostia-Bolling,Executive,True,"[""mil-sites1""]",False,2024-05-11T01:04:29.704Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,True,,True,,"[""fonts.googleapis.com"",""fonts.gstatic.com"",""media.defense.gov"",""scontent-sea1-1.xx.fbcdn.net"",""search.usa.gov"",""static.xx.fbcdn.net"",""www.facebook.com"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.youtube.com""]",10.0,"["".jb.mil"","".jbab.jb.mil""]",True,0.5065327890625,509.599,"[""about"",""inspector"",""usa.gov""]","[""no fear act"",""foia"",""inspector general"",""usa.gov""]",,,Joint Base Anacostia-Bolling,,,,,,,,,,,en-US,,False,True,False,https://www.jbab.jb.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://www.jbab.jb.mil/sitemap.xml,False,404.0,unknown,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
www.spacecom.mil,spacecom.mil,mil,False,https://www.spacecom.mil/,spacecom.mil,mil,www.spacecom.mil,True,200.0,text/html,True,True,Joint,U.S. Space Command,Executive,True,"[""mil-sites1""]",False,2024-05-11T01:06:36.837Z,completed,unknown_error,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,True,,True,,"[""d34w7g4gy10iej.cloudfront.net"",""fonts.cdnfonts.com"",""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",6.0,"["".spacecom.mil""]",True,0.1321975,342.799,"[""about"",""fear"",""foia"",""inspector"",""privacy"",""usa.gov""]","[""accessibility"",""no fear act"",""foia"",""inspector general"",""usa.gov""]",,,Home,,,,,,,,,,,en-US,,False,True,False,https://www.spacecom.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://www.spacecom.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
www.jwac.mil,jwac.mil,mil,False,https://www.jwac.mil/,jwac.mil,mil,www.jwac.mil,True,200.0,text/html,True,True,Joint,Joint Warfare Analysis Center,Executive,True,"[""mil-sites1""]",False,2024-05-11T02:58:19.869Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,True,,True,,"[""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",3.0,"["".jwac.mil"","".www.jwac.mil"",""www.jwac.mil""]",True,0.007684111328125,375.2,"[""about"",""fear"",""privacy""]","[""about us"",""accessibility"",""no fear act"",""foia""]",,,JWAC Home,,,,,,,,,,,en-US,,False,True,False,https://www.jwac.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://www.jwac.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
www.inherentresolve.mil,inherentresolve.mil,mil,False,https://www.inherentresolve.mil/,inherentresolve.mil,mil,www.inherentresolve.mil,True,200.0,text/html,True,True,Joint,Combined Joint Task Force - Operation Inherent Resolve,Executive,True,"[""mil-sites1""]",False,2024-05-11T02:58:19.914Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,True,,True,,"[""connect.facebook.net"",""media.defense.gov"",""search.usa.gov"",""ssl.google-analytics.com"",""stats.g.doubleclick.net"",""www.google-analytics.com"",""www.google.com"",""www.googletagmanager.com"",""www.youtube.com""]",9.0,"["".inherentresolve.mil"",""www.inherentresolve.mil""]",True,0.7629026070963542,293.7,"[""about"",""fear"",""foia"",""privacy"",""usa.gov""]","[""about us"",""foia"",""privacy policy"",""usa.gov""]",,,CJTF-OIR HOME,,,,,,,,,,,en-US,,False,True,False,https://www.inherentresolve.mil/robots.txt,True,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",False,False,https://www.inherentresolve.mil/sitemap.xml,False,404.0,text/html,,,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0
