target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
friendsandfamily.jsc.nasa.gov,nasa.gov,.gov,,,,,,,,,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,Executive,,"[""pulse""]",,2024-08-17T00:46:13.469Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sedvme.gsfc.nasa.gov,nasa.gov,.gov,True,https://sedvme.gsfc.nasa.gov/sci,nasa.gov,gov,sedvme.gsfc.nasa.gov,True,200.0,text/html,True,True,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,Executive,False,"[""dap"",""pulse""]",,2024-08-17T03:23:46.493Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,,False,,True,"{""agency"":""NASA""}","[""apod.nasa.gov"",""cdn.jsdelivr.net"",""cse.google.com"",""dap.digitalgov.gov"",""eoimages.gsfc.nasa.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""science.gsfc.nasa.gov"",""www.google-analytics.com"",""www.google.com"",""www.googletagmanager.com""]",11.0,"["".nasa.gov"",""sedvme.gsfc.nasa.gov""]",True,0.028276,3781.099,"[""privacy""]",,True,True,Sciences and Exploration Directorate,Science @ NASA,"science, NASA, Goddard, GSFC, Goddard Space Flight Center, earth science, earth sciences, astrophysics, heliophysics, solar system, Earth and Space, Science Research, stars, universe, activities, education, lunar, moon, solar, sun, planets, planetary, Code 600, SED, Sciences and Exploration Directorate",,,,,,,,,,,True,False,False,https://sedvme.gsfc.nasa.gov/robots.txt,False,404.0,text/plain,,,,False,True,https://sedvme.gsfc.nasa.gov/sci/notFound,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
spacescience.nasa.gov,nasa.gov,.gov,True,https://science.nasa.gov/,nasa.gov,gov,science.nasa.gov,True,200.0,text/html,True,False,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,Executive,True,"[""pulse""]",,2024-08-17T04:30:23.992Z,completed,unknown_error,completed,completed,timeout,completed,completed,completed,True,cloudfront.net,WordPress,,,True,,True,"{""agency"":""NASA"",""pua"":""G-3MLXXCVWWY"",""subagency"":""GSFC"",""yt"":""true"",""dclink"":""true"",""sp"":""search,s,q"",""sdor"":""false"",""exts"":""tif,tiff""}","[""cdn.parsely.com"",""dap.digitalgov.gov"",""eex-gateway.fr011.ttecfed.com"",""fonts.gstatic.com"",""googleads.g.doubleclick.net"",""i.ytimg.com"",""jnn-pa.googleapis.com"",""p1.parsely.com"",""play.google.com"",""smd-cms.nasa.gov"",""static.doubleclick.net"",""www.google-analytics.com"",""www.google.com"",""www.googletagmanager.com"",""www.gstatic.com"",""www.youtube.com"",""yt3.ggpht.com""]",17.0,"["".nasa.gov"","".science.nasa.gov"",""science.nasa.gov""]",True,,,"[""about"",""fear"",""foia"",""privacy"",""espanol"",""/es""]","[""about us"",""accessibility"",""no fear act"",""foia"",""privacy policy"",""español""]",True,True,NASA Science,,NASA Science,NASA Science,,,,https://science.nasa.gov/wp-content/uploads/2023/03/main-image-star-forming-region-carina-nircam-final-5mb-1-jpeg.webp?w=1024,,https://science.nasa.gov/,https://science.nasa.gov/,en-US,,True,False,False,https://spacescience.nasa.gov/robots.txt,False,404.0,text/plain,,,,False,False,https://spacescience.nasa.gov/sitemap.xml,False,404.0,text/plain,,,,0.0,0.0,40.0,739.0,"[""usa-accordion"",""usa-button"",""usa-footer"",""usa-input"",""usa-logo"",""usa-nav-container"",""usa-search"",""usa-sr-only""]",False,40.0,6.0,20.0,,0.0,845.0
robots.nasa.gov,nasa.gov,.gov,True,https://robotics.nasa.gov/,nasa.gov,gov,robotics.nasa.gov,True,200.0,text/html,True,False,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,Executive,True,"[""pulse""]",,2024-08-17T03:20:10.440Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,WordPress,,,True,,True,"{""agency"":""NASA"",""subagency"":""JSC"",""dclink"":""true""}","[""dap.digitalgov.gov"",""platform.twitter.com"",""syndication.twitter.com"",""use.fontawesome.com"",""www.googletagmanager.com""]",5.0,"["".nasa.gov""]",True,0.0456,2180.3,"[""about"",""fear"",""foia"",""privacy""]","[""no fear act"",""foia"",""inspector general"",""privacy policy""]",True,True,Robotics Alliance Project,,,,,,,,,,,en-US,,False,True,True,https://robotics.nasa.gov/robots.txt,True,200.0,text/plain,118.0,,"[""https://robotics.nasa.gov/wp-sitemap.xml""]",False,True,https://robotics.nasa.gov/wp-sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
nasaexchange.ksc.nasa.gov,nasa.gov,.gov,True,https://public.ksc.nasa.gov/exchange-kars/,nasa.gov,gov,public.ksc.nasa.gov,True,200.0,text/html,True,False,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,Executive,True,"[""pulse""]",,2024-08-17T03:23:48.545Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,WordPress,,"[""\""password\"""",""type=\""password\""""]",False,,True,"{""agency"":""NASA"",""pua"":""UA-33523145-1"",""yt"":""true"",""dclink"":""true""}","[""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""www.googletagmanager.com"",""www.youtube.com""]",5.0,"["".nasa.gov""]",True,0.01622140625,1581.4,"[""about"",""privacy"",""usa.gov""]","[""accessibility"",""privacy policy"",""usa.gov""]",True,True,NASA Exchange KARS,,,,,,,,,,https://public.ksc.nasa.gov/exchange-kars/,en-US,,True,False,True,https://public.ksc.nasa.gov/exchange-kars/robots.txt,False,404.0,text/html,,,,False,True,https://public.ksc.nasa.gov/exchange-kars/wp-sitemap.xml,True,200.0,application/xml,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
space.jpl.nasa.gov,nasa.gov,.gov,False,https://space.jpl.nasa.gov/,nasa.gov,gov,space.jpl.nasa.gov,True,200.0,text/html,True,True,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,Executive,True,"[""dap"",""pulse"",""omb_idea""]",True,2024-08-17T03:23:55.036Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,,False,,True,"{""agency"":""NASA"",""subagency"":""JPL-maps""}","[""dap.digitalgov.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",3.0,"["".nasa.gov""]",False,0.0,104.0,,,True,True,Solar System Simulator,The Solar System Simulator is a graphical engine which will produce simulated views of any body in the solar system from any point in space.,"solar system visualization, space visualization, space graphics, space simulation, solar system, universe, deep space exploration, Jet Propulsion Laboratory, JPL, NASA, National Aeronautics and Space Administration, Caltech, California Institute of Technology, space.jpl.nasa.gov",,,,,,,,,en-US,,False,True,False,https://space.jpl.nasa.gov/robots.txt,True,200.0,text/plain,34.0,,,False,False,https://space.jpl.nasa.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
doingbusiness.msfc.nasa.gov,nasa.gov,.gov,False,https://doingbusiness.msfc.nasa.gov/,nasa.gov,gov,doingbusiness.msfc.nasa.gov,True,200.0,text/html,True,True,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,Executive,True,"[""dap"",""pulse"",""omb_idea""]",True,2024-08-17T04:30:49.158Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,,True,,True,"{""agency"":""NASA"",""subagency"":""MSFC""}","[""dap.digitalgov.gov"",""mobile.neacc.nasa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",4.0,"["".msfc.nasa.gov"","".nasa.gov"",""doingbusiness.msfc.nasa.gov""]",True,0.0301021105957031,1218.599,"[""about"",""foia"",""privacy""]","[""accessibility"",""freedom of information act"",""privacy policy""]",True,True,Welcome - Doing Business - Enterprise Baseline Portal,,,,,,,,,,https://doingbusiness.msfc.nasa.gov,en-US,"zh-cn,es-es,iw-il,ja-jp,ca-es,fi-fi,hu-hu,fr-fr,x-default,en-us,pt-br,de-de",False,True,False,https://doingbusiness.msfc.nasa.gov/robots.txt,True,200.0,text/plain,79.0,,"[""http://doingbusiness.msfc.nasa.gov/sitemap.xml""]",True,False,https://doingbusiness.msfc.nasa.gov/sitemap.xml,True,200.0,text/xml,6558.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
resolvingissues.jsc.nasa.gov,nasa.gov,.gov,,,,,,,,,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,Executive,,"[""dap""]",,2024-08-17T02:01:09.477Z,timeout,timeout,completed,timeout,timeout,timeout,completed,timeout,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gimms.gsfc.nasa.gov,nasa.gov,.gov,False,https://gimms.gsfc.nasa.gov/,nasa.gov,gov,gimms.gsfc.nasa.gov,True,200.0,text/html,True,True,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,Executive,True,"[""dap"",""pulse"",""omb_idea""]",False,2024-08-17T05:54:34.801Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,,False,,True,"{""agency"":""NASA"",""subagency"":""GSFC"",""pua"":""UA-52256948-1""}","[""ajax.googleapis.com"",""dap.digitalgov.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",4.0,"["".nasa.gov""]",False,0.0,232.9,"[""about"",""privacy""]","[""privacy policy""]",True,True,Index of https://gimms.gsfc.nasa.gov/,NASA / GSFC GIMMS Data Portal,"NASA, GSFC, GIMMS, NDVI",,,,,,,,,,,False,False,False,https://gimms.gsfc.nasa.gov/robots.txt,False,404.0,text/html,,,,False,False,https://gimms.gsfc.nasa.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
ails.arc.nasa.gov,nasa.gov,.gov,False,https://ails.arc.nasa.gov/,nasa.gov,gov,ails.arc.nasa.gov,True,200.0,text/html,True,True,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,Executive,True,"[""dap"",""pulse"",""omb_idea""]",True,2024-08-17T03:23:58.402Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,,True,,True,"{""agency"":""NASA"",""subagency"":""ARC"",""dclink"":""true""}","[""ajax.googleapis.com"",""cdn.jsdelivr.net"",""cdnjs.cloudflare.com"",""code.jquery.com"",""dap.digitalgov.gov"",""insideails.arc.nasa.gov"",""www.googletagmanager.com""]",7.0,"["".nasa.gov""]",True,0.0008690625,289.7,"[""about"",""privacy""]","[""privacy policy""]",True,True,Featured Photos | Ames Photo Library,,,,,,,,,,,,,False,False,False,https://ails.arc.nasa.gov/robots.txt,False,404.0,text/html,,,,False,False,https://ails.arc.nasa.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
