target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,dap_version,ga_tag_id,third_party_service_domains,third_party_service_urls,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
usda-rd.usajobs.gov,usajobs.gov,.gov,True,https://usda-rd.usajobs.gov/search/results/?a=AG07&a=AG15&a=AG32&s=relevance&sd=asc&p=1,usajobs.gov,gov,usda-rd.usajobs.gov,True,200.0,text/html,True,True,Office of Personnel Management,OPM Human Resource Solutions,Executive,False,"[""dap"",""pulse"",""omb_idea""]",True,2024-11-11T09:16:58.625Z,completed,completed,completed,completed,completed,completed,completed,completed,True,edgekey.net,,,,True,,False,,,,"[""eex-gateway.fr011.ttecfed.com"",""www.googletagmanager.com""]","[""https://eex-gateway.fr011.ttecfed.com/sites/usajobs-gov/production/gateway.min.js"",""https://www.googletagmanager.com/gtm.js""]",2.0,"["".usajobs.gov"",""usda-rd.usajobs.gov""]",True,0.5915172151692709,263.9,"[""about"",""fear"",""inspector"",""privacy"",""usa.gov""]","[""about us"",""accessibility"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",True,True,USAJOBS - Search,,,USAJOBS—The federal government’s official employment site.,USAJOBS connects job seekers with federal employment opportunities across the United States and around the world. USAJOBS helps the right people find the right jobs.,,,https://www.usajobs.gov/media/content/usajobs-branded-search.png,,https://usda-rd.usajobs.gov,,en,,True,True,False,https://usda-rd.usajobs.gov/robots.txt,True,200.0,text/plain,150.0,,"[""https://www.usajobs.gov/sitemap.xml""]",False,True,https://usda-rd.usajobs.gov/search/results/,True,200.0,text/html,,,,20.0,0.0,0.0,0.0,"[""usa-accordion"",""usa-accordion-bordered"",""usa-accordion-button"",""usa-accordion-content"",""usa-alert"",""usa-alert-heading"",""usa-alert-text"",""usa-banner"",""usa-banner-header"",""usa-banner-inner"",""usa-button-big"",""usa-button-primary"",""usa-footer"",""usa-footer-big"",""usa-footer-big-secondary-section"",""usa-footer-contact-links"",""usa-footer-logo"",""usa-footer-nav"",""usa-footer-primary-content"",""usa-footer-primary-link"",""usa-footer-primary-section"",""usa-footer-return-to-top"",""usa-footer-secondary-link"",""usa-footer-secondary_section"",""usa-grid"",""usa-grid-full"",""usa-social-links"",""usa-sr-only"",""usa-unstyled-list"",""usa-width-one-half"",""usa-width-one-third"",""usa-width-one-whole"",""usa-width-two-thirds""]",False,35.0,0.0,20.0,,0.0,75.0
teopf.opm.gov,opm.gov,.gov,False,https://teopf.opm.gov/,opm.gov,gov,teopf.opm.gov,True,200.0,text/html,True,True,Office of Personnel Management,Office Of Personnel Management,Executive,False,"[""pulse""]",,2024-11-11T07:30:21.671Z,completed,completed,completed,completed,completed,completed,completed,completed,False,akamaitechnologies.com,,,,False,,False,,,,,,0.0,"["".opm.gov"","".teopf.opm.gov""]",False,0.080726530883789,109.0,,,True,True,eOPF - Electronic Official Personnel Folder,,,,,,,,,,,,,False,False,False,https://teopf.opm.gov/robots.txt,False,503.0,text/html,5216.0,,,False,False,https://teopf.opm.gov/sitemap.xml,False,503.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
www.fedscope.opm.gov,opm.gov,.gov,False,https://www.fedscope.opm.gov/,opm.gov,gov,www.fedscope.opm.gov,True,200.0,text/html,True,True,Office of Personnel Management,Office Of Personnel Management,Executive,True,"[""dap""]",,2024-11-11T07:30:24.130Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,True,,False,,,G-1QQK83MZ36,"[""ajax.googleapis.com"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""p.typekit.net"",""use.typekit.net"",""www.googletagmanager.com"",""www.opm.gov""]","[""https://ajax.googleapis.com/ajax/libs/jquery/3.6.3/jquery.min.js"",""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://fonts.googleapis.com/css"",""https://fonts.gstatic.com/s/merriweather/v30/u-4n0qyriQwlOrhSvowK_l52xwNZWMf6hPvhPQ.woff2"",""https://fonts.gstatic.com/s/sourcesanspro/v22/6xK3dSBYKcSV-LCoeQqfX1RYOo3qOK7lujVj9w.woff2"",""https://fonts.gstatic.com/s/sourcesanspro/v22/6xKydSBYKcSV-LCoeQqfX1RYOo3ig4vwlxdu3cOWxw.woff2"",""https://p.typekit.net/p.css"",""https://use.typekit.net/vgn7vpt.css"",""https://www.googletagmanager.com/gtag/js"",""https://www.googletagmanager.com/gtm.js"",""https://www.opm.gov/cdn/css/lib/colorbox/colorbox.css"",""https://www.opm.gov/cdn/css/responsive/global-medium.css"",""https://www.opm.gov/cdn/css/responsive/global-small.css"",""https://www.opm.gov/cdn/css/themes/opm-uswds/styles.css"",""https://www.opm.gov/cdn/fonts/public-sans/PublicSans-Bold.woff2"",""https://www.opm.gov/cdn/fonts/public-sans/PublicSans-Regular.woff2"",""https://www.opm.gov/cdn/img/close-white.svg"",""https://www.opm.gov/cdn/img/global/svg/angle-arrow-down-primary.svg"",""https://www.opm.gov/cdn/img/icon-dot-gov.svg"",""https://www.opm.gov/cdn/img/icon-https.svg"",""https://www.opm.gov/cdn/img/opm-uswds/house-chimney-solid.svg"",""https://www.opm.gov/cdn/img/opm-uswds/opm_logo.svg"",""https://www.opm.gov/cdn/img/opm-uswds/opm_logo_white.svg"",""https://www.opm.gov/cdn/img/us_flag_small.png"",""https://www.opm.gov/cdn/img/usa-icons/expand_more.svg"",""https://www.opm.gov/cdn/js/core/core.standard.libs.js"",""https://www.opm.gov/cdn/js/opm-uswds/core.standard.js"",""https://www.opm.gov/cdn/js/uswds.min.js"",""https://www.opm.gov/cdn/lib/font-awesome/6.2.0/css/all.min.css"",""https://www.opm.gov/cdn/lib/font-awesome/6.2.0/css/v5-font-face.min.css"",""https://www.opm.gov/control-panel/js/control-panel.js"",""https://www.opm.gov/css/print.css"",""https://www.opm.gov/css/search/search.css"",""https://www.opm.gov/img/global/Flag.gif"",""https://www.opm.gov/img/global/ico-search.png""]",8.0,"["".fedscope.opm.gov"","".opm.gov""]",False,0.2719037591959636,628.0,"[""about"",""fear"",""foia"",""inspector"",""privacy"",""usa.gov""]","[""accessibility"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",,,FedScope - Federal Workforce Data - OPM.gov,Welcome to opm.gov - FedScope - Federal Workforce Data,"OPM,Office of Personnel Management,opm.gov, FedScope",,,,,,,,,en,,True,False,False,https://www.fedscope.opm.gov/robots.txt,False,404.0,text/html,,,,False,False,https://www.fedscope.opm.gov/sitemap.xml,False,404.0,text/html,,,,20.0,0.0,40.0,1.0,"[""usa-accordion"",""usa-banner"",""usa-button"",""usa-footer"",""usa-header"",""usa-input"",""usa-layout-docs"",""usa-logo"",""usa-megamenu"",""usa-menu-btn"",""usa-nav"",""usa-navbar"",""usa-overlay"",""usa-prose"",""usa-search"",""usa-section"",""usa-skipnav"",""usa-sr-only""]",True,70.0,5.0,20.0,,0.0,156.0
navsea.usajobs.gov,usajobs.gov,.gov,True,https://navsea.usajobs.gov/search/results/,usajobs.gov,gov,navsea.usajobs.gov,True,200.0,text/html,True,True,Office of Personnel Management,OPM Human Resource Solutions,Executive,False,"[""dap"",""pulse"",""omb_idea""]",True,2024-11-11T07:30:54.577Z,completed,unknown_error,completed,completed,completed,completed,completed,completed,True,edgekey.net,,,,True,,False,,,,"[""eex-gateway.fr011.ttecfed.com"",""www.googletagmanager.com""]","[""https://eex-gateway.fr011.ttecfed.com/sites/usajobs-gov/production/gateway.min.js"",""https://www.googletagmanager.com/gtm.js""]",2.0,"["".usajobs.gov"",""navsea.usajobs.gov""]",True,0.4167924835205078,1185.299,"[""about"",""fear"",""inspector"",""privacy"",""usa.gov""]","[""about us"",""accessibility"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",True,True,USAJOBS - Search,,,USAJOBS—The federal government’s official employment site.,USAJOBS connects job seekers with federal employment opportunities across the United States and around the world. USAJOBS helps the right people find the right jobs.,,,https://www.usajobs.gov/media/content/usajobs-branded-search.png,,https://navsea.usajobs.gov,,en,,True,True,False,https://navsea.usajobs.gov/robots.txt,True,200.0,text/plain,150.0,,"[""https://www.usajobs.gov/sitemap.xml""]",False,True,https://navsea.usajobs.gov/search/results/,True,200.0,text/html,,,,20.0,0.0,0.0,0.0,"[""usa-accordion"",""usa-accordion-bordered"",""usa-accordion-button"",""usa-accordion-content"",""usa-alert"",""usa-alert-heading"",""usa-alert-text"",""usa-banner"",""usa-banner-header"",""usa-banner-inner"",""usa-button-big"",""usa-button-primary"",""usa-footer"",""usa-footer-big"",""usa-footer-big-secondary-section"",""usa-footer-contact-links"",""usa-footer-logo"",""usa-footer-nav"",""usa-footer-primary-content"",""usa-footer-primary-link"",""usa-footer-primary-section"",""usa-footer-return-to-top"",""usa-footer-secondary-link"",""usa-footer-secondary_section"",""usa-grid"",""usa-grid-full"",""usa-social-links"",""usa-sr-only"",""usa-unstyled-list"",""usa-width-one-half"",""usa-width-one-third"",""usa-width-one-whole"",""usa-width-two-thirds""]",False,40.0,0.0,20.0,,0.0,80.0
nswcdd.usajobs.gov,usajobs.gov,.gov,True,https://nswcdd.usajobs.gov/search/results/,usajobs.gov,gov,nswcdd.usajobs.gov,True,200.0,text/html,True,True,Office of Personnel Management,OPM Human Resource Solutions,Executive,False,"[""dap""]",,2024-11-11T01:43:09.709Z,completed,completed,completed,completed,completed,completed,completed,completed,True,edgekey.net,,,,True,,False,,,,"[""eex-gateway.fr011.ttecfed.com"",""www.googletagmanager.com""]","[""https://eex-gateway.fr011.ttecfed.com/sites/usajobs-gov/production/gateway.min.js"",""https://www.googletagmanager.com/gtm.js""]",2.0,"["".usajobs.gov"",""nswcdd.usajobs.gov""]",True,0.7775505818277995,341.799,"[""about"",""fear"",""inspector"",""privacy"",""usa.gov""]","[""about us"",""accessibility"",""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",True,True,USAJOBS - Search,,,USAJOBS—The federal government’s official employment site.,USAJOBS connects job seekers with federal employment opportunities across the United States and around the world. USAJOBS helps the right people find the right jobs.,,,https://www.usajobs.gov/media/content/usajobs-branded-search.png,,https://nswcdd.usajobs.gov,,en,,True,True,False,https://nswcdd.usajobs.gov/robots.txt,True,200.0,text/plain,150.0,,"[""https://www.usajobs.gov/sitemap.xml""]",False,True,https://nswcdd.usajobs.gov/search/results/,True,200.0,text/html,,,,20.0,0.0,0.0,0.0,"[""usa-accordion"",""usa-accordion-bordered"",""usa-accordion-button"",""usa-accordion-content"",""usa-alert"",""usa-alert-heading"",""usa-alert-text"",""usa-banner"",""usa-banner-header"",""usa-banner-inner"",""usa-button-big"",""usa-button-primary"",""usa-footer"",""usa-footer-big"",""usa-footer-big-secondary-section"",""usa-footer-contact-links"",""usa-footer-logo"",""usa-footer-nav"",""usa-footer-primary-content"",""usa-footer-primary-link"",""usa-footer-primary-section"",""usa-footer-return-to-top"",""usa-footer-secondary-link"",""usa-footer-secondary_section"",""usa-grid"",""usa-grid-full"",""usa-social-links"",""usa-sr-only"",""usa-unstyled-list"",""usa-width-one-half"",""usa-width-one-third"",""usa-width-one-whole"",""usa-width-two-thirds""]",False,40.0,0.0,20.0,,0.0,80.0
certdw.opm.gov,opm.gov,.gov,True,https://certdw.opm.gov/EHRIPortal/,opm.gov,gov,certdw.opm.gov,False,503.0,text/html,True,True,Office of Personnel Management,Office Of Personnel Management,Executive,False,"[""pulse""]",,2024-11-11T07:26:18.054Z,completed,completed,completed,completed,completed,completed,completed,completed,False,akamaitechnologies.com,,,,False,,False,,,,,,0.0,"["".certdw.opm.gov"","".opm.gov""]",False,0.0126875,827.0,,,True,True,EHRI Data Warehouse,,,,,,,,,,,en,,False,False,False,https://certdw.opm.gov/robots.txt,False,503.0,text/html,,,,False,False,https://certdw.opm.gov/sitemap.xml,False,503.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
mytreasury-occ.usajobs.gov,usajobs.gov,.gov,False,https://mytreasury-occ.usajobs.gov/,usajobs.gov,gov,mytreasury-occ.usajobs.gov,False,400.0,text/html,True,True,Office of Personnel Management,OPM Human Resource Solutions,Executive,False,"[""pulse""]",,2024-11-11T07:26:27.795Z,completed,completed,completed,completed,completed,completed,completed,completed,True,edgekey.net,,,,False,,False,,,,,,0.0,"["".usajobs.gov""]",False,0.0,151.7,,,True,True,Bad Request,,,,,,,,,,,,,False,False,False,https://mytreasury-occ.usajobs.gov/robots.txt,False,400.0,text/html,156.0,,"[""https://www.usajobs.gov/sitemap.xml""]",False,False,https://mytreasury-occ.usajobs.gov/sitemap.xml,False,400.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
narai.usajobs.gov,usajobs.gov,.gov,False,https://narai.usajobs.gov/,usajobs.gov,gov,narai.usajobs.gov,False,400.0,text/html,True,True,Office of Personnel Management,OPM Human Resource Solutions,Executive,False,"[""pulse"",""omb_idea""]",True,2024-11-11T10:45:34.192Z,completed,completed,completed,completed,completed,completed,completed,completed,True,edgekey.net,,,,False,,False,,,,,,0.0,"["".usajobs.gov""]",False,0.0,128.299,,,True,True,Bad Request,,,,,,,,,,,,,False,False,False,https://narai.usajobs.gov/robots.txt,False,400.0,text/html,156.0,,"[""https://www.usajobs.gov/sitemap.xml""]",False,False,https://narai.usajobs.gov/sitemap.xml,False,400.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
homepages.ucl.usajobs.gov,usajobs.gov,.gov,False,https://homepages.ucl.usajobs.gov/,usajobs.gov,gov,homepages.ucl.usajobs.gov,False,404.0,text/html,True,True,Office of Personnel Management,OPM Human Resource Solutions,Executive,True,"[""pulse""]",,2024-11-11T09:46:38.523Z,completed,completed,completed,completed,completed,completed,completed,completed,True,edgekey.net,,,,False,,False,,,,"[""azurefrontdoorpages.azureedge.net""]","[""https://azurefrontdoorpages.azureedge.net/pages/PageNotFound_files/UxFxErrorCss_8097D4DBB3B4874308CB3816C1762BED98637360.css"",""https://azurefrontdoorpages.azureedge.net/pages/PageNotFound_files/UxFxStableCssWesternEuropean_6724ABFCA058F28804A76FD40AD14C9D7A6031D9.css"",""https://azurefrontdoorpages.azureedge.net/pages/PageNotFound_files/chevron.svg"",""https://azurefrontdoorpages.azureedge.net/pages/PageNotFound_files/cloud_drop.svg""]",1.0,"["".ucl.usajobs.gov""]",False,0.0,508.5,,,False,True,Page not found,,,,,,,,,,,en,,False,False,False,https://homepages.ucl.usajobs.gov/robots.txt,False,404.0,text/html,156.0,,"[""https://www.usajobs.gov/sitemap.xml""]",False,False,https://homepages.ucl.usajobs.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
myssai.usajobs.gov,usajobs.gov,.gov,False,https://myssai.usajobs.gov/,usajobs.gov,gov,myssai.usajobs.gov,False,400.0,text/html,True,True,Office of Personnel Management,OPM Human Resource Solutions,Executive,False,"[""pulse""]",,2024-11-11T07:31:44.216Z,completed,completed,completed,completed,completed,completed,completed,completed,True,edgekey.net,,,,False,,False,,,,,,0.0,"["".usajobs.gov""]",False,0.0,171.5,,,True,True,Bad Request,,,,,,,,,,,,,False,False,False,https://myssai.usajobs.gov/robots.txt,False,400.0,text/html,156.0,,"[""https://www.usajobs.gov/sitemap.xml""]",False,False,https://myssai.usajobs.gov/sitemap.xml,False,400.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
