target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,scan_date,primary_scan_status,dns_scan_status,not_found_scan_status,robots_txt_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,cloud_dot_gov_pages,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,required_links_url,required_links_text,og_title,og_description,og_article_published,og_article_modified,canonical_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inline_css,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
securestage.rrb.gov,rrb.gov,gov,,,,,,,,,,,Railroad Retirement Board,Bureau of Information Services,Executive,,"[""dap""]",2024-02-03T07:38:50.831Z,dns_resolution_error,completed,unknown_error,dns_resolution_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rrbstage.rrb.gov,rrb.gov,gov,,,,,,,,,,,Railroad Retirement Board,Bureau of Information Services,Executive,,"[""dap""]",2024-02-03T05:05:39.742Z,dns_resolution_error,completed,unknown_error,dns_resolution_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
legallibrary.rrb.gov,rrb.gov,gov,,,,,,,,,,,Railroad Retirement Board,Bureau of Information Services,Executive,,"[""pulse""]",2024-02-03T07:13:11.441Z,dns_resolution_error,completed,unknown_error,dns_resolution_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hqsa01.rrb.gov,rrb.gov,gov,,,,,,,,,,,Railroad Retirement Board,Bureau of Information Services,Executive,,"[""pulse""]",2024-02-03T07:40:48.791Z,dns_resolution_error,completed,unknown_error,dns_resolution_error,dns_resolution_error,False,,,,,,,,,,,,"["".acmc.marines.mil"","".epa-bdcc.ornl.gov"","".google.com"","".marines.mil"","".nasa.gov"","".nist.gov"","".ornl.gov"","".pinterest.com"","".pnnl.gov"","".ready.gov"","".rsdo.gsfc.nasa.gov"","".samhsa.gov"","".store.pnnl.gov"","".www.acmc.marines.mil"","".www.nist.gov"","".youtube.com"",""6017546.global.siteimproveanalytics.io"",""6029428.global.siteimproveanalytics.io"",""accounts.google.com"",""epa-bdcc.ornl.gov"",""hqsa01.rrb.gov"",""www.acmc.marines.mil"",""www.ready.gov"",""www.samhsa.gov""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rrb.gov,rrb.gov,gov,False,https://rrb.gov/,rrb.gov,gov,rrb.gov,True,200.0,text/html,True,True,Railroad Retirement Board,Bureau of Information Services,Executive,True,"[""gov"",""dap"",""pulse""]",2024-02-03T07:30:15.463Z,completed,completed,completed,completed,completed,False,amazonaws.com,Drupal,False,,,True,,True,"{""agency"":""RRB"",""pua"":""0""}","[""cdn.gov.cfigroup.com"",""cdn.jsdelivr.net"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""www.google-analytics.com"",""www.googletagmanager.com""]",7.0,"["".rrb.gov"",""rrb.gov""]",True,"[""fear"",""foia"",""inspector"",""privacy"",""usa.gov""]","[""no fear act"",""foia"",""freedom of information act"",""inspector general"",""privacy policy"",""usa.gov""]",,,,,,False,True,False,https://rrb.gov/robots.txt,True,200.0,text/plain,1706.0,,,False,False,https://rrb.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
rrbprod.rrb.gov,rrb.gov,gov,,,,,,,,,,,Railroad Retirement Board,Bureau of Information Services,Executive,,"[""dap""]",2024-02-03T07:33:17.318Z,dns_resolution_error,completed,unknown_error,dns_resolution_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rrbtest.rrb.gov,rrb.gov,gov,,,,,,,,,,,Railroad Retirement Board,Bureau of Information Services,Executive,,"[""dap""]",2024-02-03T07:44:37.993Z,timeout,completed,unknown_error,timeout,timeout,False,amazonaws.com,,,,,,,,,,,"["".rrb.gov"","".rrbtest.rrb.gov"",""rrbtest.rrb.gov""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
securetest.rrb.gov,rrb.gov,gov,,,,,,,,,,,Railroad Retirement Board,Bureau of Information Services,Executive,,"[""dap""]",2024-02-03T07:38:50.606Z,dns_resolution_error,completed,unknown_error,dns_resolution_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
online.rrb.gov,rrb.gov,gov,,,,,,,,,,,Railroad Retirement Board,Bureau of Information Services,Executive,,"[""pulse""]",2024-02-03T07:39:12.113Z,dns_resolution_error,completed,unknown_error,dns_resolution_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.rrb.gov,rrb.gov,gov,False,https://www.rrb.gov/,rrb.gov,gov,www.rrb.gov,True,200.0,text/html,True,True,Railroad Retirement Board,Bureau of Information Services,Executive,True,"[""gov""]",2024-02-03T02:56:50.434Z,completed,completed,completed,completed,completed,True,amazonaws.com,Drupal,False,,,True,,True,"{""agency"":""RRB"",""pua"":""0""}","[""cdn.gov.cfigroup.com"",""cdn.jsdelivr.net"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""www.google-analytics.com"",""www.googletagmanager.com""]",7.0,"["".rrb.gov"",""www.rrb.gov""]",True,"[""fear"",""foia"",""inspector"",""privacy"",""usa.gov""]","[""no fear act"",""foia"",""freedom of information act"",""inspector general"",""privacy policy"",""usa.gov""]",,,,,,False,True,False,https://www.rrb.gov/robots.txt,True,200.0,text/plain,1706.0,,,False,False,https://www.rrb.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
