target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
metdataa.tva.gov,tva.gov,.gov,,,,,,,,,,,Tennessee Valley Authority,TVA IT,Executive,,"[""pulse""]",,2024-07-12T15:44:21.607Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass.tva.gov,tva.gov,.gov,,,,,,,,,,,Tennessee Valley Authority,TVA IT,Executive,,"[""pulse""]",,2024-07-12T18:29:13.703Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
automation.tva.gov,tva.gov,.gov,False,https://login.microsoftonline.com/270992cd-9003-4971-84de-d1640c0bffc5/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=798C0C915EAEDE6A9B493FE6C1DD3A6967A4D71723383180%2DF69AF066C5A4A0507E949BA135EED0825C2650DC7447B3C8500068CD33196BD9&redirect%5Furi=https%3A%2F%2Ftvacloud%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=c09e3ba1%2D108b%2D6000%2D0fdd%2D665ef312a238&sso_reload=true,microsoftonline.com,com,login.microsoftonline.com,True,200.0,text/html,False,False,Tennessee Valley Authority,TVA IT,Executive,False,"[""omb_idea""]",False,2024-07-12T16:21:06.543Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,,,,,False,,False,,"[""aadcdn.msauth.net"",""aadcdn.msftauth.net"",""aadcdn.msftauthimages.net"",""autologon.microsoftazuread-sso.com"",""dakg4cmpuclai.cloudfront.net"",""login.live.com""]",6.0,"["".login.microsoftonline.com"",""login.microsoftonline.com""]",True,0.064586890625,959.9,"[""privacy""]",,,,Sign in to your account,,,,,,,,,,,en,,False,False,True,https://login.microsoftonline.com/270992cd-9003-4971-84de-d1640c0bffc5/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=06B34386BA070D70E647CA5DF369E988932742A5BE821B99%2D162B69EBA6C3A2E4F5EF3444223E00E0FEE2A5E1461CB96AE52B77DAE63C509F&redirect%5Furi=https%3A%2F%2Ftvacloud%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=c29e3ba1%2Da080%2D5000%2Deaab%2Dc6b17cf61c95,True,200.0,text/html,,,,False,True,https://login.microsoftonline.com/270992cd-9003-4971-84de-d1640c0bffc5/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=EDF5058EA040E87C1868B3EA30A2086E41D92E86312D4648%2D706D03E7F7EDACE313493ADBD6798DF855BFF2C26737BD2E03B6FD2D4E437A28&redirect%5Furi=https%3A%2F%2Ftvacloud%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=c39e3ba1%2Df0a9%2D6000%2D0fdd%2D6103c8e6857b,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
cfp.tva.gov,tva.gov,.gov,False,https://login.microsoftonline.com/270992cd-9003-4971-84de-d1640c0bffc5/oauth2/v2.0/authorize?client_id=a81833f1-fd18-490b-8598-60cd7b6b0382&scope=https%3A%2F%2Fgov.service.powerapps.us%2F%2F.default%20openid%20profile%20offline_access&redirect_uri=https%3A%2F%2Fapps.gov.powerapps.us%2Fauth%2Fv2&client-request-id=d16f3b21-9444-4732-ae59-c3d1062198c6&response_mode=fragment&response_type=code&x-client-SKU=msal.js.browser&x-client-VER=2.18.0&x-client-OS=&x-client-CPU=&client_info=1&code_challenge=8DzvgMUnc3OvGz9pcMctJY3zf8-2s3kZVyIo1a4n0ho&code_challenge_method=S256&nonce=83aa704e-8d44-4670-aba3-b2c3de6fb629&state=eyJpZCI6IjhjMWNkY2ZlLTcxZjYtNGYxYS1iYzZkLWUyOWQ2MGY3ZGVlOSIsIm1ldGEiOnsiaW50ZXJhY3Rpb25UeXBlIjoicmVkaXJlY3QifX0%3D&sso_reload=true,microsoftonline.com,com,login.microsoftonline.com,True,200.0,text/html,False,False,Tennessee Valley Authority,TVA IT,Executive,False,"[""omb_idea""]",False,2024-07-12T16:21:26.179Z,completed,page_frame_not_ready,completed,completed,completed,completed,unknown_error,completed,True,,,,,False,,False,,"[""aadcdn.msauth.net"",""aadcdn.msauthimages.net"",""aadcdn.msftauth.net"",""apps.gov.powerapps.us"",""autologon.microsoftazuread-sso.com"",""dakg4cmpuclai.cloudfront.net"",""gov.content.powerapps.us"",""login.live.com"",""tb.pipe.aria.microsoft.com""]",9.0,"["".login.microsoftonline.com"",""login.microsoftonline.com""]",True,0.064586890625,532.5,"[""privacy""]",,,,Sign in to your account,,,,,,,,,,,en,,False,False,False,https://login.microsoftonline.com/270992cd-9003-4971-84de-d1640c0bffc5/oauth2/v2.0/authorize?client_id=a81833f1-fd18-490b-8598-60cd7b6b0382&scope=https%3A%2F%2Fgov.service.powerapps.us%2F%2F.default%20openid%20profile%20offline_access&redirect_uri=https%3A%2F%2Fapps.gov.powerapps.us%2Fauth%2Fv2&client-request-id=f6f1e853-d497-4db9-b199-43074e4cc72f&response_mode=fragment&response_type=code&x-client-SKU=msal.js.browser&x-client-VER=2.18.0&x-client-OS=&x-client-CPU=&client_info=1&code_challenge=fVQW8_X2l0iGqZAG2Z1edAW2r8Xe0glEGh7WoCx5X0U&code_challenge_method=S256&nonce=0039dde1-3f1c-4c9d-8633-20bd505c31cb&state=eyJpZCI6Ijg5NTkyMjNkLWUwODEtNGViMS05MjllLThiZjQ2NzlhY2I0OCIsIm1ldGEiOnsiaW50ZXJhY3Rpb25UeXBlIjoicmVkaXJlY3QifX0%3D,True,200.0,text/html,,,,False,False,https://login.microsoftonline.com/270992cd-9003-4971-84de-d1640c0bffc5/oauth2/v2.0/authorize?client_id=a81833f1-fd18-490b-8598-60cd7b6b0382&scope=https%3A%2F%2Fgov.service.powerapps.us%2F%2F.default%20openid%20profile%20offline_access&redirect_uri=https%3A%2F%2Fapps.gov.powerapps.us%2Fauth%2Fv2&client-request-id=1e6c8fbb-0a16-4dc8-9a34-5df2ed47b8c8&response_mode=fragment&response_type=code&x-client-SKU=msal.js.browser&x-client-VER=2.18.0&x-client-OS=&x-client-CPU=&client_info=1&code_challenge=Z4rvYEWn6uVdAyTj3oDXT_ssNDpB7_x_NdyZ5mYhr-U&code_challenge_method=S256&nonce=9fec26ab-8b7c-4b67-8353-575e7b892ea5&state=eyJpZCI6IjNmYmQyOTNkLWZhOGEtNGViZi05NTFhLWRkNjcxM2JiMTExMCIsIm1ldGEiOnsiaW50ZXJhY3Rpb25UeXBlIjoicmVkaXJlY3QifX0%3D,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
agile.tva.gov,tva.gov,.gov,False,https://login.microsoftonline.com/270992cd-9003-4971-84de-d1640c0bffc5/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=01D9483B73F842E0F76A46E319478215B7D699CC981DC701%2DAD7B3857D296F530D380B6AC92AB19D0BECCFE8F9FF792CB4F75670935F08134&redirect%5Furi=https%3A%2F%2Ftvacloud%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=d19e3ba1%2D900d%2D6000%2D0fdd%2D6d002b9a7c91&sso_reload=true,microsoftonline.com,com,login.microsoftonline.com,True,200.0,text/html,False,False,Tennessee Valley Authority,TVA IT,Executive,False,"[""omb_idea""]",False,2024-07-12T16:22:02.528Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,,,,,False,,False,,"[""aadcdn.msauth.net"",""aadcdn.msftauth.net"",""aadcdn.msftauthimages.net"",""autologon.microsoftazuread-sso.com"",""dakg4cmpuclai.cloudfront.net"",""login.live.com""]",6.0,"["".login.microsoftonline.com"",""login.microsoftonline.com""]",True,0.064586890625,853.7,"[""privacy""]",,,,Sign in to your account,,,,,,,,,,,en,,False,False,True,https://login.microsoftonline.com/270992cd-9003-4971-84de-d1640c0bffc5/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=95C1DC08AA098601D828786343B2C57D72055A4F0D5D024D%2D4DF054770F3E6524D7134A4CEE9EE40BD2D28BE7749FC77DCF8BEAB776D2CAE5&redirect%5Furi=https%3A%2F%2Ftvacloud%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=d19e3ba1%2D50b9%2D6000%2D02ed%2D38e986dc6649,True,200.0,text/html,,,,False,True,https://login.microsoftonline.com/270992cd-9003-4971-84de-d1640c0bffc5/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=6F5C7D04E37873953F532243511EE936FB55BAD0C566384F%2D0DDD9D84DA31E1B1631ED0A3D0C11A4172677CB31C434903A0AADCC8EFF036E8&redirect%5Furi=https%3A%2F%2Ftvacloud%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=d29e3ba1%2D403f%2D6000%2D0fdd%2D6ed0c5c04f2f,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
eama.tva.gov,tva.gov,.gov,True,https://unavailable.tva.gov/,tva.gov,gov,unavailable.tva.gov,True,200.0,text/html,True,False,Tennessee Valley Authority,TVA IT,Executive,False,"[""omb_idea""]",False,2024-07-12T16:22:23.779Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,,,,,False,,False,,"[""cloudflareinsights.com"",""static.cloudflareinsights.com""]",2.0,"["".tva.gov""]",False,0.0,0.0,,,,,,,,,,,,,,,,en,,False,False,True,https://unavailable.tva.gov/,True,200.0,text/html,,,,False,True,https://unavailable.tva.gov/,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
techtraining.tva.gov,tva.gov,.gov,False,https://login.microsoftonline.com/270992cd-9003-4971-84de-d1640c0bffc5/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=FE44FA4CD868A7E140B23D672385E1B136B76386E9AA418B%2DA193A60DF940E88E3CC71C596E243992290665F2C20929F9C51D4BB1F39F64BC&redirect%5Furi=https%3A%2F%2Ftvacloud%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=c8a23ba1%2D2094%2D5000%2Deaab%2Dc20775dc6e0c&sso_reload=true,microsoftonline.com,com,login.microsoftonline.com,True,200.0,text/html,False,False,Tennessee Valley Authority,TVA IT,Executive,False,"[""omb_idea""]",False,2024-07-12T17:31:22.980Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,,,,,False,,False,,"[""aadcdn.msauth.net"",""aadcdn.msftauth.net"",""aadcdn.msftauthimages.net"",""autologon.microsoftazuread-sso.com"",""dakg4cmpuclai.cloudfront.net"",""login.live.com""]",6.0,"["".login.microsoftonline.com"",""login.microsoftonline.com""]",True,0.073580390625,893.0,"[""privacy""]",,,,Sign in to your account,,,,,,,,,,,en,,False,False,True,https://login.microsoftonline.com/270992cd-9003-4971-84de-d1640c0bffc5/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=88F66F9859DE70E6CB9778C3354E6C8FD1BB1CA99CFDE0E8%2DB4313FA7209CCF2F5E431B7A297A8F178CA2A10E8DC04F0FF4252267CCBBF2D3&redirect%5Furi=https%3A%2F%2Ftvacloud%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=c9a23ba1%2D804e%2D5000%2Deaab%2Dc67879d2714c,True,200.0,text/html,,,,False,True,https://login.microsoftonline.com/270992cd-9003-4971-84de-d1640c0bffc5/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=D1F76945418D4694299CD9C0B1A6B4C30E022C8BE0D10264%2D7FEF99104BE6E77E542632122356F8FFBA68B1441ACB1558F8F2F4CA44A39ED5&redirect%5Furi=https%3A%2F%2Ftvacloud%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=c9a23ba1%2D20e3%2D5000%2Deaab%2Dc5c326d8e3a5,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
join.tvaoig.gov,tvaoig.gov,.gov,,,,,,,,,,,Tennessee Valley Authority,Tennessee Valley Authority Office of Inspector General,Executive,,"[""pulse""]",,2024-07-12T20:11:59.056Z,timeout,timeout,completed,timeout,timeout,timeout,completed,timeout,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partner.tva.gov,tva.gov,.gov,True,https://www.tva.com/,tva.com,com,www.tva.com,False,403.0,text/html,False,False,Tennessee Valley Authority,TVA IT,Executive,False,"[""omb_idea""]",False,2024-07-12T16:43:30.032Z,completed,completed,completed,completed,timeout,completed,unknown_error,completed,True,,,,,False,,False,,"[""challenges.cloudflare.com""]",1.0,"["".tva.com"","".www.tva.com""]",True,,,,,,,Just a moment...,,,,,,,,,,,en-US,,False,False,False,https://partner.tva.gov/robots.txt,False,520.0,text/html,,,,False,False,https://partner.tva.gov/sitemap.xml,False,520.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
coo.tva.gov,tva.gov,.gov,False,https://login.microsoftonline.com/270992cd-9003-4971-84de-d1640c0bffc5/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=8A4F1F73E636CC0A84E5041F965EB331C1C60B0B3BE1DB90%2D463C7862025807DFBC189443F94F54834A369A0ED8D2B575C28E4EB0FF28BAB9&redirect%5Furi=https%3A%2F%2Ftvacloud%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=0a9f3ba1%2D50e9%2D6000%2D0fdd%2D6b1b20bfd585&sso_reload=true,microsoftonline.com,com,login.microsoftonline.com,True,200.0,text/html,False,False,Tennessee Valley Authority,TVA IT,Executive,False,"[""omb_idea""]",False,2024-07-12T16:26:00.397Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,,,,,False,,False,,"[""aadcdn.msauth.net"",""aadcdn.msauthimages.net"",""autologon.microsoftazuread-sso.com"",""dakg4cmpuclai.cloudfront.net"",""login.live.com""]",5.0,"["".login.microsoftonline.com"",""login.microsoftonline.com""]",True,0.064586890625,1071.0,"[""privacy""]",,,,Sign in to your account,,,,,,,,,,,en,,False,False,True,https://login.microsoftonline.com/270992cd-9003-4971-84de-d1640c0bffc5/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=D9A74D01BA70FA2DFFE1371176B83E5B21FFB37C21D4F591%2D4433F58EE20CD3B33326DB6773A3AC1EC78362E21C3884B853820AF4D5135C79&redirect%5Furi=https%3A%2F%2Ftvacloud%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=0b9f3ba1%2D2099%2D6000%2D0fdd%2D68f77866e823,True,200.0,text/html,,,,False,True,https://login.microsoftonline.com/270992cd-9003-4971-84de-d1640c0bffc5/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=1A4D97C59A296AA005293064A284CE2C67EA85F0D69D4796%2D03345F7F6D7CA1010F0ACD1C01056E80BD23439AAA32E8C181A0539019A9024A&redirect%5Furi=https%3A%2F%2Ftvacloud%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=0c9f3ba1%2Dd023%2D6000%2D0fdd%2D6b1480700f0f,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
