target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,dap_version,ga_tag_id,third_party_service_domains,third_party_service_urls,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
veterans.house.gov,house.gov,.gov,False,https://veterans.house.gov/,house.gov,gov,veterans.house.gov,True,200.0,text/html,True,True,The Legislative Branch,US House of Representatives,Legislative,True,"[""2020_eot""]",,2024-10-30T00:36:00.509Z,completed,timeout,completed,completed,completed,completed,completed,completed,True,akamaitechnologies.com,,,,True,,False,,,"G-CWT12BWHF8,G-small,G-S1MDFL4PTL","[""abs-0.twimg.com"",""abs.twimg.com"",""ajax.googleapis.com"",""connect.facebook.net"",""fonts.googleapis.com"",""fonts.gstatic.com"",""pbs.twimg.com"",""platform.twitter.com"",""scontent-sea1-1.xx.fbcdn.net"",""static.xx.fbcdn.net"",""syndication.twitter.com"",""www.facebook.com"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.instagram.com""]","[""https://abs-0.twimg.com/emoji/v2/svg/1f1fa-1f1f8.svg"",""https://abs-0.twimg.com/emoji/v2/svg/1f49c.svg"",""https://abs-0.twimg.com/emoji/v2/svg/1f4aa.svg"",""https://abs-0.twimg.com/emoji/v2/svg/2705.svg"",""https://abs-0.twimg.com/emoji/v2/svg/2764.svg"",""https://abs-0.twimg.com/emoji/v2/svg/2b07.svg"",""https://abs.twimg.com/sticky/animations/like.4.json"",""https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js"",""https://connect.facebook.net/en_US/sdk.js"",""https://fonts.googleapis.com/css2"",""https://fonts.gstatic.com/s/montserrat/v26/JTUSjIg1_i6t8kCHKm459WlhyyTh89Y.woff2"",""https://fonts.gstatic.com/s/opensans/v40/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTS-mu0SC55I.woff2"",""https://pbs.twimg.com/amplify_video_thumb/1834220915707490305/img/grycWQmK-5UaES9D.jpg"",""https://pbs.twimg.com/amplify_video_thumb/1850972630884511744/img/fGH4Djfng2CSGC02.jpg"",""https://pbs.twimg.com/ext_tw_video_thumb/1848373265950978049/pu/img/g-CZ-M7xpEV-v-Na.jpg"",""https://pbs.twimg.com/media/GZoVws5WIAwOwx2"",""https://pbs.twimg.com/media/GZoVws6XQAkkh-q"",""https://pbs.twimg.com/media/GZooTgmWIAYjHW9"",""https://pbs.twimg.com/media/Ga10r4CXsAAC7uf"",""https://pbs.twimg.com/media/Ga14DfTXUAMULcC"",""https://pbs.twimg.com/media/Ga14DiIWoAA8hZu"",""https://pbs.twimg.com/media/Ga14DjRWoAIIa85"",""https://pbs.twimg.com/media/Ga7HxLuWgAAWDSv"",""https://pbs.twimg.com/media/Ga7HxM3XAAAsNWz"",""https://pbs.twimg.com/media/Ga7HxRuW0AAAfj7"",""https://pbs.twimg.com/media/GaWG562W4AABhKT.jpg"",""https://pbs.twimg.com/media/GaWOyf0XIAAVXEH"",""https://pbs.twimg.com/media/GaWOyf1XgAALgg2"",""https://pbs.twimg.com/media/Ga_WnYBWUAEqK1e"",""https://pbs.twimg.com/media/Ga_WnYBXoAAbj2K"",""https://pbs.twimg.com/media/Ga_WnYCXYAE9Vow"",""https://pbs.twimg.com/media/Ga_WnYvaYAAS6P5"",""https://pbs.twimg.com/media/GablZVkWIAA6yKo"",""https://pbs.twimg.com/media/GacCLiBXkAAfgxa"",""https://pbs.twimg.com/media/GacCLiDXwAAomP8"",""https://pbs.twimg.com/media/GacCLiEWAAA2_my"",""https://pbs.twimg.com/media/GacCLiGWYAAVLpd"",""cross/RUzKC0zYHCF.css""]",15.0,"["".house.gov"","".veterans.house.gov"",""veterans.house.gov""]",True,0.495865625,1076.0,"[""about""]","[""accessibility""]",True,True,House Committee on Veterans' Affairs,,,House Committee on Veterans' Affairs,The House Committee on Veterans' Affairs is the authorizing committee for the Department of Veterans Affairs (VA).,,,https://veterans.house.gov/images/facebook-meta-23.jpg,,,,en,,True,True,False,https://veterans.house.gov/robots.txt,True,200.0,text/plain,221.0,,,False,False,https://veterans.house.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
biggs.house.gov,house.gov,.gov,,,,,,,,,,,The Legislative Branch,US House of Representatives,Legislative,True,"[""2020_eot""]",,2024-10-30T08:43:33.146Z,timeout,unknown_error,completed,completed,timeout,completed,unknown_error,completed,True,akamaitechnologies.com,,,,,,,,,"G-943T056V59,G-gyQIzX7a0Egh3jd",,,,"["".biggs.house.gov""]",,,,,,,,Congressman Andy Biggs |,,,,,,,,,,,,,,False,False,https://biggs.house.gov/robots.txt,False,403.0,text/html,,,,False,False,https://biggs.house.gov/sitemap.xml,False,404.0,text/html,,,,,,,,,,,,,,,
spanberger.house.gov,house.gov,.gov,False,https://spanberger.house.gov/,house.gov,gov,spanberger.house.gov,True,200.0,text/html,True,True,The Legislative Branch,US House of Representatives,Legislative,True,"[""2020_eot""]",,2024-10-30T02:10:13.187Z,completed,completed,completed,completed,completed,completed,unknown_error,timeout,True,akamaitechnologies.com,,,,False,,False,,,G-QS2GFT38G5,"[""d12t4t5x3vyizu.cloudfront.net"",""fonts.googleapis.com"",""fonts.gstatic.com"",""googleads.g.doubleclick.net"",""sessions.bugsnag.com"",""www.google.com"",""www.googletagmanager.com""]","[""https://d12t4t5x3vyizu.cloudfront.net/spanberger.house.gov/uploads/2021/09/abe.svg"",""https://d12t4t5x3vyizu.cloudfront.net/spanberger.house.gov/uploads/2021/09/calendar.jpeg"",""https://d12t4t5x3vyizu.cloudfront.net/spanberger.house.gov/uploads/2021/09/column.svg"",""https://d12t4t5x3vyizu.cloudfront.net/spanberger.house.gov/uploads/2021/09/money.jpeg"",""https://d12t4t5x3vyizu.cloudfront.net/spanberger.house.gov/uploads/2021/09/schedule.svg"",""https://d12t4t5x3vyizu.cloudfront.net/spanberger.house.gov/uploads/2021/09/us_house_of_reps_seal.svg"",""https://d12t4t5x3vyizu.cloudfront.net/spanberger.house.gov/uploads/2021/10/3-22-Defense-Supply-Center-Richmond-2.jpg"",""https://d12t4t5x3vyizu.cloudfront.net/spanberger.house.gov/uploads/2021/10/IMG_2256.jpg"",""https://d12t4t5x3vyizu.cloudfront.net/spanberger.house.gov/uploads/2021/10/IMG_2953.jpg"",""https://d12t4t5x3vyizu.cloudfront.net/spanberger.house.gov/uploads/2021/10/app-chiclet-300x81-1.jpeg"",""https://d12t4t5x3vyizu.cloudfront.net/spanberger.house.gov/uploads/2021/10/icon.jpg"",""https://d12t4t5x3vyizu.cloudfront.net/spanberger.house.gov/uploads/2021/10/issues-economy-and-jobs.jpg"",""https://d12t4t5x3vyizu.cloudfront.net/spanberger.house.gov/uploads/2021/12/Spanberger-logo.svg"",""https://d12t4t5x3vyizu.cloudfront.net/spanberger.house.gov/uploads/2022/01/Onboarding-1.jpg"",""https://d12t4t5x3vyizu.cloudfront.net/spanberger.house.gov/uploads/2022/05/Homepage-3.jpg"",""https://d12t4t5x3vyizu.cloudfront.net/spanberger.house.gov/uploads/2022/12/Screen-Shot-2022-12-16-at-10.02.18-AM.png"",""https://d12t4t5x3vyizu.cloudfront.net/spanberger.house.gov/uploads/2023/01/Screenshot-2023-01-31-at-10.46.28-AM-e1675180724184.png"",""https://d12t4t5x3vyizu.cloudfront.net/spanberger.house.gov/uploads/2023/11/image.png"",""https://d12t4t5x3vyizu.cloudfront.net/spanberger.house.gov/uploads/2024/03/2024-03-12_NP_0378-scaled.jpg"",""https://d12t4t5x3vyizu.cloudfront.net/spanberger.house.gov/uploads/2024/10/IMG_4013.jpg"",""https://fonts.googleapis.com/css""]",7.0,"["".spanberger.house.gov""]",True,0.0027471822916666,247.9,"[""privacy""]","[""accessibility""]",,,Home - Abigail Spanberger,,,Home - Abigail Spanberger,,,,,,https://spanberger.house.gov/home,,en,,True,True,False,https://spanberger.house.gov/robots.txt,True,200.0,text/plaintext,127.0,,"[""https://spanberger.house.gov/sitemap.xml""]",,,,,,,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
lipinski.house.gov,house.gov,.gov,,,,,,,,,,,The Legislative Branch,US House of Representatives,Legislative,,"[""2020_eot""]",,2024-10-30T06:38:21.358Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finkenauer.house.gov,house.gov,.gov,,,,,,,,,,,The Legislative Branch,US House of Representatives,Legislative,,"[""2020_eot""]",,2024-10-30T08:54:23.261Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,unknown_error,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lamborn.house.gov,house.gov,.gov,False,https://lamborn.house.gov/,house.gov,gov,lamborn.house.gov,True,200.0,text/html,True,True,The Legislative Branch,US House of Representatives,Legislative,True,"[""2020_eot""]",,2024-10-30T06:48:05.142Z,completed,timeout,completed,completed,timeout,completed,completed,completed,True,akamaitechnologies.com,Drupal,,,True,,False,,,"G-TZEB4SMLWY,G-4DJ3VETFQ8","[""api2.hcaptcha.com"",""cdnjs.cloudflare.com"",""connect.facebook.net"",""external-sea1-1.xx.fbcdn.net"",""fonts.gstatic.com"",""googleads.g.doubleclick.net"",""hcaptcha.com"",""i.ytimg.com"",""jnn-pa.googleapis.com"",""maxst.icons8.com"",""newassets.hcaptcha.com"",""play.google.com"",""scontent-sea1-1.xx.fbcdn.net"",""static.doubleclick.net"",""static.xx.fbcdn.net"",""www.facebook.com"",""www.google.com"",""www.googletagmanager.com"",""www.gstatic.com"",""www.youtube.com"",""yt3.ggpht.com""]","[""https://api2.hcaptcha.com/checksiteconfig"",""https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css"",""https://connect.facebook.net/en_US/sdk.js"",""https://external-sea1-1.xx.fbcdn.net/emg1/v/t13/10470605684335274662"",""https://external-sea1-1.xx.fbcdn.net/emg1/v/t13/16802232538175403534"",""https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4AMP6lQ.woff2"",""https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxKKTU1Kg.woff2"",""https://googleads.g.doubleclick.net/pagead/id"",""https://hcaptcha.com/1/api.js"",""https://i.ytimg.com/vi/y8KkF_HAMrw/sddefault.jpg"",""https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/Create"",""https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/GenerateIT"",""https://maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css"",""https://maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/fonts/la-brands-400.woff2"",""https://newassets.hcaptcha.com/c/0d69d1a359119bd0e2c5ca7f11f300ac050517fd19b612f86c0c75a2b0b39cbe/hsw.js"",""https://play.google.com/log"",""https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/322710260_1903670493330824_1541847496749450389_n.jpg"",""https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/415004031_893609472152239_288495788727691301_n.jpg"",""https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/415914791_892032175643302_986225984006955873_n.jpg"",""https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/425919855_910578567121996_1419301031930492551_n.jpg"",""https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/425937230_910578557121997_7352287714727265526_n.jpg"",""https://static.doubleclick.net/instream/ad_status.js"",""https://static.xx.fbcdn.net/rsrc.php/v3/y3/r/Vvet8_5H-wT.js"",""https://static.xx.fbcdn.net/rsrc.php/v3/y6/r/6a0tO5GYL5B.js"",""https://static.xx.fbcdn.net/rsrc.php/v3/y8/r/m5WIH4zGOsj.js"",""https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/ie38mp0O07P.js"",""https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/9V5OpGvJZGB.png"",""cross/RUzKC0zYHCF.css""]",21.0,"["".house.gov"","".lamborn.house.gov""]",True,,,"[""about"",""privacy""]","[""accessibility""]",True,False,Congressman Doug Lamborn |Representing the 5th District of Colorado,Representing the 5th District of Colorado,,Congressman Doug Lamborn,,,,https://lamborn.house.gov/profiles/evo/assets/images/Seal_of_the_United_States_House_of_Representatives.png,website,http://lamborn.house.gov/home,http://lamborn.house.gov/,en,,True,False,False,https://lamborn.house.gov/robots.txt,False,403.0,text/html,,,,False,False,https://lamborn.house.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
dpcc.house.gov,house.gov,.gov,False,https://dpcc.house.gov/,house.gov,gov,dpcc.house.gov,True,200.0,text/html,True,True,The Legislative Branch,US House of Representatives,Legislative,True,"[""2020_eot""]",,2024-10-30T06:23:55.127Z,completed,unknown_error,completed,completed,timeout,completed,completed,completed,True,akamaitechnologies.com,Drupal,,,True,,False,,,,"[""abs-0.twimg.com"",""abs.twimg.com"",""fonts.googleapis.com"",""fonts.gstatic.com"",""pbs.twimg.com"",""platform.twitter.com"",""syndication.twitter.com"",""www.instagram.com""]","[""https://abs-0.twimg.com/emoji/v2/svg/1f499.svg"",""https://abs-0.twimg.com/emoji/v2/svg/1f4aa.svg"",""https://abs-0.twimg.com/emoji/v2/svg/1f6a8.svg"",""https://abs-0.twimg.com/emoji/v2/svg/2705.svg"",""https://abs.twimg.com/sticky/animations/like.4.json"",""https://fonts.googleapis.com/css2"",""https://fonts.gstatic.com/s/lora/v35/0QI6MX1D_JOuGQbT0gvTJPa787z5vBJBkqt8ndeYxZ0.woff"",""https://fonts.gstatic.com/s/montserrat/v26/JTUHjIg1_i6t8kCHKm4532VJOt5-QNFgpCtr6Hw5aXx-p7K4KLg.woff"",""https://fonts.gstatic.com/s/montserrat/v26/JTUHjIg1_i6t8kCHKm4532VJOt5-QNFgpCu173w5aXx-p7K4KLg.woff"",""https://pbs.twimg.com/amplify_video_thumb/1815744424887857152/img/phAlZs1EBlWjLh2W.jpg"",""https://pbs.twimg.com/amplify_video_thumb/1833895420344389632/img/yzZe292q-N7Tgjfa.jpg"",""https://pbs.twimg.com/media/GP0xVTkWUAAA9Mn"",""https://pbs.twimg.com/media/GRA0pXCXMAUboi6"",""https://pbs.twimg.com/media/GRFjec_WcAEfQiW.jpg"",""https://pbs.twimg.com/media/GSIZy5xWUAE6vQt"",""https://pbs.twimg.com/media/GXH3kz7XQAA1BFI.jpg"",""https://pbs.twimg.com/media/GXr9HFGXsAIDfBS"",""https://pbs.twimg.com/media/GY4_BlAWEAA8qlk.jpg"",""https://pbs.twimg.com/media/GYK3pV9X0AEEFUr"",""https://pbs.twimg.com/media/Ga--PHRXAAAev0a"",""https://pbs.twimg.com/media/Ga-8KEDWMAAdPpW"",""https://pbs.twimg.com/media/Ga_PiizXUAAHE4o"",""https://pbs.twimg.com/media/Ga_WskCX0AA5_4r"",""https://pbs.twimg.com/media/GabNHLRWAAAlngV"",""https://pbs.twimg.com/media/GacYatNWIAAEm-r"",""https://pbs.twimg.com/media/GacYbSIXsAEqQUs"",""https://pbs.twimg.com/media/GacYbz3WwAAsTpl"",""https://pbs.twimg.com/media/Gafp6K2WkAAB42u"",""https://pbs.twimg.com/profile_images/1096422273437831168/b9lioe1R_normal.png"",""https://pbs.twimg.com/profile_images/1184144961215840256/4YG5c1Yf_normal.jpg"",""https://pbs.twimg.com/profile_images/1351973559481094148/77_khClK_normal.jpg"",""https://pbs.twimg.com/profile_images/1470758921426157573/femaCo6L_normal.jpg"",""https://pbs.twimg.com/profile_images/1553032233799360512/E1Y69xeF_normal.jpg"",""https://platform.twitter.com/widgets.js""]",8.0,,True,,,"[""about"",""privacy""]","[""accessibility""]",True,False,House Democratic Policy and Communications Committee |,,,House Democratic Policy and Communications Committee,,,,https://dpcc.house.gov/profiles/evo/assets/images/Seal_of_the_United_States_House_of_Representatives.png,website,http://dpcc.house.gov/home,http://dpcc.house.gov/,en,,True,False,False,https://dpcc.house.gov/robots.txt,False,403.0,text/html,,,,False,False,https://dpcc.house.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
oce.house.gov,house.gov,.gov,False,https://oce.house.gov/,house.gov,gov,oce.house.gov,True,200.0,text/html,True,True,The Legislative Branch,US House of Representatives,Legislative,False,"[""2020_eot""]",,2024-10-30T00:46:09.563Z,completed,completed,completed,completed,completed,completed,completed,completed,True,akamaitechnologies.com,Drupal,,,True,,False,,,,"[""api2.hcaptcha.com"",""fonts.googleapis.com"",""fonts.gstatic.com"",""hcaptcha.com"",""ka-f.fontawesome.com"",""kit.fontawesome.com"",""newassets.hcaptcha.com"",""use.fontawesome.com"",""www.googletagmanager.com""]","[""https://api2.hcaptcha.com/checksiteconfig"",""https://fonts.googleapis.com/css2"",""https://fonts.gstatic.com/s/opensans/v40/memSYaGs126MiZpBA-UvWbX2vVnXBbObj2OVZyOOSr4dVJWUgsjZ0B4gaVQUwaEQbjA.woff"",""https://fonts.gstatic.com/s/ptsans/v17/jizfRExUiTo99u79B_mh0O6tLR8a8zI.woff2"",""https://hcaptcha.com/1/api.js"",""https://ka-f.fontawesome.com/releases/v6.6.0/css/free-v4-font-face.min.css"",""https://ka-f.fontawesome.com/releases/v6.6.0/css/free-v4-shims.min.css"",""https://ka-f.fontawesome.com/releases/v6.6.0/css/free-v5-font-face.min.css"",""https://ka-f.fontawesome.com/releases/v6.6.0/css/free.min.css"",""https://ka-f.fontawesome.com/releases/v6.6.0/webfonts/free-fa-brands-400.woff2"",""https://ka-f.fontawesome.com/releases/v6.6.0/webfonts/free-fa-solid-900.woff2"",""https://kit.fontawesome.com/e02478940c.js"",""https://newassets.hcaptcha.com/c/0d69d1a359119bd0e2c5ca7f11f300ac050517fd19b612f86c0c75a2b0b39cbe/hsw.js"",""https://use.fontawesome.com/releases/v6.1.0/js/all.js"",""https://use.fontawesome.com/releases/v6.4.0/js/all.js"",""https://use.fontawesome.com/releases/v6.4.0/js/v4-shims.js"",""https://www.googletagmanager.com/gtm.js""]",9.0,,True,0.2146242143554687,653.299,"[""about"",""privacy""]","[""accessibility""]",True,False,Office of Congressional Ethics |,,,Office of Congressional Ethics,,,,https://oce.house.gov/profiles/evo/assets/images/Seal_of_the_United_States_House_of_Representatives.png,website,http://oce.house.gov/home,http://oce.house.gov/,en,,True,False,False,https://oce.house.gov/robots.txt,False,403.0,text/html,,,,False,False,https://oce.house.gov/sitemap.xml,False,500.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
republicans-climatecrisis.house.gov,house.gov,.gov,True,https://www.house.gov/committees/committees-no-longer-standing,house.gov,gov,www.house.gov,True,200.0,text/html,True,False,The Legislative Branch,US House of Representatives,Legislative,False,"[""2020_eot""]",,2024-10-30T06:40:38.684Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,akamaitechnologies.com,Drupal,,,True,,False,,,G-65K8PR1QER,"[""www.googletagmanager.com""]","[""https://www.googletagmanager.com/gtag/js"",""https://www.googletagmanager.com/gtm.js""]",1.0,"["".www.house.gov""]",True,0.0046806666666666,509.899,"[""privacy""]","[""accessibility"",""privacy policy""]",,,Committees No Longer Standing | house.gov,,,,,,,,,,http://www.house.gov/committees/committees-no-longer-standing,en,,False,False,True,https://www.house.gov/committees/committees-no-longer-standing,True,200.0,text/html,,,,False,True,https://www.house.gov/committees/committees-no-longer-standing,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
republicans-armedservices.house.gov,house.gov,.gov,True,https://armedservices.house.gov/,house.gov,gov,armedservices.house.gov,True,200.0,text/html,True,False,The Legislative Branch,US House of Representatives,Legislative,True,"[""2020_eot""]",,2024-10-30T05:22:40.104Z,completed,unknown_error,completed,completed,completed,completed,unknown_error,timeout,True,akamaitechnologies.com,Drupal,,,True,,False,,,G-795G8XQVHQ,"[""abs-0.twimg.com"",""abs.twimg.com"",""fonts.googleapis.com"",""fonts.gstatic.com"",""pbs.twimg.com"",""platform.twitter.com"",""syndication.twitter.com"",""www.googletagmanager.com""]","[""https://abs-0.twimg.com/emoji/v2/svg/1f1fa-1f1f8.svg"",""https://abs-0.twimg.com/emoji/v2/svg/2b07.svg"",""https://abs.twimg.com/sticky/animations/like.4.json"",""https://fonts.googleapis.com/css2"",""https://fonts.gstatic.com/s/opensans/v40/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTS-mu0SC55I.woff2"",""https://fonts.gstatic.com/s/oswald/v53/TK3_WkUHHAIjg75cFRf3bXL8LICs1_FvsUZiYySUhiCXAA.woff"",""https://pbs.twimg.com/ext_tw_video_thumb/1840764819823034368/pu/img/i1dpjl6MPs8Ncvu4.jpg"",""https://pbs.twimg.com/media/GYu12c-XYAExa9F"",""https://pbs.twimg.com/media/GYu12c5WQAAqoA-"",""https://pbs.twimg.com/media/GYu2YhlWoAAIDCl"",""https://pbs.twimg.com/media/GYvANHHWQAAdM9z"",""https://pbs.twimg.com/media/GZARfB6XIAAe5oJ"",""https://pbs.twimg.com/media/GZARfCJWsAAOJt0"",""https://pbs.twimg.com/media/GZxn-ZtXkA0jt5R"",""https://pbs.twimg.com/media/Ga1IfhAa0AA7ouU"",""https://pbs.twimg.com/profile_images/1095006386126127109/4k-RG7g5_mini.jpg"",""https://pbs.twimg.com/profile_images/1095006386126127109/4k-RG7g5_normal.jpg"",""https://pbs.twimg.com/profile_images/1527387954745724935/9CQacZ9k_normal.jpg"",""https://pbs.twimg.com/profile_images/971415515754266624/zCX0q9d5_mini.jpg"",""https://pbs.twimg.com/profile_images/971415515754266624/zCX0q9d5_normal.jpg"",""https://pbs.twimg.com/profile_images/998671614655979520/MTlEyNtc_normal.jpg"",""https://platform.twitter.com/_next/static/H8u53u8SWsWwviLqzqhm-/_buildManifest.js"",""https://platform.twitter.com/_next/static/H8u53u8SWsWwviLqzqhm-/_ssgManifest.js"",""https://platform.twitter.com/_next/static/chunks/1362.42d432e02f7980bca032.js"",""https://platform.twitter.com/_next/static/chunks/1755.07a49c40b12af4f75780.js"",""https://platform.twitter.com/_next/static/chunks/1893.884064a6b9a70e0ded05.js"",""https://platform.twitter.com/_next/static/chunks/3077.44bfeb00af01bc4020f6.js"",""https://platform.twitter.com/_next/static/chunks/4956.c4e51ef593974b9db0bb.js"",""https://platform.twitter.com/_next/static/chunks/5893.d500bd2a89ded806aa73.js"",""https://platform.twitter.com/widgets.js""]",8.0,"["".armedservices.house.gov""]",True,0.0739694221191406,385.5,"[""about"",""privacy""]","[""accessibility""]",,,Representative Republicans-armedservices |,,,Representative Republicans-armedservices,,,,https://armedservices.house.gov/profiles/evo/assets/images/Seal_of_the_United_States_House_of_Representatives.png,website,http://armedservices.house.gov/home,http://armedservices.house.gov/,en,,True,False,False,https://republicans-armedservices.house.gov/robots.txt,False,403.0,text/html,2189.0,10.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
