target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,dap_version,ga_tag_id,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
usaid.gov,usaid.gov,.gov,,,,,,,,,,,U.S. Agency for International Development,M/CIO,Executive,False,"[""gov"",""pulse"",""omb_idea""]",True,2024-09-18T06:54:14.676Z,timeout,timeout,completed,completed,completed,completed,completed,completed,False,,,,,,,,,20240712 v8.2 - GA4,"UA-30663658-1,G-CSLL4ZEK4L,G-ZF8V4X5KXG,G-COfOQYuqZPiTgJB",,,"["".usaid.gov""]",,0.0972708868408203,1071.5,,,True,True,U.S. Agency for International Development,"USAID is the world's premier international development agency and a catalytic actor driving development results. USAID's work advances U.S. national security and economic prosperity, demonstrates American generosity, and promotes a path to recipient self-reliance and resilience.",,,,,,,,,,,,,True,False,https://www.usaid.gov/robots.txt,True,200.0,text/plain,1586.0,,,True,False,https://www.usaid.gov/sitemap.xml,True,200.0,text/xml,1294.0,0.0,0.0,,,,,,,,,,,,
disdev-htmltopdf.usaid.gov,usaid.gov,.gov,,,,,,,,,,,U.S. Agency for International Development,M/CIO,Executive,,"[""pulse""]",,2024-09-18T08:03:41.096Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
workwithusaid.gov,workwithusaid.gov,.gov,False,https://www.workwithusaid.gov/,workwithusaid.gov,gov,www.workwithusaid.gov,True,200.0,text/html,True,False,U.S. Agency for International Development,U.S. Agency for International Development,Executive,False,"[""gov"",""omb_idea""]",True,2024-09-18T06:57:46.854Z,completed,unknown_error,completed,completed,completed,completed,completed,completed,False,,,,"[""\""password\""""]",True,,True,,20240712 v8.2 - GA4,"G-E0E9LQ4VT8,UA-188145474-1,G-CSLL4ZEK4L","[""17de4c10.akstat.io"",""acsbapp.com"",""api.workwithusaid.org"",""c.go-mpulse.net"",""cdn.acsbapp.com"",""cdn.chatbot.com"",""content.hotjar.io"",""dap.digitalgov.gov"",""s.go-mpulse.net"",""script.hotjar.com"",""static.hotjar.com"",""stats.g.doubleclick.net"",""storage.googleapis.com"",""strapi.workwithusaid.org"",""www.google-analytics.com"",""www.googletagmanager.com""]",16.0,"["".workwithusaid.gov""]",True,0.0550161012369791,509.3,"[""about"",""privacy""]","[""about us"",""accessibility"",""privacy policy""]",True,True,Work with USAID | Work With USAID,WorkwithUSAID.gov is a free resource hub that provides the knowledge and networks for organizations of all kinds to navigate how to partner with USAID.,"Work with USAID, USAID website, USAID resources, USAID",Work with USAID | Work With USAID,WorkwithUSAID.gov is a free resource hub that provides the knowledge and networks for organizations of all kinds to navigate how to partner with USAID.,,,https://storage.googleapis.com/strapi-media-dev/Workwith_USAID_org_Open_Graph_Images_457e53630f/Workwith_USAID_org_Open_Graph_Images_457e53630f.png,website,https://www.workwithusaid.gov/,,en,,True,False,False,https://www.workwithusaid.gov/,True,200.0,text/html,,,,False,False,https://www.workwithusaid.gov/,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
claimsapi.usaid.gov,usaid.gov,.gov,,,,,,,,,,,U.S. Agency for International Development,M/CIO,Executive,,"[""pulse""]",,2024-09-18T07:46:07.822Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disapimanagementdev.usaid.gov,usaid.gov,.gov,False,https://disapimanagementdev.usaid.gov/,usaid.gov,gov,disapimanagementdev.usaid.gov,False,404.0,application/json,True,True,U.S. Agency for International Development,M/CIO,Executive,True,"[""pulse""]",,2024-09-18T07:46:35.928Z,completed,completed,completed,completed,completed,completed,completed,completed,True,edgekey.net,,,,False,,False,,,,,0.0,,False,0.0,98.8,,,True,True,,,,,,,,,,,,,,False,False,False,https://disapimanagementdev.usaid.gov/robots.txt,False,404.0,application/json,,,,False,False,https://disapimanagementdev.usaid.gov/sitemap.xml,False,404.0,application/json,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
claimsapidev-loadtest.usaid.gov,usaid.gov,.gov,,,,,,,,,,,U.S. Agency for International Development,M/CIO,Executive,,"[""pulse""]",,2024-09-18T07:17:16.644Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accqpub.usaid.gov,usaid.gov,.gov,,,,,,,,,,,U.S. Agency for International Development,M/CIO,Executive,,"[""pulse""]",,2024-09-18T06:24:18.983Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dfafacts.gov,dfafacts.gov,.gov,False,https://dfafacts.gov/,dfafacts.gov,gov,dfafacts.gov,True,200.0,text/html,True,True,U.S. Agency for International Development,Office of the Director of U.S. Foreign Assistance,Executive,False,"[""gov"",""omb_idea""]",False,2024-09-18T04:00:14.628Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,"[""\""password\"""",""type=\""password\""""]",False,,False,,,,"[""fonts.googleapis.com"",""fonts.gstatic.com""]",2.0,,True,0.0388320859375,1084.199,,,True,True,,,,,,,,,,,,,,False,True,False,https://dfafacts.gov/robots.txt,True,200.0,text/plain,26.0,,,False,True,https://dfafacts.gov/Oops404.aspx?aspxerrorpath=/sitemap.xml,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
www.foreignassistance.gov,foreignassistance.gov,.gov,,,,,,,,,,,U.S. Agency for International Development,Foreign Assistance Office (F/PPS),Executive,True,"[""gov"",""dap"",""2020_eot""]",,2024-09-18T02:34:21.548Z,timeout,completed,completed,completed,completed,completed,unknown_error,completed,True,edgekey.net,,,,,,,,,,,,,,0.0,958.9,,,,,,,,,,,,,,,,,,,True,False,https://www.foreignassistance.gov/robots.txt,True,200.0,text/plain,202.0,,,False,True,https://www.foreignassistance.gov/errors/not_found,False,404.0,text/html,,,,,,,,,,,,,,,
disdevws2dev.usaid.gov,usaid.gov,.gov,,,,,,,,,,,U.S. Agency for International Development,M/CIO,Executive,,"[""pulse""]",,2024-09-18T02:01:58.261Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
