target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,accessibility_violations,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,dap_version,ga_tag_id,third_party_service_domains,third_party_service_urls,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count,www_scan_status,www_url,www_status_code,www_title
extranet-portal.rma.usda.gov,usda.gov,gov,,,,,,,,,,,U.S. Department of Agriculture,U.S. Department of Agriculture,Executive,,"[""pulse"",""omb_idea""]",False,2025-01-15T00:00:39.033Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,,False,,,,,,,,,,,,,,"[""extranet-portal.rma.usda.gov""]",,,,,,True,True,Sign In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dns_resolution_error,,,
symp.ars.usda.gov,usda.gov,gov,,,,,,,,,,,U.S. Department of Agriculture,U.S. Department of Agriculture,Executive,,"[""pulse""]",,2025-01-14T01:36:52.280Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timeout,,,
ag.gov,ag.gov,gov,,,,,,,,,,,U.S. Department of Agriculture,U.S. Department of Agriculture,Executive,,"[""gov""]",,2025-01-11T01:50:35.271Z,timeout,timeout,completed,timeout,timeout,timeout,completed,timeout,,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dns_resolution_error,,,
dss.tucson.ars.ag.gov,ag.gov,gov,True,https://apps.tucson.ars.ag.gov/toolbox/,ag.gov,gov,apps.tucson.ars.ag.gov,True,200.0,text/html,True,False,U.S. Department of Agriculture,U.S. Department of Agriculture,Executive,False,"[""pulse"",""omb_idea""]",False,2025-01-14T03:47:29.712Z,completed,completed,completed,completed,completed,completed,completed,completed,"{""contrast"":4,""link-purpose"":9}",False,,,,,False,,False,,,UA-1574691-6,"[""ajax.googleapis.com"",""ssl.google-analytics.com""]","[""https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js"",""https://ssl.google-analytics.com/__utm.gif"",""https://ssl.google-analytics.com/ga.js""]",2.0,"["".apps.tucson.ars.ag.gov""]",False,0.0529603450520833,1034.9000000953674,,,True,True,SWRC Web Applications Toolbox,,,,,,,,,,,en,,False,False,True,https://apps.tucson.ars.ag.gov/toolbox/,True,200.0,text/html,,,,False,True,https://apps.tucson.ars.ag.gov/toolbox/,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0,dns_resolution_error,,,
22007apply.gov,22007apply.gov,gov,False,https://22007apply.gov/,22007apply.gov,gov,22007apply.gov,True,200.0,text/html,True,True,U.S. Department of Agriculture,U.S. Department of Agriculture,Executive,True,"[""gov"",""omb_idea""]",True,2025-01-14T01:10:04.433Z,completed,completed,completed,completed,timeout,completed,completed,completed,"{""aria"":4}",True,,,,,True,,False,,,G-HQFWW5M3RC,"[""cdn.cookielaw.org"",""cdn.jsdelivr.net"",""geolocation.onetrust.com"",""unpkg.com"",""www.farmers.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]","[""https://cdn.cookielaw.org/consent/cfd8adad-9589-408a-8667-56a8ab6fd3e0/9ea4e7da-c83e-405f-a8de-5c5fdc3d369a/en.json"",""https://cdn.cookielaw.org/consent/cfd8adad-9589-408a-8667-56a8ab6fd3e0/OtAutoBlock.js"",""https://cdn.cookielaw.org/consent/cfd8adad-9589-408a-8667-56a8ab6fd3e0/cfd8adad-9589-408a-8667-56a8ab6fd3e0.json"",""https://cdn.cookielaw.org/logos/0453826c-66bd-4b22-8370-04eafb384ea3/06e3b2ed-f076-4626-88f6-ebc8f866071f/12c0737c-8be1-46f7-82b6-64129ef68127/Capture-removebg-preview_(1).png"",""https://cdn.cookielaw.org/logos/static/ot_guard_logo.svg"",""https://cdn.cookielaw.org/logos/static/powered_by_logo.svg"",""https://cdn.cookielaw.org/scripttemplates/202308.1.0/assets/otCommonStyles.css"",""https://cdn.cookielaw.org/scripttemplates/202308.1.0/assets/otFlat.json"",""https://cdn.cookielaw.org/scripttemplates/202308.1.0/assets/v2/otPcTab.json"",""https://cdn.cookielaw.org/scripttemplates/202308.1.0/otBannerSdk.js"",""https://cdn.cookielaw.org/scripttemplates/otSDKStub.js"",""https://cdn.jsdelivr.net/npm/@observablehq/plot@0.6"",""https://cdn.jsdelivr.net/npm/d3@7"",""https://geolocation.onetrust.com/cookieconsentpub/v1/geo/location"",""https://unpkg.com/topojson@3"",""https://unpkg.com/topojson@3.0.2"",""https://unpkg.com/topojson@3.0.2/dist/topojson.js"",""https://www.farmers.gov/themes/farmers_update/assets/img/alerts/info-icon.svg"",""https://www.google-analytics.com/g/collect"",""https://www.googletagmanager.com/gtag/js""]",7.0,"["".22007apply.gov""]",True,,,"[""privacy"",""usa.gov""]","[""accessibility"",""privacy policy"",""usa.gov""]",True,True,Discrimination Financial Assistance Program Home,"Section 22007 of the Inflation Reduction Act (IRA) provides financial assistance for farmers, ranchers, and forest landowners who experienced discrimination by USDA in USDA’s farm lending prior to 2021",,,,,,,,,,en,,True,False,False,https://22007apply.gov/robots.txt,False,404.0,text/html,,,,False,False,https://22007apply.gov/sitemap.xml,False,404.0,text/html,,,,20.0,0.0,0.0,0.0,"[""usa-accordion"",""usa-alert"",""usa-alert-body"",""usa-alert-heading"",""usa-alert-right-align"",""usa-alert-text"",""usa-alert-warning"",""usa-banner"",""usa-button"",""usa-button-info"",""usa-current"",""usa-header"",""usa-hero"",""usa-identifier"",""usa-link"",""usa-logo"",""usa-menu-btn"",""usa-nav"",""usa-nav-link"",""usa-navbar"",""usa-overlay"",""usa-social-link""]",True,50.0,12.0,20.0,v3.4.1,100.0,202.0,completed,https://www.22007apply.gov,200.0,Discrimination Financial Assistance Program Home
biopreferred.gov,biopreferred.gov,gov,True,https://www.biopreferred.gov/BioPreferred/,biopreferred.gov,gov,www.biopreferred.gov,True,200.0,text/html,True,False,U.S. Department of Agriculture,Office of Energy Policy and New Uses,Executive,True,"[""gov"",""pulse"",""omb_idea"",""2020_eot""]",False,2025-01-14T05:10:39.653Z,completed,completed,completed,completed,completed,completed,completed,completed,"{""language"":1,""images"":1,""lists"":10}",False,,,,,True,,False,,,G-3JX8FCDPFM,"[""fonts.googleapis.com"",""fonts.gstatic.com"",""www.googletagmanager.com""]","[""https://fonts.googleapis.com/css"",""https://fonts.gstatic.com/s/opensans/v40/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTS-mu0SC55I.woff2"",""https://fonts.gstatic.com/s/oswald/v53/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2"",""https://www.googletagmanager.com/gtag/js""]",3.0,"["".biopreferred.gov"",""www.biopreferred.gov""]",False,0.0015237928059895,1314.7000002861023,"[""about"",""foia"",""privacy"",""usa.gov""]","[""about us"",""accessibility"",""foia"",""privacy policy"",""usa.gov""]",True,True,BioPreferred,,,,,,,,,,,,,False,False,False,https://www.biopreferred.gov/BioPreferred/faces/errors/Missing.xhtml,True,200.0,text/html,,,,False,False,https://www.biopreferred.gov/BioPreferred/faces/errors/Missing.xhtml,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0,completed,https://www.biopreferred.gov/BioPreferred,200.0,BioPreferred
nt.ars-grin.gov,ars-grin.gov,gov,True,https://www.ars.usda.gov/northeast-area/beltsville-md-barc/beltsville-agricultural-research-center/mycology-and-nematology-genetic-diversity-and-biology-laboratory/docs/mycology-and-nematology-genetic-diversity-and-biology-laboratory-beltsville-md/,usda.gov,gov,www.ars.usda.gov,True,200.0,text/html,False,False,U.S. Department of Agriculture,Agricultural Research Service ,Executive,False,"[""pulse""]",,2025-01-11T03:31:24.157Z,completed,completed,completed,completed,completed,completed,completed,completed,"{""language"":1}",False,,,,,True,,True,"{""agency"":""USDA"",""subagency"":""ARS""}",20241218 v8.5 - GA4,"G-ND298XG1VM,G-CSLL4ZEK4L,UA-27627304-6,UA-27627304-1","[""ajax.googleapis.com"",""cdn.gov.cfigroup.com"",""content.govdelivery.com"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""maxcdn.bootstrapcdn.com"",""s.webtrends.com"",""s7.addthis.com"",""ssl.google-analytics.com"",""statse.webtrendslive.com"",""www.googletagmanager.com""]","[""https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js"",""https://cdn.gov.cfigroup.com/webmon/s/source/webmon/434bb8cf751124/webmon.js"",""https://content.govdelivery.com/attachments/fancy_images/USDAARS/2018/07/2034343/overlay-service_original.png"",""https://content.govdelivery.com/attachments/fancy_images/USDAARS/2018/07/2034353/overlay-close_original.png"",""https://content.govdelivery.com/overlay/js/6017.js"",""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://fonts.googleapis.com/css"",""https://fonts.gstatic.com/s/opensans/v40/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTS-mu0SC55I.woff2"",""https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css"",""https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js"",""https://s.webtrends.com/js/advancedLinkTracking.js"",""https://s.webtrends.com/js/webtrends.js"",""https://s7.addthis.com/js/300/addthis_widget.js"",""https://ssl.google-analytics.com/__utm.gif"",""https://ssl.google-analytics.com/ga.js"",""https://statse.webtrendslive.com/dcs2229fyq5yxf5j5aw1zdupi_2f9o/wtid.js"",""https://www.googletagmanager.com/gtag/js""]",12.0,"["".ars.usda.gov"","".usda.gov""]",True,0.0260117736816406,439.09999990463257,"[""about"",""privacy"",""usa.gov""]","[""accessibility"",""foia"",""privacy policy"",""usa.gov""]",True,True,"Mycology and Nematology Genetic Diversity and Biology Laboratory: Beltsville, MD : USDA ARS",,,,,,,,,,,,,True,False,True,https://www.ars.usda.gov/northeast-area/beltsville-md-barc/beltsville-agricultural-research-center/mycology-and-nematology-genetic-diversity-and-biology-laboratory/docs/mycology-and-nematology-genetic-diversity-and-biology-laboratory-beltsville-md/,True,200.0,text/html,,,,False,True,https://www.ars.usda.gov/northeast-area/beltsville-md-barc/beltsville-agricultural-research-center/mycology-and-nematology-genetic-diversity-and-biology-laboratory/docs/mycology-and-nematology-genetic-diversity-and-biology-laboratory-beltsville-md/,True,200.0,text/html,,,,20.0,0.0,0.0,0.0,"[""usa-accordion"",""usa-accordion-button"",""usa-accordion-content"",""usa-banner"",""usa-banner-button"",""usa-banner-button-text"",""usa-banner-content"",""usa-banner-guidance-gov"",""usa-banner-guidance-ssl"",""usa-banner-header"",""usa-banner-icon"",""usa-banner-inner"",""usa-color-gray-dark"",""usa-color-primary"",""usa-color-primary-darkest"",""usa-color-white"",""usa-content"",""usa-footer"",""usa-footer-big"",""usa-footer-nav"",""usa-footer-primary-content"",""usa-footer-return-to-top"",""usa-grid"",""usa-grid-full"",""usa-header"",""usa-header-basic"",""usa-layout-docs"",""usa-layout-docs-main_content"",""usa-layout-docs-sidenav"",""usa-logo"",""usa-logo-text"",""usa-media_block-body"",""usa-media_block-img"",""usa-menu-btn"",""usa-nav"",""usa-nav-close"",""usa-nav-container"",""usa-nav-link"",""usa-nav-primary"",""usa-nav-secondary"",""usa-nav-secondary-links"",""usa-nav-submenu"",""usa-navbar"",""usa-overlay"",""usa-search"",""usa-search-small"",""usa-section"",""usa-sidenav-list"",""usa-sign_up-header"",""usa-skipnav"",""usa-sr-only"",""usa-unstyled-list"",""usa-width-one-fourth"",""usa-width-one-half"",""usa-width-one-third"",""usa-width-three-fourths""]",True,40.0,3.0,20.0,,0.0,83.0,dns_resolution_error,,,
hrsl.arsusda.gov,arsusda.gov,gov,,,,,,,,,,,U.S. Department of Agriculture,Agricultural Research Service,Executive,,"[""pulse""]",,2025-01-14T05:48:16.854Z,timeout,timeout,completed,timeout,timeout,timeout,completed,timeout,,True,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dns_resolution_error,,,
arsusda.gov,arsusda.gov,gov,,,,,,,,,,,U.S. Department of Agriculture,Agricultural Research Service,Executive,,"[""gov""]",,2025-01-14T05:49:47.715Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dns_resolution_error,,,
npgsweb.ars-grin.gov,ars-grin.gov,gov,True,https://npgsweb.ars-grin.gov/gringlobal/search,ars-grin.gov,gov,npgsweb.ars-grin.gov,True,200.0,text/html,True,True,U.S. Department of Agriculture,Agricultural Research Service ,Executive,True,"[""dap"",""pulse"",""omb_idea""]",False,2025-01-11T03:49:09.369Z,completed,completed,completed,completed,completed,completed,completed,completed,"{""form-names"":1}",False,,,,,True,,True,"{""agency"":""USDA"",""subagency"":""ARS"",""pua"":""UA-97667880-1""}",20241218 v8.5 - GA4,"G-PPRDm1rmTKyDQ,UA-97667880-1,G-209CHCF49V,G-CSLL4ZEK4L","[""ajax.aspnetcdn.com"",""cdnjs.cloudflare.com"",""dap.digitalgov.gov"",""fonts.gstatic.com"",""googleads.g.doubleclick.net"",""i.ytimg.com"",""invalid"",""jnn-pa.googleapis.com"",""kit.fontawesome.com"",""maxcdn.bootstrapcdn.com"",""play.google.com"",""static.doubleclick.net"",""www.ars.usda.gov"",""www.google.com"",""www.googletagmanager.com"",""www.gstatic.com"",""www.youtube.com"",""yt3.ggpht.com""]","[""https://ajax.aspnetcdn.com/ajax/4.5.1/1/MsAjaxBundle.js"",""https://ajax.aspnetcdn.com/ajax/4.5.1/1/WebFormsBundle.js"",""https://ajax.aspnetcdn.com/ajax/bootstrap/4.6.0/bootstrap.min.js"",""https://ajax.aspnetcdn.com/ajax/jQuery/jquery-3.7.1.min.js"",""https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.0/umd/popper.min.js"",""https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js"",""https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4AMP6lQ.woff2"",""https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxKKTU1Kg.woff2"",""https://googleads.g.doubleclick.net/pagead/id"",""https://i.ytimg.com/vi/0U7M1sPYpyo/hqdefault.jpg"",""https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/Create"",""https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/GenerateIT"",""https://kit.fontawesome.com/8aeac50ece.js"",""https://maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css"",""https://maxcdn.bootstrapcdn.com/font-awesome/latest/fonts/fontawesome-webfont.woff2"",""https://play.google.com/log"",""https://static.doubleclick.net/instream/ad_status.js"",""https://www.ars.usda.gov/images/redesign/USDA-Logo.png"",""https://www.google.com/js/th/bTS-krGMW8fDflzgOBqs4RfQ289v88xjeZzvxqf94UM.js"",""https://www.googletagmanager.com/gtag/js"",""https://www.gstatic.com/cv/js/sender/v1/cast_sender.js"",""https://www.youtube.com/generate_204"",""https://www.youtube.com/s/player/3ede36f2/player_ias.vflset/en_US/base.js"",""https://www.youtube.com/s/player/3ede36f2/player_ias.vflset/en_US/embed.js"",""https://www.youtube.com/s/player/3ede36f2/player_ias.vflset/en_US/remote.js"",""https://www.youtube.com/s/player/3ede36f2/www-embed-player.vflset/www-embed-player.js"",""https://www.youtube.com/s/player/3ede36f2/www-player.css"",""https://yt3.ggpht.com/JB_UfIGQRVe99U57RfFsgoQGnqnDjJiJ548PifldMaZj-OMqvWTHG9gMGpKVPVlUi0RAbPXfcQ=s68-c-k-c0x00ffffff-no-rj""]",18.0,"["".ars-grin.gov"",""npgsweb.ars-grin.gov""]",True,0.000109033203125,1007.7999997138976,"[""about"",""foia"",""privacy"",""usa.gov""]","[""accessibility"",""foia"",""privacy policy"",""usa.gov""]",True,True,Search Accessions GRIN-Global,,,,,,,,,,,en,,False,True,False,https://npgsweb.ars-grin.gov/robots.txt,True,200.0,text/plain,114.0,,,False,False,https://npgsweb.ars-grin.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0,dns_resolution_error,,,
