target_url,target_url_domain,target_url_top_level_domain,final_url,final_url_domain,final_url_website,final_url_top_level_domain,canonical_link,final_url_mimetype,final_url_live,target_url_redirects,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,final_url_status_code,target_url_404_test,scan_date,primary_scan_status,not_found_scan_status,robots_txt_scan_status,sitemap_xml_scan_status,dns_scan_status,dns_ipv6,dns_hostname,source_list,cms,cloud_dot_gov_pages,required_links_url,required_links_text,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_count,uswds_usa_classes,uswds_inline_css,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,og_article_published_final_url,og_article_modified_final_url,og_title_final_url,og_description_final_url,main_element_present_final_url,robots_txt_final_url,robots_txt_detected,robots_txt_final_url_live,robots_txt_target_url_redirects,robots_txt_final_url_status_code,robots_txt_final_url_mimetype,robots_txt_final_url_filesize_in_bytes,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_final_url,sitemap_xml_detected,sitemap_xml_final_url_live,sitemap_xml_target_url_redirects,sitemap_xml_final_url_status_code,sitemap_xml_final_url_mimetype,sitemap_xml_final_url_filesize_in_bytes,sitemap_xml_count,sitemap_xml_pdf_count,third_party_service_domains,third_party_service_count,viewport_meta_tag,cookie_domains,login_provider,login_detected,searchgov,search_detected,dap_detected_final_url,dap_parameters_final_url
www.jwod.gov,jwod.gov,gov,,,,,,,,,,,United States AbilityOne,Committee for Purchase From People Who Are Blind or Severely Disabled,Executive,,,2024-01-13T05:28:13.534Z,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,False,,"[""gov""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"["".bing.com"","".c.bing.com"","".c.clarity.ms"","".clarity.ms"","".compphysworkshop.lanl.gov"","".doubleclick.net"","".hiv.lanl.gov"","".hubspot.com"","".intelink.gov"","".jobcorps.gov"","".jobsp1.lanl.gov"","".jobszp1.lanl.gov"","".jusfc.gov"","".justice.gov"","".lanl.gov"","".weblogin.lanl.gov"","".www.hiv.lanl.gov"","".www.lanl.gov"","".youtube.com"",""6024875.global.siteimproveanalytics.io"",""8906.global.siteimproveanalytics.io"",""denison.jobcorps.gov"",""jobsp1.lanl.gov"",""jobszp1.lanl.gov"",""jusfc.gov"",""weblogin.lanl.gov"",""www.clarity.ms"",""www.jusfc.gov"",""www.lanl.gov""]",,,,,,
abilityone.gov,abilityone.gov,gov,https://abilityone.gov/,abilityone.gov,abilityone.gov,gov,,text/html,True,False,True,True,United States AbilityOne,Committee for Purchase From People Who Are Blind or Severely Disabled,Executive,200.0,True,2024-01-13T00:31:14.035Z,completed,completed,completed,completed,completed,False,,"[""gov"",""pulse""]",,False,"[""fear"",""foia"",""privacy""]","[""accessibility"",""foia"",""freedom of information act"",""inspector general"",""privacy policy""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,False,https://abilityone.gov/robots.txt,False,False,False,404.0,text/html,,,,https://abilityone.gov/sitemap.xml,False,False,False,404.0,text/html,,,,"[""fonts.googleapis.com"",""www.abilityone.gov"",""www.gstatic.com""]",3.0,False,,,,,False,False,
plimswsdev.abilityone.gov,abilityone.gov,gov,https://plimswsdev.abilityone.gov/,abilityone.gov,plimswsdev.abilityone.gov,gov,,text/html,False,False,True,True,United States AbilityOne,Committee for Purchase From People Who Are Blind or Severely Disabled,Executive,502.0,False,2024-01-13T02:39:07.998Z,completed,completed,completed,completed,completed,False,,"[""pulse""]",,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,False,https://plimswsdev.abilityone.gov/robots.txt,False,False,False,502.0,text/html,,,,https://plimswsdev.abilityone.gov/sitemap.xml,False,False,False,502.0,text/html,,,,,0.0,False,,,,,False,False,
vpn2.abilityone.gov,abilityone.gov,gov,https://vpn2.abilityone.gov/+CSCOE+/logon.html#form_title_text,abilityone.gov,vpn2.abilityone.gov,gov,,text/html,True,False,True,True,United States AbilityOne,Committee for Purchase From People Who Are Blind or Severely Disabled,Executive,200.0,False,2024-01-13T00:29:15.107Z,completed,completed,completed,completed,completed,False,,"[""pulse""]",,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,False,https://vpn2.abilityone.gov/robots.txt,True,True,False,200.0,text/plain,26.0,,,https://vpn2.abilityone.gov/+CSCOE+/message.html?mc=2,False,True,True,200.0,text/html,,,,,0.0,True,"[""vpn2.abilityone.gov""]",,"[""\""password\""""]",,False,False,
www.abilityone.gov,abilityone.gov,gov,https://www.abilityone.gov/,abilityone.gov,www.abilityone.gov,gov,,text/html,True,False,True,True,United States AbilityOne,Committee for Purchase From People Who Are Blind or Severely Disabled,Executive,200.0,True,2024-01-13T06:41:46.266Z,completed,completed,completed,completed,completed,False,,"[""gov""]",,False,"[""fear"",""foia"",""privacy""]","[""accessibility"",""foia"",""freedom of information act"",""inspector general"",""privacy policy""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,False,https://www.abilityone.gov/robots.txt,False,False,False,404.0,text/html,,,,https://www.abilityone.gov/sitemap.xml,False,False,False,404.0,text/html,,,,"[""fonts.googleapis.com"",""www.gstatic.com""]",2.0,False,,,,,False,False,
distributor.abilityone.gov,abilityone.gov,gov,,,,,,,,,,,United States AbilityOne,Committee for Purchase From People Who Are Blind or Severely Disabled,Executive,,,2024-01-13T00:26:51.671Z,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,False,,"[""pulse""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"["".github.com"","".gsa.gov"","".handbook.tts.gsa.gov"",""github.com""]",,,,,,
pl.abilityone.gov,abilityone.gov,gov,https://www.abilityone.gov/,abilityone.gov,www.abilityone.gov,gov,,text/html,True,False,True,False,United States AbilityOne,Committee for Purchase From People Who Are Blind or Severely Disabled,Executive,200.0,True,2024-01-13T00:27:42.869Z,completed,completed,completed,completed,completed,False,,"[""pulse""]",,False,"[""fear"",""foia"",""privacy""]","[""accessibility"",""foia"",""freedom of information act"",""inspector general"",""privacy policy""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,False,https://pl.abilityone.gov/robots.txt,False,False,False,404.0,text/html,,,,https://pl.abilityone.gov/sitemap.xml,False,False,False,404.0,text/html,,,,"[""fonts.googleapis.com"",""www.gstatic.com""]",2.0,False,,,,,False,False,
plimsvote.abilityone.gov,abilityone.gov,gov,https://plimsvote.abilityone.gov/Default.aspx?ReturnUrl=%2f,abilityone.gov,plimsvote.abilityone.gov,gov,,text/html,True,True,True,True,United States AbilityOne,Committee for Purchase From People Who Are Blind or Severely Disabled,Executive,200.0,False,2024-01-13T06:48:05.701Z,completed,completed,completed,completed,completed,False,,"[""pulse""]",,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,False,https://plimsvote.abilityone.gov/robots.txt,False,False,False,404.0,text/html,,,,https://plimsvote.abilityone.gov/sitemap.xml,False,False,False,404.0,text/html,,,,"[""code.jquery.com""]",1.0,False,,,"[""\""password\"""",""type=\""password\""""]",,False,False,
jwod.gov,jwod.gov,gov,https://jwod.gov/,jwod.gov,jwod.gov,gov,,text/html,True,False,True,True,United States AbilityOne,Committee for Purchase From People Who Are Blind or Severely Disabled,Executive,200.0,True,2024-01-13T05:29:48.544Z,completed,completed,completed,completed,completed,False,,"[""gov"",""pulse""]",,False,"[""fear"",""foia"",""privacy""]","[""accessibility"",""foia"",""freedom of information act"",""inspector general"",""privacy policy""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,False,https://jwod.gov/robots.txt,False,False,False,404.0,text/html,,,,https://jwod.gov/sitemap.xml,False,False,False,404.0,text/html,,,,"[""fonts.googleapis.com"",""www.abilityone.gov"",""www.gstatic.com""]",3.0,False,,,,,False,False,
jwodmail.abilityone.gov,abilityone.gov,gov,,,,,,,,,,,United States AbilityOne,Committee for Purchase From People Who Are Blind or Severely Disabled,Executive,,,2024-01-13T06:37:56.354Z,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,False,,"[""pulse""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plimsws.abilityone.gov,abilityone.gov,gov,https://www.abilityone.gov/,abilityone.gov,www.abilityone.gov,gov,,text/html,True,False,True,False,United States AbilityOne,Committee for Purchase From People Who Are Blind or Severely Disabled,Executive,200.0,True,2024-01-13T03:03:54.342Z,completed,completed,completed,completed,completed,False,,"[""pulse""]",,False,"[""fear"",""foia"",""privacy""]","[""accessibility"",""foia"",""freedom of information act"",""inspector general"",""privacy policy""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,False,https://plimsws.abilityone.gov/robots.txt,False,False,False,404.0,text/html,,,,https://plimsws.abilityone.gov/sitemap.xml,False,False,False,404.0,text/html,,,,"[""fonts.googleapis.com"",""www.gstatic.com""]",2.0,False,,,,,False,False,
