target_url,base_domain,branch,agency,agency_code,bureau,bureau_code,source_list_federal_domains,source_list_dap,source_list_pulse,source_list_other
1-800-vermont.com/,1-800-vermont.com,,,,,,,,,
townofhopemills.com/,174.132.145.94/~hope,,,,,,,,,
#N/A,1800arkansas.com,,,,,,,,,
www.1800runaway.org/,1800runaway.org,,,,,,,,,
midas.18f.us/,18f.us,,General Services Administration (GSA),,,,,,,
211.getcare.com/211provider/consumer/index211.do,211.getcare.com,,,,,,,,,
211virginia.org,211virginia.org,,,,,,,,,
www.360eldorado.com/Government/CityofElDorado.html,360eldorado.com/Government,,,,,,,,,
3riverscfc.org/,3riverscfc.org,,Combined Federal Campaign,,,,,,,
4thjudicialda.com/start.aspx,4thjudicialda.com,,,,,,,,,
511ny.org/,511ny.org,,,,,,,,,
911digitalarchive.org/,911digitalarchive.org,,,,,,,,,
www.a2gov.org/,a2gov.org,,,,,,,,,
www.aacounty.org/,aacounty.org,,,,,,,,,
aal.army,aal.army,,Department of the Army,,,,,,,
www.aapcc.org/,aapcc.org,,,,,,,,,
aatwp.org/,aatwp.org,,,,,,,,,
www.aberdeen-md.org/,aberdeen-md.org,,,,,,,,,
aberdeen.sd.us/,aberdeen.sd.us,,,,,,,,,
aberdeenms.us/,aberdeenms.us,,,,,,,,,
www.aberdeennj.org/,aberdeennj.org,,,,,,,,,
aberdeenwa.gov/,aberdeenwa.gov,,,,,,,,,
abilenecityhall.com/,abilenecityhall.com,,,,,,,,,
abilenetx.com/,abilenetx.com,,,,,,,,,
abington.org/,abington.org,,,,,,,,,
www.academyadmissions.com/,academyadmissions.com,,Department of Defense (DOD),,,,,,,
accessduarte.com/,accessduarte.com,,,,,,,,,
www.accessesmeralda.com/,accessesmeralda.com,,,,,,,,,
accessfayetteville.org/,accessfayetteville.org,,,,,,,,,
www.accessidaho.org/,accessidaho.org,,,,,,,,,
www.accesskent.com/,accesskent.com,,,,,,,,,
www.accessportsmouthva.com/,accessportsmouthva.com,,,,,,,,,
www.accidentmd.org,accidentmd.org,,,,,,,,,
www.aces.edu/main/,aces.edu,,,,,,,,,
#N/A,aces.nmsu.edu/pubs,,,,,,,,,
acgov.org/,acgov.org,,,,,,,,,
www.aclink.org/,aclink.org,,,,,,,,,
actonmaine.org/,actonmaine.org,,,,,,,,,
cityofacworth.org/,acworth.org,,,,,,,,,
adamscounty.org/,adamscounty.org,,,,,,,,,
www.adamscounty.us/Pages/Home.aspx,adamscounty.us,,,,,,,,,
adamstwp.org/,adamstwp.org,,,,,,,,,
adaok.com/,adaok.com,,,,,,,,,
adacounty.id.gov/,adaweb.net,,,,,,,,,
addisla.org/,addisla.org,,,,,,,,,
addisonadvantage.org/,addisonadvantage.org,,,,,,,,,
addisonwi.org/,addisonwi.org,,,,,,,,,
adeliowa.org/default.page,adeliowa.org,,,,,,,,,
www.adellwi.govoffice2.com/,adellwi.govoffice2.com,,,,,,,,,
adlnet.org/,adlnet.org,,Department of Defense (DOD),,,,,,,
www.adoptpakids.org/,adoptpakids.org,,,,,,,,,
#N/A,adoptuskids.org,,,,,,,,,
adph.org/,adph.org,,,,,,,,,
www.aerhq.org/dnn563/,aerhq.org,,,,,,,,,
usafa.edu,afacademy.af.edu,,Department of Defense (DOD),,,,,,,
www.afb.org/default.aspx,afb.org,,,,,,,,,
afcity.org/,afcity.org,,,,,,,,,
#N/A,afcrossroads.com,,,,,,,,,
www.afneurope.net/,afneurope.net,,Department of Defense (DOD),,,,,,,
afnpacific.net/,afnpacific.net,,Department of Defense (DOD),,,,,,,
afognak.org/,afognak.org,,,,,,,,,
#N/A,afpmb.org,,Department of Defense (DOD),,,,,,,
afreserve.com/,afreserve.com,,Department of the Air Force,,,,,,,
afthunderbirds.com/,afthunderbirds.com,,Department of the Air Force,,,,,,,
www.aftoniowa.com/,aftoniowa.com,,,,,,,,,
ag.umass.edu/,ag.umass.edu,,,,,,,,,
agfirst.com/index.asp,agfirst.com,,Farm Credit Administration,,,,,,,
#N/A,agnic.org,,,,,,,,,
#N/A,agribank.com,,Farm Credit Administration,,,,,,,
agrilifeextension.tamu.edu/,agrilifeextension.tamu.edu,,,,,,,,,
www.ahfa.com/,ahfa.com,,,,,,,,,
www.ahfc.us/,ahfc.us,,,,,,,,,
ahnj.com/ahnj/,ahnj.com,,,,,,,,,
www.aidea.org/,aidea.org,,,,,,,,,
airdefenseartillery.com/,airdefenseartillery.com,,Department of Defense (DOD),,,,,,,
www.airforce.com/,airforce.com,,Department of the Air Force,,,,,,,
www.airmont.org/,airmont.org,,,,,,,,,
www.airspacemag.com/?no-ist,airspacemag.com,,Smithsonian Institution,,,,,,,
#N/A,ajb.org,,Employment and Training Administration,,,,,,,
www.ajcity.net/,ajcity.net,,,,,,,,,
ak-prepared.com/,ak-prepared.com,,,,,,,,,
akaerospace.com/index.html,akaerospace.com,,,,,,,,,
www.akenergyauthority.org/,akenergyauthority.org,,,,,,,,,
akoltco.org/,akoltco.org,,,,,,,,,
akpb.org/,akpb.org,,,,,,,,,
akron-pa.com/,akron-pa.com,,,,,,,,,
akronia.org/,akronia.org,,,,,,,,,
#N/A,akrr.com,,,,,,,,,
alabama.travel/,alabama.travel,,,,,,,,,
www.alabamacounterdrug.com/,alabamacounterdrug.com,,,,,,,,,
alabamafilm.org/2010/index2.shtml,alabamafilm.org,,,,,,,,,
alachuacounty.us/Pages/AlachuaCounty.aspx,alachuacounty.us,,,,,,,,,
#N/A,alalinc.net,,,,,,,,,
alamedahsg.org/,alamedahsg.org,,,,,,,,,
www.alamotexas.org/,alamotexas.org,,,,,,,,,
www.alamotownship.org/,alamotownship.org,,,,,,,,,
www.alaskacfc.org/_root/,alaskacfc.org,,Combined Federal Campaign,,,,,,,
www.alaskarailroad.com/,alaskarailroad.com,,,,,,,,,
alaskarrt.org/,alaskarrt.org,,,,,,,,,
alaskaseafood.org/,alaskaseafood.org,,,,,,,,,
albanyca.org/,albanyca.org,,,,,,,,,
